osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,junction,bridge,width
957795741,Celjska cesta,residential,False,True,15.426,,,,"LINESTRING (15.0812442 46.5053839, 15.0811033 46.5052847)",,,
26497309,Celjska cesta,secondary,False,False,229.21000000000004,2,227,50,"LINESTRING (15.0812442 46.5053839, 15.0808918 46.5056296, 15.0806863 46.5057729, 15.0802817 46.5061173, 15.0802486 46.5061497, 15.0800098 46.5063834, 15.0799507 46.5064339, 15.0798983 46.5064787, 15.0798713 46.5065019, 15.0796162 46.5067091, 15.0795518 46.5067614, 15.0794814 46.5068112, 15.0794152 46.5068475, 15.0793953 46.5068584, 15.0792714 46.5069264)",,,
26497309,Celjska cesta,secondary,False,False,82.491,2,227,50,"LINESTRING (15.0792714 46.5069264, 15.0791044 46.5069955, 15.0784744 46.5071993, 15.0783034 46.5072512)",,,
26497309,Celjska cesta,secondary,False,True,229.20999999999998,2,227,50,"LINESTRING (15.0792714 46.5069264, 15.0793953 46.5068584, 15.0794152 46.5068475, 15.0794814 46.5068112, 15.0795518 46.5067614, 15.0796162 46.5067091, 15.0798713 46.5065019, 15.0798983 46.5064787, 15.0799507 46.5064339, 15.0800098 46.5063834, 15.0802486 46.5061497, 15.0802817 46.5061173, 15.0806863 46.5057729, 15.0808918 46.5056296, 15.0812442 46.5053839)",,,
503109592,Gosposvetska cesta,residential,False,True,13.536000000000001,,,,"LINESTRING (15.0792714 46.5069264, 15.0793194 46.5069645, 15.0793874 46.5070183)",,,
26497309,Celjska cesta,secondary,False,False,80.273,2,227,50,"LINESTRING (15.0783034 46.5072512, 15.0779897 46.5073565, 15.0777415 46.50745, 15.0775652 46.5075199, 15.0773762 46.5075882)",,,
26497309,Celjska cesta,secondary,False,True,82.491,2,227,50,"LINESTRING (15.0783034 46.5072512, 15.0784744 46.5071993, 15.0791044 46.5069955, 15.0792714 46.5069264)",,,
224983026,Vorančev trg,residential,False,True,56.28999999999999,,,,"LINESTRING (15.0783034 46.5072512, 15.0783502 46.5073035, 15.078446 46.5074103, 15.0785478 46.507485, 15.0786992 46.5076752)",,,
926111601,,secondary,True,False,16.464,1,227,,"LINESTRING (15.0773762 46.5075882, 15.0772453 46.5077057)",,,
26497309,Celjska cesta,secondary,False,True,80.273,2,227,50,"LINESTRING (15.0773762 46.5075882, 15.0775652 46.5075199, 15.0777415 46.50745, 15.0779897 46.5073565, 15.0783034 46.5072512)",,,
224983028,Podgorska cesta,secondary,False,False,11.991,2,227,50,"LINESTRING (15.0768086 46.5075273, 15.0766992 46.5074501)",,,
230685676,,secondary,True,False,14.453,1,227,,"LINESTRING (15.0768086 46.5075273, 15.0769837 46.507576)",,,
26497318,Podgorska cesta,secondary,False,False,111.291,2,227,50,"LINESTRING (15.0760647 46.5059057, 15.0759633 46.5057588, 15.0758476 46.5056625, 15.0755528 46.5054726, 15.0752744 46.5052437, 15.0751694 46.5051275)",,,
