osmid,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,lanes,width
923408964,Koroška cesta,residential,False,False,15.592,"LINESTRING (14.3098625 46.3655735, 14.3098831 46.365713)",,,,
"[801768306, 242886156]",,residential,False,False,152.41299999999998,"LINESTRING (14.3098625 46.3655735, 14.3100523 46.3655814, 14.3101184 46.3655915, 14.3102573 46.3656304, 14.3103135 46.3656544, 14.3103442 46.3656639, 14.310386 46.3656666, 14.310419 46.3656514, 14.3104839 46.3655888, 14.3105346 46.365513, 14.3106032 46.3654162, 14.3106177 46.3653635, 14.3106128 46.365317, 14.3105869 46.3652683, 14.3105533 46.3652358, 14.3103521 46.3651173, 14.3100678 46.3648628)",,,,
923408964,Koroška cesta,residential,False,True,54.972,"LINESTRING (14.3098625 46.3655735, 14.309811 46.3654227, 14.3097799 46.3653109, 14.3097306 46.3652044, 14.3096596 46.3651017)",,,,
5775898,Balos,residential,False,False,131.74099999999999,"LINESTRING (14.3082705 46.3625937, 14.307911 46.3624762, 14.3076304 46.3623688, 14.3075594 46.3623461, 14.3074877 46.3623288, 14.3069772 46.3622399, 14.3067613 46.362203, 14.306669 46.3621874)",,,,
54449920,Trg svobode,residential,False,False,26.224,"LINESTRING (14.3082705 46.3625937, 14.3082382 46.3627816, 14.3082447 46.362828)",,,,
"[54449920, 54449892, 5766420]","['Predilniška cesta', 'Trg svobode']",residential,False,True,54.653999999999996,"LINESTRING (14.3082705 46.3625937, 14.3082858 46.3625053, 14.3083271 46.3622874, 14.3083527 46.3622124, 14.3083634 46.3621879, 14.3084033 46.3621127)",yes,,,
"[54449921, 490280982, 5775967]",Partizanska ulica,residential,False,False,204.45999999999995,"LINESTRING (14.3115663 46.3636806, 14.3114709 46.3637274, 14.3112557 46.3638386, 14.3110617 46.36393, 14.3108898 46.3640112, 14.3108352 46.364047, 14.3107553 46.3641111, 14.310729 46.3641275, 14.3107063 46.3641351, 14.3106815 46.3641387, 14.3106546 46.3641416, 14.3106278 46.3641416, 14.3105588 46.3641354, 14.3104521 46.3641223, 14.3103022 46.3640959, 14.3101479 46.3640915, 14.3100209 46.3640825, 14.3099124 46.3640827, 14.309774 46.3640937, 14.3096376 46.3641133, 14.309567 46.3641373, 14.3094134 46.3642027, 14.30931 46.3642503, 14.3092132 46.3642894)",yes,,,
305776774,Cerkvena ulica,residential,False,False,110.54899999999999,"LINESTRING (14.3115663 46.3636806, 14.3116567 46.3636465, 14.3117137 46.3636337, 14.3117451 46.3636267, 14.3118181 46.3636287, 14.3118977 46.3636413, 14.3119519 46.3636664, 14.3120856 46.3637519, 14.3122247 46.3638359, 14.3124023 46.3639407, 14.3126752 46.3639655, 14.3128171 46.3639961)",,,,
"[5776024, 517045003]",Cankarjeva cesta,secondary,False,True,135.963,"LINESTRING (14.3115663 46.3636806, 14.3109347 46.3633885, 14.3105953 46.3632057, 14.3103315 46.3630636, 14.3101533 46.3629462)",,50,,
839955634,Cankarjeva cesta,secondary,False,False,93.40899999999999,"LINESTRING (14.3115663 46.3636806, 14.311936 46.3638387, 14.3120896 46.3639358, 14.3122331 46.36405, 14.312442 46.3642481)",,50,2,
