osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,bridge,junction,width,tunnel,access
333914200,False,Otona Župančiča,residential,False,15.948,"LINESTRING (14.0294419 46.0012327, 14.0295061 46.001287, 14.029573 46.0013435)",,,,,,,,
"[983715396, 1047599221]",False,Gregorčičeva ulica,primary,False,147.052,"LINESTRING (14.0294419 46.0012327, 14.0291657 46.0014087, 14.0286468 46.0018021, 14.028363 46.002157, 14.028295 46.0022701)",2,102,50,,,,,
"[26365875, 983715397]",False,Lapajnetova ulica,tertiary,False,162.01600000000002,"LINESTRING (14.02784 46.0029505, 14.0276474 46.0028504, 14.0273999 46.0026646, 14.0270958 46.0024512, 14.0267526 46.0022413, 14.0265633 46.0021108, 14.026411 46.0020071, 14.0263548 46.001931)",,,,,,,,
"[1091559594, 75804026, 75804029, 250022813]",False,,primary,True,83.965,"LINESTRING (14.02784 46.0029505, 14.0279435 46.0028651, 14.0279845 46.0028083, 14.0280348 46.0027311, 14.0281605 46.0025006, 14.028295 46.0022701)","['2', '3']",102,50,yes,,,,
75804045,False,Grilčeva ulica,residential,False,20.431,"LINESTRING (14.02784 46.0029505, 14.0276873 46.0030298, 14.0276567 46.0030765)",,,,,,,,
75804043,False,Prešernova ulica,residential,False,256.303,"LINESTRING (14.0287091 46.0002557, 14.0291138 46.0001172, 14.0292882 46.0000856, 14.0294297 46.0000599, 14.0297086 46.0000243, 14.0300075 46.000033, 14.0302237 46.0000325, 14.0304107 45.9999915, 14.0305357 45.9999449, 14.0306573 45.9998793, 14.0307226 45.999804, 14.0308733 45.9995957, 14.0309833 45.9994365, 14.031049 45.9993078, 14.0310605 45.9992497, 14.031058 45.9991665, 14.0310211 45.9990781)",,,,,,,,
75804043,False,Prešernova ulica,residential,True,114.737,"LINESTRING (14.0287091 46.0002557, 14.0279486 46.0005548, 14.0273829 46.0007161)",,,,,,,,
242181602,False,,unclassified,False,200.083,"LINESTRING (14.0287091 46.0002557, 14.0289313 46.0002251, 14.0291708 46.000166, 14.0293842 46.0001219, 14.0296207 46.0000992, 14.0297498 46.0000929, 14.0300182 46.0001163, 14.0301597 46.0001218, 14.0303634 46.0001031, 14.0305757 46.0000405, 14.0308911 45.999916, 14.0310058 45.9998794, 14.0311516 45.9998043)",,,,,,,,
75804043,False,Prešernova ulica,residential,True,12.253,"LINESTRING (14.0309788 45.9989719, 14.0310211 45.9990781)",,,,,,,,
864244894,True,,residential,False,11.197,"LINESTRING (14.0309788 45.9989719, 14.0309503 45.9989754, 14.0309217 45.998972, 14.0308966 45.9989619, 14.0308779 45.9989465, 14.0308679 45.9989276)",,,,,roundabout,,,
75804043,False,Prešernova ulica,residential,False,188.984,"LINESTRING (14.0251735 46.0011299, 14.0252253 46.0010189, 14.0252871 46.0009329, 14.0254331 46.0008729, 14.0256267 46.0008531, 14.025894 46.000837, 14.0264115 46.000839, 14.0267914 46.0007703, 14.0273829 46.0007161)",,,,,,,,
250005871,False,Lapajnetova ulica,tertiary,False,148.539,"LINESTRING (14.0251735 46.0011299, 14.0250564 46.0011053, 14.0242418 46.0009343, 14.0238503 46.0008519, 14.0233293 46.0007516)",2,,,,,,,
250005871,False,Lapajnetova ulica,tertiary,True,58.352000000000004,"LINESTRING (14.0251735 46.0011299, 14.0256595 46.0012741, 14.0258488 46.0013611)",2,,,,,,,
75804043,False,Prešernova ulica,residential,False,114.737,"LINESTRING (14.0273829 46.0007161, 14.0279486 46.0005548, 14.0287091 46.0002557)",,,,,,,,
75804043,False,Prešernova ulica,residential,True,188.984,"LINESTRING (14.0273829 46.0007161, 14.0267914 46.0007703, 14.0264115 46.000839, 14.025894 46.000837, 14.0256267 46.0008531, 14.0254331 46.0008729, 14.0252871 46.0009329, 14.0252253 46.0010189, 14.0251735 46.0011299)",,,,,,,,
"[685863626, 685863627, 685863628]",False,,residential,"[False, True]",354.76900000000006,"LINESTRING (14.0273829 46.0007161, 14.027362 46.0006769, 14.0272885 46.0006385, 14.0272247 46.0006216, 14.0271538 46.0006119, 14.0269775 46.0006403, 14.0267736 46.0006753, 14.026243 46.0007022, 14.0257019 46.0006738, 14.0254219 46.0006625, 14.0251419 46.0006054, 14.0247177 46.0005205, 14.0246333 46.0005179, 14.0245977 46.0005264, 14.0245705 46.0005473, 14.0244947 46.0007139, 14.0242502 46.0006539, 14.0238454 46.0005283, 14.0235577 46.0004227, 14.0232714 46.0002506)",,,,,,,,
"[242179976, 242179971, 242179981]",False,,residential,False,28.892000000000003,"LINESTRING (14.022421 45.9997506, 14.0224014 45.9997827, 14.0223523 45.9998289, 14.0221884 45.9999518)",,,,yes,,,,
434752540,False,Kosovelova ulica,tertiary,False,15.421,"LINESTRING (14.022421 45.9997506, 14.022524 45.9997995, 14.0225762 45.9998368)",2,,,,,,,
75804045,False,Grilčeva ulica,residential,True,20.431,"LINESTRING (14.0276567 46.0030765, 14.0276873 46.0030298, 14.02784 46.0029505)",,,,,,,,
837928361,False,Grilčeva ulica,residential,False,21.601,"LINESTRING (14.0276567 46.0030765, 14.0276571 46.0031244, 14.0276873 46.0031708, 14.0277667 46.0032487)",,,,,,,,
