osmid,ref,highway,oneway,reversed,length,geometry,name,maxspeed,bridge
24622580,5,primary,False,True,4.055,"LINESTRING (15.1881209 46.062748, 15.1881627 46.0627701)",,,
38833231,665,tertiary,False,False,86.684,"LINESTRING (15.1873731 46.0646433, 15.1872522 46.0647785, 15.1871282 46.0649251, 15.1867455 46.065289)",,,
38833231,665,tertiary,False,True,184.548,"LINESTRING (15.1873731 46.0646433, 15.1876028 46.0643372, 15.1876886 46.064138, 15.1877728 46.0638779, 15.1878384 46.0636097, 15.1878456 46.0634186, 15.1878567 46.0633011, 15.1878906 46.0631708, 15.1879352 46.0630479)",,,
464097280,,residential,False,False,298.34799999999996,"LINESTRING (15.1873731 46.0646433, 15.1870067 46.06445, 15.1866317 46.0643004, 15.1864949 46.0642428, 15.1864178 46.0642021, 15.1863734 46.0641876, 15.186304 46.0641644, 15.1862601 46.0641452, 15.1862114 46.0641426, 15.1861717 46.0641573, 15.1860587 46.0642079, 15.1857786 46.0643601, 15.1855866 46.0644527, 15.1854437 46.0645334, 15.1851853 46.0646426, 15.1849482 46.0647334, 15.1846332 46.0648218, 15.1843606 46.0648808, 15.1842332 46.0649004, 15.1840268 46.0648833)",Pot na brod,,
168659527,665,tertiary,False,False,144.703,"LINESTRING (15.1838272 46.0670428, 15.1836413 46.0670198, 15.1833659 46.066964, 15.1829631 46.0668663, 15.1821541 46.0667664, 15.1820041 46.0667518)",,50,
"[168659528, 38833231, 168659527]",665,tertiary,False,True,303.39,"LINESTRING (15.1838272 46.0670428, 15.1840152 46.0670293, 15.1841066 46.0670112, 15.1842787 46.0669526, 15.1843794 46.0669069, 15.1844754 46.0668633, 15.1846723 46.06677, 15.1849036 46.066639, 15.1850419 46.0665607, 15.1854469 46.0663014, 15.1858313 46.066033, 15.1859193 46.0659602, 15.1862153 46.0657256, 15.1865928 46.0654295, 15.1867455 46.065289)",,50,yes
514985788,,residential,False,False,143.038,"LINESTRING (15.1838272 46.0670428, 15.1839126 46.0671793, 15.1839731 46.0672105, 15.1840647 46.0672222, 15.1842012 46.0672059, 15.1843722 46.0671952, 15.1844896 46.0672366, 15.1845923 46.0673163, 15.184614 46.0674001, 15.18458 46.0674833, 15.1844648 46.0675973, 15.1843174 46.0677174, 15.1841958 46.0678273)",Trg,,
38833231,665,tertiary,False,False,184.548,"LINESTRING (15.1879352 46.0630479, 15.1878906 46.0631708, 15.1878567 46.0633011, 15.1878456 46.0634186, 15.1878384 46.0636097, 15.1877728 46.0638779, 15.1876886 46.064138, 15.1876028 46.0643372, 15.1873731 46.0646433)",,,
886975364,665,tertiary,True,False,36.3,"LINESTRING (15.1879352 46.0630479, 15.1879813 46.0629675, 15.1881209 46.062748)",,,
443571730,,unclassified,False,True,38.053,"LINESTRING (15.1867455 46.065289, 15.1863385 46.0650957)",,,
