osmid,ref,highway,oneway,reversed,length,name,geometry,bridge,lanes,maxspeed
180395701,225,secondary,False,True,23.126,,"LINESTRING (14.6148393 46.2255577, 14.614678 46.2253822)",,,
180395708,,tertiary,False,True,18.554,Maistrova ulica,"LINESTRING (14.6148393 46.2255577, 14.6146121 46.2256137)",,,
180395702,225,secondary,False,False,74.94200000000001,,"LINESTRING (14.6148393 46.2255577, 14.6149895 46.2257136, 14.6150766 46.2257832, 14.6151611 46.2258407, 14.6153247 46.2259288, 14.6154803 46.226003, 14.6155272 46.2260235)",,,
"[46676989, 46677050, 39585925]",225,secondary,False,False,49.519,Cankarjeva cesta,"LINESTRING (14.6155272 46.2260235, 14.6155037 46.2260782, 14.6154902 46.2261173, 14.6154033 46.2263091, 14.6153395 46.2264494)",yes,,
180395702,225,secondary,False,True,74.94200000000001,,"LINESTRING (14.6155272 46.2260235, 14.6154803 46.226003, 14.6153247 46.2259288, 14.6151611 46.2258407, 14.6150766 46.2257832, 14.6149895 46.2257136, 14.6148393 46.2255577)",,,
"[47514189, 16612237, 46677031]",,tertiary,False,False,90.65200000000002,Šolska ulica,"LINESTRING (14.6108087 46.2214119, 14.6106395 46.2214333, 14.6101864 46.221508, 14.6100061 46.2215327, 14.6096564 46.2215815)",yes,2,
171981062,,residential,False,False,119.54599999999999,,"LINESTRING (14.6108087 46.2214119, 14.61104 46.2213927, 14.611217 46.2213773, 14.6113618 46.2213676, 14.6116917 46.2213333, 14.6123475 46.2212637)",,,
"[180396528, 46677028]",225,secondary,False,False,277.15,,"LINESTRING (14.6108087 46.2214119, 14.6110559 46.221705, 14.6112444 46.2218794, 14.6113937 46.2220154, 14.6116983 46.222271, 14.6121532 46.2226499, 14.6124751 46.2229194, 14.6130115 46.2233795)",,4,
47386746,,tertiary,False,True,121.57499999999999,Šutna,"LINESTRING (14.6073056 46.2221846, 14.6071786 46.2221221, 14.6070332 46.2220432, 14.606908 46.2219568, 14.60657 46.221722, 14.6064493 46.2216293, 14.6063192 46.2215086, 14.6062079 46.2214056)",,2,
47514189,,tertiary,False,True,140.128,Šolska ulica,"LINESTRING (14.6073056 46.2221846, 14.6074071 46.222161, 14.607464 46.2221387, 14.6075145 46.2221161, 14.6076892 46.2220421, 14.6079124 46.2219494, 14.608254 46.2218371, 14.6084675 46.2217856, 14.608704 46.2217327, 14.6089641 46.2216806)",,,
39585920,,tertiary,False,True,21.897,Kranjska cesta,"LINESTRING (14.6059399 46.2214675, 14.6060167 46.2214609, 14.6062079 46.2214056)",,2,
"[46677028, 46677045]",225,secondary,False,False,257.529,,"LINESTRING (14.6130115 46.2233795, 14.6135256 46.2238671, 14.6137026 46.2240737, 14.6145021 46.2251365, 14.614678 46.2253822)",,4,
"[180396528, 46677028]",225,secondary,False,True,277.15000000000003,,"LINESTRING (14.6130115 46.2233795, 14.6124751 46.2229194, 14.6121532 46.2226499, 14.6116983 46.222271, 14.6113937 46.2220154, 14.6112444 46.2218794, 14.6110559 46.221705, 14.6108087 46.2214119)",,4,
"[46677043, 46677044, 47213303]",,unclassified,False,True,43.487,Usnjarska cesta,"LINESTRING (14.6130115 46.2233795, 14.6129306 46.2234304, 14.612655 46.2235785, 14.6125991 46.2236416)",yes,,
47213304,,residential,False,True,142.017,Novi trg,"LINESTRING (14.6130115 46.2233795, 14.6130879 46.2233232, 14.6131544 46.2230717, 14.613174 46.2225959, 14.613123 46.2223512, 14.6130132 46.2221436)",,,
47514189,,tertiary,False,True,54.388,Šolska ulica,"LINESTRING (14.6089641 46.2216806, 14.6096564 46.2215815)",,,
16611657,,residential,True,False,113.76,Usnjarska cesta,"LINESTRING (14.6089641 46.2216806, 14.608896 46.2219824, 14.6089116 46.2220431, 14.6089997 46.222143, 14.6092409 46.2223454, 14.6094857 46.2225641)",,,
47514189,,tertiary,False,False,140.12800000000001,Šolska ulica,"LINESTRING (14.6089641 46.2216806, 14.608704 46.2217327, 14.6084675 46.2217856, 14.608254 46.2218371, 14.6079124 46.2219494, 14.6076892 46.2220421, 14.6075145 46.2221161, 14.607464 46.2221387, 14.6074071 46.222161, 14.6073056 46.2221846)",,,
39585924,,residential,True,False,81.078,Tomšičeva ulica,"LINESTRING (14.6135699 46.2258224, 14.6135832 46.2259786, 14.6135984 46.2261814, 14.6136041 46.2262276, 14.613588 46.2262564, 14.6135437 46.2262786, 14.6132755 46.2262796, 14.6132286 46.2262833, 14.6131796 46.2262963)",,,
"[180395707, 197663220, 46677046]",,tertiary,False,False,83.643,Maistrova ulica,"LINESTRING (14.6135699 46.2258224, 14.6137665 46.2257994, 14.6139636 46.2257667, 14.6140542 46.2257431, 14.6146121 46.2256137)",yes,,
39585929,,residential,False,True,12.873,Samčev predor,"LINESTRING (14.6104892 46.2244366, 14.6106139 46.2245138)",,,
47213299,,residential,False,False,7.313,Šutna,"LINESTRING (14.6104892 46.2244366, 14.6104239 46.2243888)",,,
"[1189933178, 47213300]",,residential,False,True,191.904,Kolodvorska ulica,"LINESTRING (14.6104892 46.2244366, 14.6102847 46.2245157, 14.6102487 46.2245279, 14.6099751 46.2246179, 14.6096089 46.224693, 14.6094239 46.224706, 14.6093907 46.2247065, 14.6092683 46.2247083, 14.6092375 46.2247088, 14.6091785 46.2247051, 14.609047 46.2246698, 14.608811 46.224578, 14.6083041 46.2243896, 14.6082062 46.224346)",,,
22701065,,unclassified,False,True,34.534,,"LINESTRING (14.6136878 46.229724, 14.6133184 46.2295475)",,,
46676989,225,secondary,False,True,135.41299999999998,Cankarjeva cesta,"LINESTRING (14.6136878 46.229724, 14.6139186 46.2294163, 14.6141928 46.2290387, 14.6144325 46.2286219)",,,
112804795,,residential,False,False,40.206,Trg talcev,"LINESTRING (14.6113725 46.2275423, 14.611182 46.2275247, 14.6108556 46.2274889)",,,
180395705,,tertiary,False,False,85.67099999999999,Medvedova ulica,"LINESTRING (14.6113725 46.2275423, 14.6114278 46.2274339, 14.6115844 46.2271934, 14.6117172 46.2269726, 14.6117983 46.2268307)",,,
180395705,,tertiary,False,True,161.376,Medvedova ulica,"LINESTRING (14.6113725 46.2275423, 14.6113524 46.2276267, 14.6113282 46.2280609, 14.6113028 46.2282019, 14.6112733 46.2283476, 14.6111847 46.2286092, 14.6111539 46.2287047, 14.6110748 46.2289747)",,,
1230931718,,residential,True,False,48.756,Frančiškanski trg,"LINESTRING (14.611708 46.2258346, 14.6110846 46.2259137)",,,
46677029,,tertiary,True,False,143.376,Maistrova ulica,"LINESTRING (14.611708 46.2258346, 14.6118377 46.2258218, 14.6122146 46.2258178, 14.6133279 46.2258317, 14.6135699 46.2258224)",,1,
60257478,,unclassified,False,False,43.605000000000004,Glavni trg,"LINESTRING (14.611708 46.2258346, 14.6116319 46.2256367, 14.6115706 46.2254542)",,2,
