osmid,oneway,name,highway,reversed,length,lanes,maxspeed,junction,geometry
480210791,True,Bryn Maur Road,unclassified,False,14.032,,,,"LINESTRING (-123.4985188 48.4485223, -123.4985944 48.4484065)"
738700597,True,,secondary,False,5.717,1,30,roundabout,"LINESTRING (-123.4985188 48.4485223, -123.4984497 48.448499)"
25581670,False,Jacklin Road,residential,False,384.50399999999996,,,,"LINESTRING (-123.5056625 48.4505592, -123.5054851 48.4508077, -123.5052534 48.4510229, -123.5051807 48.4511094, -123.5050428 48.451336, -123.5049956 48.4514129, -123.5048481 48.4516569, -123.5048045 48.4517297, -123.5045814 48.4521019, -123.5040149 48.4530469, -123.5038517 48.4533238, -123.5036867 48.4535919, -123.5036095 48.4537292)"
25581886,False,Jacklin Road,secondary,False,137.667,,50,,"LINESTRING (-123.5056625 48.4505592, -123.5060896 48.4498607, -123.5063633 48.4494117)"
25958508,False,Goldstream Avenue,secondary,False,116.338,,50,,"LINESTRING (-123.5056625 48.4505592, -123.5063057 48.4507686, -123.5071248 48.4509444)"
132251356,False,Goldstream Avenue,secondary,True,83.926,,50,,"LINESTRING (-123.5056625 48.4505592, -123.5051245 48.4503972, -123.5046435 48.4502243)"
36926822,False,Brock Avenue,residential,False,45.297,,,,"LINESTRING (-123.5036095 48.4537292, -123.504199 48.4538436)"
36926822,False,Brock Avenue,residential,True,20.181,,,,"LINESTRING (-123.5036095 48.4537292, -123.5033409 48.4536945)"
25581670,False,Jacklin Road,residential,True,384.5040000000001,,,,"LINESTRING (-123.5036095 48.4537292, -123.5036867 48.4535919, -123.5038517 48.4533238, -123.5040149 48.4530469, -123.5045814 48.4521019, -123.5048045 48.4517297, -123.5048481 48.4516569, -123.5049956 48.4514129, -123.5050428 48.451336, -123.5051807 48.4511094, -123.5052534 48.4510229, -123.5054851 48.4508077, -123.5056625 48.4505592)"
25581674,False,Strathmore Road,residential,False,139.92,,,,"LINESTRING (-123.5038694 48.4499392, -123.5031524 48.4511042)"
132251356,False,Goldstream Avenue,secondary,False,65.303,,50,,"LINESTRING (-123.5038694 48.4499392, -123.5046435 48.4502243)"
132251356,False,Goldstream Avenue,secondary,True,248.79199999999997,,50,,"LINESTRING (-123.5038694 48.4499392, -123.5035934 48.4498464, -123.5033144 48.4497872, -123.503184 48.4497595, -123.5030702 48.4497423, -123.5027132 48.4496882, -123.5025549 48.4496642, -123.5022558 48.4496191, -123.501904 48.449566, -123.5013398 48.449485, -123.5006127 48.4493806)"
25581674,False,Strathmore Road,residential,False,276.339,,,,"LINESTRING (-123.5031524 48.4511042, -123.5017361 48.453405)"
25581674,False,Strathmore Road,residential,True,139.92,,,,"LINESTRING (-123.5031524 48.4511042, -123.5038694 48.4499392)"
