osmid,name,highway,oneway,reversed,length,lanes,geometry,ref,bridge,maxspeed
"[128323274, 278118847]",Riverside Drive,primary,False,False,136.488,,"LINESTRING (-57.9422647 48.9575012, -57.9425752 48.9571596, -57.9427602 48.9569438, -57.9428588 48.9568089, -57.9429389 48.9566497, -57.9430272 48.9563914)",,yes,
128150596,Chestnut Street,tertiary,True,False,96.19,1,"LINESTRING (-57.9431116 48.9520015, -57.9437659 48.9512507)",,,
5069373,West Street,tertiary,True,False,138.495,,"LINESTRING (-57.9431116 48.9520015, -57.9445824 48.9525699, -57.9446195 48.9525842, -57.9446867 48.9526701)",,,
128323242,Broadway,secondary,True,False,3.633,1,"LINESTRING (-57.9530596 48.9503815, -57.9530187 48.9504001)",,,
128323242,Broadway,secondary,True,False,160.65,1,"LINESTRING (-57.9530187 48.9504001, -57.9529183 48.9504541, -57.9528787 48.9504819, -57.9528466 48.9505154, -57.9528401 48.950538, -57.9528325 48.9505727, -57.9528297 48.9505856, -57.9528014 48.9506886, -57.9527333 48.9508838, -57.9526816 48.9510208, -57.9526452 48.9511012, -57.9525952 48.9511713, -57.9525297 48.9512372, -57.952421 48.9513182, -57.9523741 48.9513517, -57.9522659 48.9514193, -57.9521022 48.9515011, -57.9519265 48.951577)",,,
128334629,Valley Road,tertiary,False,True,95.263,,"LINESTRING (-57.9530187 48.9504001, -57.952991 48.9503548, -57.9529783 48.9503341, -57.9529451 48.950266, -57.9529207 48.9501914, -57.952904 48.9501157, -57.9528851 48.9500376, -57.9528831 48.9500231, -57.9528725 48.9499584, -57.9528683 48.9499085, -57.9528653 48.9498717, -57.9528665 48.9497834, -57.9528682 48.9496944, -57.952879 48.9496052, -57.9528805 48.949598, -57.9528892 48.9495567)",,,
128323242,Broadway,secondary,True,False,38.114,1,"LINESTRING (-57.9535609 48.9504341, -57.9535344 48.9504261, -57.9534335 48.9503975, -57.9533581 48.9503806, -57.9532562 48.950368, -57.9531643 48.9503661, -57.9531085 48.9503717, -57.9530596 48.9503815)",,,
128323242,Broadway,secondary,True,False,33.751,1,"LINESTRING (-57.9519265 48.951577, -57.9515197 48.9517211)",,,
493017014,,secondary_link,True,False,34.762,,"LINESTRING (-57.9519265 48.951577, -57.951944 48.9516965, -57.9519971 48.9517802, -57.9520982 48.9518575)",,,
128323247,Herald Avenue,secondary,True,False,44.887,1,"LINESTRING (-57.9515197 48.9517211, -57.9519265 48.9518196, -57.9520982 48.9518575)",,,
128323248,Herald Avenue,secondary,False,True,44.312,2,"LINESTRING (-57.9515197 48.9517211, -57.9513525 48.9517168, -57.9511357 48.9517178, -57.950913 48.9517191)",,,
1160573665,Griffin Drive,secondary,False,True,40.487,,"LINESTRING (-57.951799 48.9531034, -57.9519938 48.9534443)",,,
128323250,Lewin Parkway,primary,False,False,47.578,,"LINESTRING (-57.951799 48.9531034, -57.9521864 48.9531074, -57.9524505 48.9531043)",450-2,,80
1160573664,Lewin Parkway,primary,False,True,52.703,,"LINESTRING (-57.951799 48.9531034, -57.9514969 48.9530975, -57.9510776 48.9531068)",450-2,,80
1160573665,Griffin Drive,secondary,False,False,40.487,,"LINESTRING (-57.9519938 48.9534443, -57.951799 48.9531034)",,,
"[483092170, 1160573666]",,primary_link,True,False,53.611999999999995,,"LINESTRING (-57.9519938 48.9534443, -57.9520293 48.9533523, -57.9520725 48.9532885, -57.9521645 48.9532092, -57.9522686 48.9531521, -57.9524505 48.9531043)",,,
479525328,,trunk_link,True,False,16.309,,"LINESTRING (-57.9462068 48.9542883, -57.9462139 48.9544349)",,,
128334600,Lewin Parkway,trunk,True,False,269.746,,"LINESTRING (-57.9462068 48.9542883, -57.9460477 48.9544071, -57.9459067 48.9545259, -57.9456214 48.9547745, -57.9450588 48.9552472, -57.9449282 48.9553445, -57.9448022 48.955434, -57.9446719 48.9555126, -57.9445331 48.9555885, -57.944366 48.9556583, -57.944266 48.9556849, -57.9441641 48.9557087, -57.9439971 48.9557423, -57.9438302 48.9557601, -57.9436587 48.9557699, -57.9434937 48.9557601)",450-1,,
121546960,Lewin Parkway,trunk,False,True,61.196,2,"LINESTRING (-57.9416463 48.9547615, -57.9421178 48.9552165)",450-1,,
"[128323265, 128323266, 479525331]",,trunk_link,True,False,178.204,1,"LINESTRING (-57.9416463 48.9547615, -57.9417857 48.9550031, -57.941971 48.9552652, -57.9423859 48.955739, -57.9426037 48.9560544, -57.9426782 48.9562093)",,yes,
128361841,Main Street,secondary,False,True,208.26900000000003,2,"LINESTRING (-57.9437585 48.9550405, -57.9438229 48.9549844, -57.9438442 48.9549657, -57.9439402 48.9548915, -57.9441522 48.9547398, -57.9442847 48.9546319, -57.9443579 48.9545599, -57.9443934 48.9545059, -57.9444246 48.9544471, -57.9445667 48.9541314, -57.9446136 48.9540271, -57.9446368 48.9539719, -57.9447049 48.9538097, -57.9447581 48.9537048, -57.9448236 48.9536004, -57.9448631 48.9535397, -57.9449071 48.9534791, -57.9449893 48.9533835)",,,
479525327,Main Street,secondary,False,False,50.345,,"LINESTRING (-57.9437585 48.9550405, -57.9436657 48.9551247, -57.9435496 48.9552302, -57.9433699 48.9554143)",,,
479525332,,trunk_link,True,False,40.03,,"LINESTRING (-57.9437585 48.9550405, -57.943799 48.9551574, -57.9438512 48.955243, -57.9439679 48.9553695)",,,
121546960,Lewin Parkway,trunk,False,False,61.196,2,"LINESTRING (-57.9421178 48.9552165, -57.9416463 48.9547615)",450-1,,
