osmid,lanes,name,highway,oneway,reversed,length,ref,maxspeed,geometry,tunnel
936166768,2,6 Street Northeast,residential,False,True,12.99,,,"LINESTRING (-119.2775669 50.702203, -119.2776249 50.7023139)",
936166769,2,Trans-Canada Highway,trunk,True,False,130.477,1,50,"LINESTRING (-119.2775669 50.702203, -119.2772575 50.7021981, -119.2768277 50.7021987, -119.2765269 50.7021991, -119.2757143 50.7021974)",
31732041,2,4 Street Northeast,residential,False,False,11.059,,,"LINESTRING (-119.279344 50.7019903, -119.279257 50.7019075)",
144825402,2,Trans-Canada Highway,trunk,True,False,119.256,1,50,"LINESTRING (-119.279344 50.7019903, -119.2801793 50.7016586, -119.2807786 50.7014205)",
936165661,2,4 Street Northeast,residential,False,False,80.842,,,"LINESTRING (-119.279344 50.7019903, -119.2793708 50.7020177, -119.279791 50.7024481, -119.2798673 50.7025263, -119.2799476 50.7026087)",
938139098,1,Alexander Street Northeast,residential,False,False,10.793,,,"LINESTRING (-119.281907 50.7009584, -119.281842 50.7008705)",
29564550,1,Alexander Street Northeast,residential,True,False,83.239,,,"LINESTRING (-119.281907 50.7009584, -119.2819494 50.7010002, -119.2825466 50.7015879)",
935661413,2,Trans-Canada Highway,trunk,True,False,171.02800000000002,1,50,"LINESTRING (-119.281907 50.7009584, -119.2825428 50.7007194, -119.2834213 50.7003646, -119.2839784 50.700156)",
29564460,2,Ross Street Northeast,residential,False,True,82.468,,,"LINESTRING (-119.2807786 50.7014205, -119.2808305 50.7014706, -119.2813824 50.7020559)",
144825402,2,Trans-Canada Highway,trunk,True,False,94.635,1,50,"LINESTRING (-119.2807786 50.7014205, -119.2818017 50.7010015, -119.281907 50.7009584)",
29564606,2,Lakeshore Drive Northeast,tertiary,False,True,95.588,,,"LINESTRING (-119.282341 50.7030099, -119.2834921 50.7025544)",
29564460,2,Ross Street Northeast,residential,False,False,125.74,,,"LINESTRING (-119.282341 50.7030099, -119.2819706 50.7026413, -119.2813824 50.7020559)",
"[29564606, 936165662]",2,Lakeshore Drive Northeast,tertiary,False,"[False, True]",114.993,,,"LINESTRING (-119.282341 50.7030099, -119.281917 50.7031802, -119.2817699 50.7032464, -119.2816348 50.7033071, -119.2813557 50.703454, -119.2810423 50.7036328)",
"[1093887020, 1093887021, 1093887022, 29971974]",2,Ross Street,residential,False,"[False, True]",188.338,,,"LINESTRING (-119.282341 50.7030099, -119.2826458 50.7033175, -119.2828315 50.7035119, -119.2830553 50.7037428, -119.2831163 50.7038054, -119.2837343 50.7044556)",yes
29564606,2,Lakeshore Drive Northeast,tertiary,False,False,95.588,,,"LINESTRING (-119.2834921 50.7025544, -119.282341 50.7030099)",
29693199,2,Lakeshore Drive Northeast,tertiary,False,True,139.645,,,"LINESTRING (-119.2834921 50.7025544, -119.2851627 50.7018779)",
29646569,2,6 Avenue Northeast,residential,False,True,123.697,,,"LINESTRING (-119.2737571 50.7041622, -119.2720006 50.7041621)",
"[936165657, 29647046]",2,10 Street Northeast,residential,False,True,299.67199999999997,,,"LINESTRING (-119.2737571 50.7041622, -119.2737852 50.7036474, -119.2737875 50.7036055, -119.2738003 50.7030502, -119.2738172 50.7029296, -119.2738539 50.7028846, -119.2739327 50.702778, -119.2740827 50.7026313, -119.2742595 50.7025311, -119.274517 50.70247, -119.2749153 50.7024193, -119.2752758 50.702403, -119.275559 50.7023704, -119.2756327 50.7023529, -119.2756761 50.7023368, -119.2756931 50.7023307, -119.2756975 50.7022994)",
29646569,2,6 Avenue Northeast,residential,False,False,123.697,,,"LINESTRING (-119.2720006 50.7041621, -119.2737571 50.7041622)",
29647325,2,8 Avenue Northeast,residential,False,False,149.891,,,"LINESTRING (-119.2768587 50.7045964, -119.2770549 50.7046003, -119.277256 50.7046029, -119.2774326 50.7045866, -119.2776096 50.7045314, -119.2777976 50.7044553, -119.2779834 50.7043461, -119.2782057 50.7040995, -119.278289 50.70399, -119.278369 50.7038478)",
29647325,2,8 Avenue Northeast,residential,False,True,149.89100000000002,,,"LINESTRING (-119.278369 50.7038478, -119.278289 50.70399, -119.2782057 50.7040995, -119.2779834 50.7043461, -119.2777976 50.7044553, -119.2776096 50.7045314, -119.2774326 50.7045866, -119.277256 50.7046029, -119.2770549 50.7046003, -119.2768587 50.7045964)",
29693117,2,6 Street Northeast,residential,False,False,58.455,,,"LINESTRING (-119.278369 50.7038478, -119.2783487 50.7037479, -119.2782826 50.7036269, -119.2781004 50.7033533)",
39117324,2,6 Street Northeast,residential,False,False,60.332,,,"LINESTRING (-119.278369 50.7038478, -119.2784856 50.7038869, -119.2786484 50.7039754, -119.2789069 50.704254)",
29693222,2,Mcleod Street Northeast,residential,False,False,92.259,,,"LINESTRING (-119.2839784 50.700156, -119.2839784 50.7002099, -119.2839841 50.7009857)",
935661413,2,Trans-Canada Highway,trunk,True,False,87.173,1,50,"LINESTRING (-119.2839784 50.700156, -119.2842437 50.7000773, -119.2845205 50.7000104, -119.2848543 50.6999352, -119.2848779 50.6999299, -119.285132 50.6998736)",
29691926,2,Hudson Avenue Northeast,residential,False,False,35.295,,,"LINESTRING (-119.2850977 50.700553, -119.284673 50.7007215)",
29715127,,Shuswap Street North,tertiary,False,False,7.139,,,"LINESTRING (-119.2850977 50.700553, -119.2850991 50.7004888)",
29715127,,Shuswap Street North,tertiary,False,True,37.31,,,"LINESTRING (-119.2850977 50.700553, -119.2851214 50.7008882)",
29691926,2,Hudson Avenue Northeast,residential,False,False,97.111,,,"LINESTRING (-119.2825466 50.7015879, -119.2813824 50.7020559)",
29691926,2,Hudson Avenue Northeast,residential,False,True,121.38,,,"LINESTRING (-119.2825466 50.7015879, -119.2839841 50.7009857)",
29564550,1,Alexander Street Northeast,residential,True,False,126.431,,,"LINESTRING (-119.2825466 50.7015879, -119.2828632 50.7019029, -119.2834921 50.7025544)",
29691926,2,Hudson Avenue Northeast,residential,False,True,97.111,,,"LINESTRING (-119.2813824 50.7020559, -119.2825466 50.7015879)",
29564460,2,Ross Street Northeast,residential,False,False,82.468,,,"LINESTRING (-119.2813824 50.7020559, -119.2808305 50.7014706, -119.2807786 50.7014205)",
29564460,2,Ross Street Northeast,residential,False,True,125.74,,,"LINESTRING (-119.2813824 50.7020559, -119.2819706 50.7026413, -119.282341 50.7030099)",
29691926,2,Hudson Avenue Northeast,residential,False,False,118.274,,,"LINESTRING (-119.2813824 50.7020559, -119.2808181 50.7022733, -119.280056 50.7025669, -119.2799476 50.7026087)",
29693199,2,Lakeshore Drive Northeast,tertiary,False,False,139.645,,,"LINESTRING (-119.2851627 50.7018779, -119.2834921 50.7025544)",
29715127,,Shuswap Street North,tertiary,False,False,110.09100000000001,,,"LINESTRING (-119.2851627 50.7018779, -119.2851224 50.7009977, -119.2851214 50.7008882)",
29691926,2,Hudson Avenue Northeast,residential,False,False,121.38,,,"LINESTRING (-119.2839841 50.7009857, -119.2825466 50.7015879)",
29691926,2,Hudson Avenue Northeast,residential,False,True,56.719,,,"LINESTRING (-119.2839841 50.7009857, -119.284673 50.7007215)",
29693222,2,Mcleod Street Northeast,residential,False,True,92.259,,,"LINESTRING (-119.2839841 50.7009857, -119.2839784 50.7002099, -119.2839784 50.700156)",
29971712,2,Marine Park Drive Northeast,residential,False,True,69.32300000000001,,,"LINESTRING (-119.28146 50.7049027, -119.2811675 50.7045978, -119.2810552 50.7044822, -119.280945 50.7043714)",
29971774,2,Harbourfront Drive,residential,False,False,174.774,,,"LINESTRING (-119.28146 50.7049027, -119.2817294 50.7048039, -119.2818359 50.7047785, -119.2819545 50.7047667, -119.2821265 50.7047711, -119.2824358 50.7048089, -119.2825263 50.7048125, -119.2826016 50.7048162, -119.2827104 50.7048094, -119.2828131 50.7047987, -119.2829546 50.7047591, -119.2831385 50.704688, -119.2837343 50.7044556)",
29971774,2,Harbourfront Drive,residential,False,True,174.774,,,"LINESTRING (-119.2837343 50.7044556, -119.2831385 50.704688, -119.2829546 50.7047591, -119.2828131 50.7047987, -119.2827104 50.7048094, -119.2826016 50.7048162, -119.2825263 50.7048125, -119.2824358 50.7048089, -119.2821265 50.7047711, -119.2819545 50.7047667, -119.2818359 50.7047785, -119.2817294 50.7048039, -119.28146 50.7049027)",
"[1093887022, 1093887020, 1093887021, 29971974]",2,Ross Street,residential,False,"[False, True]",188.33800000000002,,,"LINESTRING (-119.2837343 50.7044556, -119.2831163 50.7038054, -119.2830553 50.7037428, -119.2828315 50.7035119, -119.2826458 50.7033175, -119.282341 50.7030099)",yes
29971712,2,Marine Park Drive Northeast,residential,False,False,69.32300000000001,,,"LINESTRING (-119.280945 50.7043714, -119.2810552 50.7044822, -119.2811675 50.7045978, -119.28146 50.7049027)",
30471373,2,4 Street Northeast,residential,False,True,138.198,,,"LINESTRING (-119.2810423 50.7036328, -119.2808774 50.7035462, -119.2807109 50.7033689, -119.2803865 50.7030459, -119.2800136 50.7026745, -119.2799476 50.7026087)",
"[29564606, 936165662]",2,Lakeshore Drive Northeast,tertiary,False,"[False, True]",114.993,,,"LINESTRING (-119.2810423 50.7036328, -119.2813557 50.703454, -119.2816348 50.7033071, -119.2817699 50.7032464, -119.281917 50.7031802, -119.282341 50.7030099)",
29715127,,Shuswap Street North,tertiary,False,True,68.447,,,"LINESTRING (-119.285132 50.6998736, -119.2851275 50.6999574, -119.2850991 50.7004888)",
"[935661411, 935661414]",,"['Shuswap Street North', 'Shuswap Street South']",tertiary,False,False,12.651,,,"LINESTRING (-119.285132 50.6998736, -119.2851369 50.6998098, -119.285132 50.69976)",
30430486,2,5 Avenue Southeast,residential,False,False,99.091,,,"LINESTRING (-119.2851273 50.6962563, -119.2837205 50.6962481)",
144825387,,Shuswap Street South,tertiary,False,True,199.407,,,"LINESTRING (-119.2851273 50.6962563, -119.2851304 50.6967991, -119.2851352 50.6976327, -119.2851374 50.6980496)",
