osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,bridge,ref
27246487,2,Quebec Street,tertiary,50,False,False,58.178000000000004,"LINESTRING (-80.2521441 43.5454059, -80.2519484 43.545432, -80.2519083 43.5454356, -80.2514362 43.5455076)",,,
38864962,,Yarmouth Street,unclassified,,True,False,330.99199999999996,"LINESTRING (-80.2521441 43.5454059, -80.2521316 43.5455939, -80.2521305 43.545605, -80.2523515 43.546371, -80.2524907 43.5468533, -80.2525334 43.5470011, -80.2525532 43.5470696, -80.2525992 43.5472293, -80.2526507 43.5474077, -80.2526899 43.5475438, -80.2527006 43.5475809, -80.2527813 43.5478606, -80.2528628 43.5481427, -80.2528648 43.5481735, -80.2528599 43.5482089, -80.2528285 43.548325)",,,
464459156,2,Norfolk Street,secondary,50,False,False,59.016999999999996,"LINESTRING (-80.2521441 43.5454059, -80.2520417 43.5452976, -80.2517336 43.5449664)",,,
"[783388169, 511613475]",2,Paisley Street,secondary,50,False,True,202.37099999999998,"LINESTRING (-80.2521441 43.5454059, -80.2523076 43.5453897, -80.2525441 43.5453706, -80.2528094 43.5453573, -80.2529609 43.5453275, -80.2530956 43.5452822, -80.2531657 43.5452574, -80.2531978 43.5452407, -80.2542484 43.544694, -80.2543505 43.5446409)",,,
"[1021809530, 444677275, 1041796372]",2,Norfolk Street,secondary,,False,True,121.904,"LINESTRING (-80.2521441 43.5454059, -80.2523015 43.5455592, -80.2526175 43.5458678, -80.2527449 43.5459922, -80.2527823 43.546029, -80.2530441 43.546287)",,,
38898256,4,Wellington Street East,secondary,50,False,False,63.08,"LINESTRING (-80.2435331 43.5465755, -80.2438127 43.546761, -80.2440012 43.5468743, -80.2441272 43.5469443)",,,
477498907,,,secondary_link,50,True,False,72.067,"LINESTRING (-80.2435331 43.5465755, -80.2437742 43.546917, -80.2438335 43.5470006, -80.2438421 43.5470126, -80.2438681 43.5470492, -80.2438928 43.5471636)",,,
"[675436616, 675436614]","['4', '3']",Wellington Street East,secondary,50,False,True,48.193,"LINESTRING (-80.2435331 43.5465755, -80.2434288 43.5464678, -80.2433684 43.5463884, -80.243286 43.5462765, -80.2432318 43.5462019)",,,
38864737,4,Wyndham Street North,secondary,,False,True,58.895,"LINESTRING (-80.2480982 43.544782, -80.2480036 43.5446911, -80.2477269 43.5444269, -80.2476552 43.5443608)",,,
"[392331681, 43086746, 464456037]",4,Macdonell Street,tertiary,,False,False,401.55100000000004,"LINESTRING (-80.2480982 43.544782, -80.2479775 43.5448464, -80.2473932 43.5451501, -80.2465762 43.5455747, -80.2463109 43.5457071, -80.2457669 43.5459788, -80.2456385 43.5460429, -80.2455317 43.546099, -80.2451652 43.5462969, -80.2448982 43.5464318, -80.2445281 43.5466166, -80.2443009 43.5467806, -80.244233 43.5468449, -80.2441272 43.5469443)",,,
