osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge
30456612,2,4 Avenue NE,residential,False,False,107.988,"LINESTRING (-117.6230223 56.9246446, -117.6239294 56.9246446, -117.6248018 56.9246409)",,,
30456612,2,4 Avenue NE,residential,False,True,97.993,"LINESTRING (-117.6230223 56.9246446, -117.6221675 56.9246443, -117.6214075 56.924644)",,,
30464415,2,3 Street NE,residential,False,False,229.93,"LINESTRING (-117.6230223 56.9246446, -117.623023 56.9251482, -117.6230246 56.926291, -117.6230252 56.9267124)",,,
30464415,2,3 Street NE,residential,False,True,211.074,"LINESTRING (-117.6230223 56.9246446, -117.6230215 56.9245838, -117.6230599 56.9234664, -117.6230854 56.9227467)",,,
30458476,,2 Avenue SW,residential,False,False,28.277,"LINESTRING (-117.6291993 56.9230745, -117.629613 56.9231915)",,,
478853879,2,Main Street,trunk,False,True,29.418,"LINESTRING (-117.6291993 56.9230745, -117.629414 56.9228373)",35,50,
"[30470184, 478853878, 30848631]",2,Main Street,trunk,False,False,222.031,"LINESTRING (-117.6291993 56.9230745, -117.6291086 56.9231754, -117.6283667 56.9240025, -117.6275932 56.9248686)",35,50,yes
"[30463098, 30464127]",2,"['4A Avenue North-east', '4 Street NE']",residential,False,"[False, True]",190.731,"LINESTRING (-117.6204457 56.9258255, -117.6206032 56.9258377, -117.6214127 56.9258306, -117.6214003 56.9251453, -117.6214075 56.924644)",,,
"[30457071, 837002071]",2,"['5 Street NE', '5 Avenue NE']",residential,False,False,247.80400000000003,"LINESTRING (-117.6204457 56.9258255, -117.620455 56.9262837, -117.6204618 56.9266187, -117.6205112 56.9266568, -117.6205622 56.9266884, -117.6206449 56.9267029, -117.6207647 56.9267073, -117.6230252 56.9267124)",,,
30461521,2,5 Avenue SE,residential,False,False,209.365,"LINESTRING (-117.6247506 56.9203728, -117.6282003 56.9203735)",,,
30460478,2,3 Street SE,residential,False,False,63.674,"LINESTRING (-117.6247506 56.9203728, -117.6247457 56.9208124, -117.6247404 56.9209454)",,,
30460478,2,3 Street SE,residential,False,True,98.868,"LINESTRING (-117.6247506 56.9203728, -117.624751 56.9199359, -117.6247618 56.9194837)",,,
30848601,2,3A Avenue NE,residential,False,False,53.557,"LINESTRING (-117.6261315 56.9240431, -117.627014 56.9240477)",,,
30458038,2,1 Street NE,residential,False,False,67.386,"LINESTRING (-117.6261315 56.9240431, -117.6261381 56.9245802, -117.6261395 56.9246491)",,,
"[30464976, 30458038]",2,"['3 Avenue NE', '1 Street NE']",residential,False,True,183.105,"LINESTRING (-117.6261315 56.9240431, -117.6261143 56.9233619, -117.6260889 56.9233113, -117.6260081 56.923255, -117.6257314 56.9231247, -117.6251277 56.9228399, -117.6250054 56.9227921, -117.6247832 56.9227644)",,,
30456612,2,4 Avenue NE,residential,False,False,81.182,"LINESTRING (-117.6248018 56.9246409, -117.6261395 56.9246491)",,,
30456852,2,2 Street NE,residential,False,False,230.008,"LINESTRING (-117.6248018 56.9246409, -117.6247891 56.9267094)",,,
30456612,2,4 Avenue NE,residential,False,True,107.988,"LINESTRING (-117.6248018 56.9246409, -117.6239294 56.9246446, -117.6230223 56.9246446)",,,
30456852,2,2 Street NE,residential,False,True,208.661,"LINESTRING (-117.6248018 56.9246409, -117.6248004 56.9245818, -117.6247832 56.9227644)",,,
30456432,2,4 Avenue SE,residential,False,True,155.77,"LINESTRING (-117.6256025 56.9212477, -117.6281688 56.9212716)",,,
30456565,2,River Street,residential,False,True,62.188,"LINESTRING (-117.6256025 56.9212477, -117.6247404 56.9209454)",,,
"[30456565, 30457599]",2,"['River Street', '3 Avenue SE']",residential,False,False,313.137,"LINESTRING (-117.6256025 56.9212477, -117.6260238 56.9214349, -117.6262281 56.9215549, -117.626489 56.9217459, -117.6269601 56.9221046, -117.6270116 56.9221346, -117.6270748 56.9221613, -117.6271663 56.9221927, -117.627246 56.9221987, -117.6273419 56.9222001, -117.6274449 56.9222001, -117.6289046 56.9222026, -117.629718 56.9222062, -117.6297295 56.9222062, -117.6299734 56.9222073)",,,
30458419,2,3 Avenue SW,residential,False,True,254.218,"LINESTRING (-117.6341623 56.9221973, -117.6310963 56.9222062, -117.6302827 56.922207, -117.6302738 56.922207, -117.6299734 56.9222073)",,,
30465045,2,1 Street SW,residential,False,False,106.592,"LINESTRING (-117.6341623 56.9221973, -117.6341645 56.9226731, -117.6341283 56.9231555)",,,
30465045,2,1 Street SW,residential,False,True,104.256,"LINESTRING (-117.6341623 56.9221973, -117.6341497 56.9217195, -117.634129 56.9212599)",,,
30456565,2,River Street,residential,False,False,62.188,"LINESTRING (-117.6247404 56.9209454, -117.6256025 56.9212477)",,,
30456565,2,River Street,residential,False,True,284.908,"LINESTRING (-117.6247404 56.9209454, -117.6230558 56.9204723, -117.6226879 56.9203887, -117.6223356 56.9203233, -117.6219832 56.9202578, -117.621719 56.9202112, -117.6214835 56.9201777, -117.6212243 56.9201559, -117.6203551 56.9201075)",,,
30460478,2,3 Street SE,residential,False,True,63.674,"LINESTRING (-117.6247404 56.9209454, -117.6247457 56.9208124, -117.6247506 56.9203728)",,,
478853879,2,Main Street,trunk,False,False,29.418,"LINESTRING (-117.629414 56.9228373, -117.6291993 56.9230745)",35,50,
30457681,2,Main Street,trunk,False,True,77.846,"LINESTRING (-117.629414 56.9228373, -117.6295623 56.9226699, -117.6298245 56.9223744, -117.6299734 56.9222073)",35,50,
30458476,,2 Avenue SW,residential,False,True,28.277,"LINESTRING (-117.629613 56.9231915, -117.6291993 56.9230745)",,,
478853880,,2 Avenue SW,residential,False,False,56.428,"LINESTRING (-117.629613 56.9231915, -117.6304379 56.9234257)",,,
30457886,,,trunk_link,True,False,42.49799999999999,"LINESTRING (-117.629613 56.9231915, -117.6295139 56.92311, -117.6294526 56.9230446, -117.6294164 56.9229903, -117.6294095 56.9229262, -117.629414 56.9228373)",,,
30455975,2,2 Street NW,residential,False,False,152.965,"LINESTRING (-117.6278467 56.9257296, -117.6282828 56.9270845)",,,
30455975,2,2 Street NW,residential,False,True,59.013,"LINESTRING (-117.6278467 56.9257296, -117.6278389 56.9251989)",,,
30460973,2,3 Avenue NW,residential,False,True,138.186,"LINESTRING (-117.6278467 56.9257296, -117.6288674 56.9257019, -117.6301211 56.9256679)",,,
30456852,2,2 Street NE,residential,False,False,208.661,"LINESTRING (-117.6247832 56.9227644, -117.6248004 56.9245818, -117.6248018 56.9246409)",,,
