osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,tunnel,width
96623188,N 4;N31,Boulevard John F. Kennedy,primary,50,False,False,148.864,"LINESTRING (5.9819746 49.4915395, 5.9820824 49.4916262, 5.9831118 49.4924539, 5.9832698 49.4925809)",,,,
23964894,,Rue de la Libération,living_street,20,False,True,71.682,"LINESTRING (5.9832698 49.4925809, 5.9824135 49.4929068)",2,,,
1125003024,N 4;N31,Boulevard John F. Kennedy,primary,50,False,False,16.858,"LINESTRING (5.9832698 49.4925809, 5.9833996 49.4927069)",,,,
96623188,N 4;N31,Boulevard John F. Kennedy,primary,50,False,True,148.864,"LINESTRING (5.9832698 49.4925809, 5.9831118 49.4924539, 5.9820824 49.4916262, 5.9819746 49.4915395)",,,,
1125003024,N 4;N31,Boulevard John F. Kennedy,primary,50,False,True,16.858,"LINESTRING (5.9833996 49.4927069, 5.9832698 49.4925809)",,,,
28023974,N 4;N31,Boulevard John F. Kennedy,primary,50,True,False,65.78,"LINESTRING (5.9833996 49.4927069, 5.9838621 49.4930994, 5.9839674 49.4931686)",1,,,
96202365,N 31A,Place Norbert Metz,primary,,False,False,4.943,"LINESTRING (5.9863911 49.4959201, 5.9863242 49.4959295)",,,,
149785330,,Place Norbert Metz,residential,,False,False,49.363,"LINESTRING (5.9863911 49.4959201, 5.9865308 49.4959055, 5.9866223 49.4959042, 5.9870727 49.4958989)",,,,
"[149851548, 202799399]",N 4;N31,,primary,50,True,False,139.29,"LINESTRING (5.9863911 49.4959201, 5.9864928 49.4960328, 5.9868038 49.4963914, 5.9869809 49.4965604, 5.9872271 49.4967727, 5.9872541 49.496796, 5.9874083 49.4969818)","['1', '2']",,,
44060596,N 4,Rue Marie Curie,primary,50,False,True,178.75099999999998,"LINESTRING (5.9865523 49.4986706, 5.9864655 49.4988451, 5.9864522 49.4988874, 5.9864277 49.4989649, 5.9864102 49.4990785, 5.9864122 49.4992131, 5.9864479 49.4993716, 5.9865465 49.4996278, 5.9866925 49.4999865, 5.9867529 49.5002413)",3,,,
"[202799400, 202799401, 399621349, 149851550]",N 4,"['Rue Berwart', 'Rue Marie Curie']",primary,50,False,"[False, True]",259.07399999999996,"LINESTRING (5.9865523 49.4986706, 5.9866583 49.4985437, 5.9866959 49.4985052, 5.9867381 49.4984619, 5.9868635 49.4983521, 5.9869748 49.4982689, 5.9871002 49.4981862, 5.9872088 49.4981244, 5.9876618 49.4978965, 5.9879246 49.4977643, 5.9879844 49.4977342, 5.9881923 49.4976295, 5.9880926 49.4975471, 5.9880385 49.4975025, 5.9875472 49.4970966, 5.9875173 49.4970719, 5.9874083 49.4969818)","['4', '3']",,,
"[668285120, 263842508]",,Rue du Fossé,residential,50,False,True,47.93900000000001,"LINESTRING (5.9865523 49.4986706, 5.986376 49.4986269, 5.986319 49.4986127, 5.9861031 49.498559, 5.9859278 49.4985252)",3,,,
96202375,N 4;N31,,primary,50,True,False,23.482,"LINESTRING (5.9860944 49.4956563, 5.9860528 49.495557, 5.9860397 49.4954996, 5.9860283 49.4954499)",,,,
96260466,,Rue Saint-Antoine,residential,,False,True,4.973,"LINESTRING (5.9860283 49.4954499, 5.9860959 49.4954414)",,,,
"[96260465, 96202362, 559726779, 514942380]",N 4;N31,Boulevard John F. Kennedy,primary,50,True,False,272.243,"LINESTRING (5.9860283 49.4954499, 5.9859951 49.4953538, 5.9859814 49.4953144, 5.9858774 49.4951226, 5.985725 49.4949277, 5.9855537 49.494758, 5.9854224 49.4946513, 5.9851125 49.4943993, 5.9849239 49.4942433, 5.9848842 49.4942104, 5.9842584 49.4936813, 5.984078 49.4935287, 5.9839938 49.4934155)",1,,,
389381851,,Rond-Point Op der Goar,primary,50,True,False,13.061,"LINESTRING (5.9839938 49.4934155, 5.9839349 49.4934073, 5.9838828 49.4933876, 5.9838426 49.4933584)",1,roundabout,,
24685964,N 4;N31,Boulevard John F. Kennedy,primary,50,True,False,66.171,"LINESTRING (5.9838385 49.4932281, 5.9837825 49.4931345, 5.9833996 49.4927069)",1,,,
424922935,,Rond-Point Op der Goar,primary,50,True,False,11.733,"LINESTRING (5.9838385 49.4932281, 5.9838721 49.4932005, 5.9839163 49.4931802, 5.9839674 49.4931686)",1,roundabout,,
389381423,,Rue Dicks,residential,,True,False,107.441,"LINESTRING (5.9789113 49.4926376, 5.9786077 49.492949, 5.978121 49.4934562)",,,,
389380744,,Rue Zénon Bernard,residential,30,True,False,99.446,"LINESTRING (5.9792891 49.49227, 5.9804343 49.4927665)",1,,,
389381423,,Rue Dicks,residential,,True,False,49.147,"LINESTRING (5.9792891 49.49227, 5.9790716 49.4924801, 5.9789113 49.4926376)",,,,
23964901,,Rue du Fossé,residential,,False,False,67.709,"LINESTRING (5.9794907 49.4953096, 5.9794964 49.495357, 5.9795042 49.4954207, 5.9796792 49.4957956, 5.9797268 49.4958967)",2,,,
"[835570761, 23965028]",,Rue du Canal,residential,30,False,"[False, True]",73.003,"LINESTRING (5.9794907 49.4953096, 5.9796008 49.4952826, 5.9797296 49.4952807, 5.9803095 49.4953701, 5.9804732 49.4953954)",2,,,
"[23964885, 23964870]",,"['Rue Xavier Brasseur', 'Rue du 10 septembre']",residential,30,True,False,148.74400000000003,"LINESTRING (5.9791173 49.4937948, 5.9796977 49.4933532, 5.9803582 49.492827, 5.9804343 49.4927665)",1,,,
23964891,,Rue du Moulin,residential,30,True,False,157.958,"LINESTRING (5.9791173 49.4937948, 5.9791564 49.493795, 5.9791934 49.4938021, 5.9798221 49.4942414, 5.9799916 49.4943403, 5.9802959 49.4944795, 5.9808099 49.4946622)",1,,,
389381420,,Rue de la Libération,residential,,True,False,4.99,"LINESTRING (5.9808099 49.4946622, 5.9807896 49.4947051)",,,,
149871227,,Rue du Moulin,residential,,True,False,48.963,"LINESTRING (5.9814142 49.4948763, 5.9807896 49.4947051)",,,,
23965055,,Petite Rue du Moulin,residential,,False,True,47.525000000000006,"LINESTRING (5.9814142 49.4948763, 5.9817066 49.4945516, 5.9817465 49.4945074)",,,,
149789973,,Avenue de la Gare,residential,,False,True,7.0649999999999995,"LINESTRING (5.9823582 49.4951843, 5.9823602 49.4952142, 5.9823395 49.495245)",,,,
149871227,,Rue du Moulin,residential,,True,False,76.504,"LINESTRING (5.9823582 49.4951843, 5.9823204 49.4951618, 5.9817784 49.4949767, 5.9814142 49.4948763)",,,,
"[835570764, 23964901]",,Rue du Fossé,residential,,False,False,53.599000000000004,"LINESTRING (5.9802874 49.496597, 5.9805278 49.4968915, 5.9805463 49.4969141, 5.9806332 49.4970235)",2,,,
23964901,,Rue du Fossé,residential,,False,True,88.017,"LINESTRING (5.9802874 49.496597, 5.9798697 49.4961275, 5.9797838 49.4960108, 5.9797268 49.4958967)",2,,,
