osmid,oneway,ref,name,highway,reversed,length,geometry,junction,lanes,maxspeed,width
42295809,True,13,Thanon Lānsāng,trunk,False,219.478,"LINESTRING (102.6105976 17.9628785, 102.6120647 17.9642743)",,,,
711800590,True,,ຖະໜົນ ເຊດຖາທິຣາດ,primary,False,226.423,"LINESTRING (102.6105976 17.9628785, 102.6109693 17.9626175, 102.6112322 17.9624036, 102.6115172 17.9621716, 102.6122182 17.9615511)",,,,
22917306,False,,Thanon Pangkhām,residential,False,103.103,"LINESTRING (102.6108498 17.9685416, 102.6102923 17.967781)",,,,
653164913,False,,Boulevard Khounboulom,tertiary,True,109.352,"LINESTRING (102.6108498 17.9685416, 102.6112801 17.968339, 102.6117639 17.9680828)",,,,
10636376,False,,ຖະຫນົນ ໄຜ່ໜາມ,residential,False,10.871,"LINESTRING (102.6114135 17.9665939, 102.6115031 17.966546)",,,,
10636376,False,,ຖະຫນົນ ໄຜ່ໜາມ,residential,True,174.27100000000002,"LINESTRING (102.6114135 17.9665939, 102.6111317 17.96673, 102.6104744 17.9670473, 102.6099443 17.9673032)",,,,
22917344,True,,,residential,False,56.94,"LINESTRING (102.6114135 17.9665939, 102.611203 17.966235, 102.6111453 17.9661501)",,,,
10640531,True,,,residential,False,44.122,"LINESTRING (102.6113056 17.9657814, 102.611338 17.965821, 102.6113601 17.9658672, 102.611369 17.9659611, 102.6113456 17.9660326, 102.6113108 17.96608, 102.611254 17.9661227)",roundabout,,,
42341425,False,,Rue Bartholoni,residential,True,160.095,"LINESTRING (102.6113056 17.9657814, 102.6117408 17.965427, 102.6120022 17.9652141, 102.6124554 17.9648451)",,,,
238707582,False,,Chemin Nongbone,tertiary,False,272.886,"LINESTRING (102.6173568 17.9666955, 102.6169304 17.966277, 102.6164315 17.9657813, 102.616357 17.9657011, 102.616195 17.9655384, 102.6160416 17.9653739, 102.6160114 17.9653425, 102.6155919 17.9649059)",,,,
