osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,access
440770385,2,Vana-Keila mnt,tertiary,False,True,4.049,,"LINESTRING (24.5518476 59.319199, 24.5517936 59.3191752)",
4403894,,Pärnasalu,residential,False,False,128.68,30,"LINESTRING (24.5518476 59.319199, 24.5522171 59.3193498, 24.5536188 59.3199218)",
4425505,2,Vana-Keila mnt,tertiary,False,False,133.641,,"LINESTRING (24.5518476 59.319199, 24.5521249 59.3192433, 24.5522895 59.3192575, 24.552415 59.3192692, 24.5527441 59.3192725, 24.5530854 59.3192435, 24.5533662 59.3191897, 24.5534907 59.3191615, 24.553751 59.3190776, 24.553959 59.3189934, 24.5540239 59.3189649)",
4403894,,Pärnasalu,residential,False,False,65.169,30,"LINESTRING (24.557518 59.321513, 24.557873 59.3216574, 24.5584161 59.3218784)",
4403894,,Pärnasalu,residential,False,True,66.24000000000001,30,"LINESTRING (24.557518 59.321513, 24.5574522 59.3214861, 24.5565905 59.3211512)",
"[4413040, 1051548681, 1051548682]",,Pärnasalu põik,residential,False,False,208.49699999999999,,"LINESTRING (24.557518 59.321513, 24.5573294 59.3218071, 24.5570831 59.3219882, 24.5567494 59.3222336, 24.5566564 59.322302, 24.5563728 59.3225105, 24.555973 59.3228045, 24.5559005 59.3228925, 24.5559326 59.322975, 24.556047 59.3230667, 24.5561356 59.3231111)",
30682317,,Pärnasalu,residential,False,False,91.788,,"LINESTRING (24.5629141 59.3236998, 24.5630634 59.3237594, 24.5632275 59.323823, 24.5638222 59.3240949, 24.5640096 59.3241711, 24.5641469 59.3242337)",
107687491,2,Tule,tertiary,False,False,185.053,50,"LINESTRING (24.5629141 59.3236998, 24.5623358 59.3240746, 24.5618899 59.3243635, 24.5612135 59.3248099, 24.5610533 59.3249429, 24.5609515 59.3250274)",yes
107687491,2,Tule,tertiary,False,True,162.385,50,"LINESTRING (24.5629141 59.3236998, 24.5630797 59.3235972, 24.5637058 59.3232169, 24.5638243 59.3231442, 24.5647467 59.322578)",yes
"[1051322288, 4403894]",,Pärnasalu,residential,False,True,127.44200000000001,30,"LINESTRING (24.5629141 59.3236998, 24.5626901 59.3236234, 24.5626483 59.3236063, 24.5617026 59.3232205, 24.5613232 59.3230656, 24.5611462 59.3229934)",
