osmid,name,highway,oneway,reversed,length,geometry,bridge,lanes,access,maxspeed,junction
162195490,Via Fratelli di Dio,secondary,False,True,73.937,"LINESTRING (8.4100337 45.8772415, 8.4101179 45.8772987, 8.4102106 45.8773616, 8.4102713 45.8774027, 8.4104391 45.8775316, 8.4105357 45.8776109, 8.4106495 45.8777453)",,,,,
"[38977943, 544128270, 544128271]",Via Edmondo De Amicis,secondary,False,False,46.924,"LINESTRING (8.4100337 45.8772415, 8.4100798 45.8772088, 8.4101701 45.8771335, 8.4102288 45.8770811, 8.4103986 45.8769319, 8.4104189 45.876916)",yes,"['1', '2']",,,
837886190,Via Fratelli di Dio,tertiary,False,False,19.605,"LINESTRING (8.4100337 45.8772415, 8.4099756 45.8772037, 8.4098487 45.8771211)",,,,,
162195490,Via Fratelli di Dio,secondary,False,False,161.58499999999998,"LINESTRING (8.4112497 45.8791369, 8.4112181 45.8790626, 8.4111457 45.8788938, 8.4110536 45.8786791, 8.4109369 45.8783996, 8.4107367 45.87792, 8.4106495 45.8777453)",,,,,
162195490,Via Fratelli di Dio,secondary,False,True,66.045,"LINESTRING (8.4112497 45.8791369, 8.4114763 45.8796208, 8.4115142 45.8797016)",,,,,
38624793,Via Carlo Ferraris,residential,False,True,101.68299999999999,"LINESTRING (8.4100079 45.878446, 8.4102251 45.8788937, 8.4103293 45.8791005, 8.4103542 45.8791532, 8.410417 45.879286, 8.4104293 45.8793121)",,,,,
38977942,Via Andrea Costa,residential,False,False,120.63699999999999,"LINESTRING (8.4100079 45.878446, 8.409839 45.8787287, 8.409792 45.8788073, 8.4096954 45.8790216, 8.4096645 45.8790901, 8.4096209 45.8791819, 8.4096312 45.8792318, 8.4097084 45.8793075, 8.4098392 45.8794357)",,,no,,
"[38977942, 1074152263]",Via Andrea Costa,residential,False,True,92.45,"LINESTRING (8.4100079 45.878446, 8.4100165 45.8784357, 8.4101614 45.8782629, 8.4104821 45.8779081, 8.4106026 45.8777909, 8.4106495 45.8777453)",,,"['no', 'destination']",,
162195007,Piazza Filippo Maria Beltrami,tertiary,False,False,59.094,"LINESTRING (8.4098487 45.8771211, 8.4093763 45.8773699, 8.4092435 45.8774449)",,,,,
837886190,Via Fratelli di Dio,tertiary,False,True,19.605,"LINESTRING (8.4098487 45.8771211, 8.4099756 45.8772037, 8.4100337 45.8772415)",,,,,
162195007,Piazza Filippo Maria Beltrami,tertiary,False,True,59.094,"LINESTRING (8.4092435 45.8774449, 8.4093763 45.8773699, 8.4098487 45.8771211)",,,,,
203798382,,residential,False,True,59.903,"LINESTRING (8.4092435 45.8774449, 8.4090262 45.8772075, 8.4087739 45.8770196)",,,,,
653327671,Via De Angeli,tertiary,False,True,33.688,"LINESTRING (8.4092435 45.8774449, 8.4090447 45.8776549, 8.4090041 45.8776979)",,2,,,
1072336250,Via Tito Speri,tertiary,False,False,108.957,"LINESTRING (8.4092435 45.8774449, 8.4089761 45.8774674, 8.4089298 45.877464, 8.4087242 45.8774489, 8.4082279 45.8773717, 8.4079786 45.8773205, 8.4079132 45.8773019, 8.4078702 45.8772911)",,,,,
203799141,Via Giacomo Matteotti,tertiary,False,False,23.403,"LINESTRING (8.4078702 45.8772911, 8.4078486 45.8772471, 8.4078015 45.8772317, 8.4077972 45.8772234, 8.4077977 45.8772171, 8.4078076 45.8771047)",,,,,
1072336250,Via Tito Speri,tertiary,False,True,108.957,"LINESTRING (8.4078702 45.8772911, 8.4079132 45.8773019, 8.4079786 45.8773205, 8.4082279 45.8773717, 8.4087242 45.8774489, 8.4089298 45.877464, 8.4089761 45.8774674, 8.4092435 45.8774449)",,,,,
531185051,Piazza Ventiquattro aprile,residential,False,False,24.112,"LINESTRING (8.4090815 45.8755018, 8.4087728 45.8755306)",,,,30,
"[1119703884, 162194293]",Piazza Ventiquattro aprile,secondary,False,False,27.182000000000002,"LINESTRING (8.4090815 45.8755018, 8.4091137 45.8755012, 8.4093428 45.8755003, 8.4094318 45.8755086)",,,,,
"[1119703884, 162194293]",Piazza Ventiquattro aprile,secondary,False,True,27.182000000000002,"LINESTRING (8.4094318 45.8755086, 8.4093428 45.8755003, 8.4091137 45.8755012, 8.4090815 45.8755018)",,,,,
531185051,Piazza Ventiquattro aprile,residential,False,True,24.112,"LINESTRING (8.4087728 45.8755306, 8.4090815 45.8755018)",,,,30,
38751220,Via Felice Cavallotti,residential,True,False,102.21299999999998,"LINESTRING (8.4087728 45.8755306, 8.4087885 45.8756425, 8.4087814 45.8757489, 8.4087584 45.8758981, 8.4087667 45.8760087, 8.4087677 45.8760217, 8.4087723 45.8760842, 8.4087769 45.8761455, 8.4088818 45.8763707, 8.4089159 45.8764026, 8.4089376 45.8764237)",,,,,
38751220,Via Felice Cavallotti,residential,True,False,104.946,"LINESTRING (8.4089376 45.8764237, 8.4089447 45.8764259, 8.4091511 45.8765813, 8.4092463 45.8766517, 8.4093595 45.8767354, 8.4094066 45.876767, 8.4095399 45.876887, 8.4097426 45.8770407, 8.4098487 45.8771211)",,,,,
39017213,Via Giuseppe Zanoia,residential,True,False,62.105999999999995,"LINESTRING (8.4089376 45.8764237, 8.4088535 45.8765049, 8.4088099 45.8765486, 8.4087881 45.8765769, 8.4086906 45.8766751, 8.4086784 45.8766899, 8.4086669 45.8767011, 8.4085369 45.8768263, 8.4084848 45.8768843)",,,,,
203798378,Piazza Don Andrea Beltrami,residential,True,False,27.006,"LINESTRING (8.4087739 45.8770196, 8.4086062 45.8769489, 8.4084848 45.8768843)",,,,,
203798382,,residential,False,False,59.903,"LINESTRING (8.4087739 45.8770196, 8.4090262 45.8772075, 8.4092435 45.8774449)",,,,,
203796942,Via Tiro a Segno,residential,True,False,74.17,"LINESTRING (8.4074563 45.8778539, 8.4074992 45.8777827, 8.407536 45.8777163, 8.4076424 45.8775246, 8.4076942 45.877398, 8.4077106 45.8773466, 8.4077278 45.8773437, 8.4077835 45.8773344, 8.4078428 45.8773162, 8.4078702 45.8772911)",,,,,
39017215,Via Giuseppe Verdi,residential,True,False,25.733999999999998,"LINESTRING (8.4090041 45.8776979, 8.4090309 45.8777143, 8.4090488 45.8777253, 8.4092255 45.8778339, 8.409253 45.8778513)",,,,,
653327671,Via De Angeli,tertiary,False,False,33.688,"LINESTRING (8.4090041 45.8776979, 8.4090447 45.8776549, 8.4092435 45.8774449)",,2,,,
653327671,Via De Angeli,tertiary,False,True,93.548,"LINESTRING (8.4090041 45.8776979, 8.4085416 45.8780776, 8.4082981 45.8782774, 8.4082743 45.8782915, 8.4082197 45.8783375)",,2,,,
38624793,Via Carlo Ferraris,residential,False,False,101.68299999999999,"LINESTRING (8.4104293 45.8793121, 8.410417 45.879286, 8.4103542 45.8791532, 8.4103293 45.8791005, 8.4102251 45.8788937, 8.4100079 45.878446)",,,,,
38977936,Via Gianni Citterio,tertiary,True,False,66.429,"LINESTRING (8.4104293 45.8793121, 8.4108154 45.8792296, 8.4109302 45.8792051, 8.4112497 45.8791369)",,,,,
38977936,Via Gianni Citterio,tertiary,True,False,10.479,"LINESTRING (8.4097299 45.8794913, 8.4098392 45.8794357)",,,,,
203855694,,residential,False,False,18.426,"LINESTRING (8.4097299 45.8794913, 8.4097659 45.8796551)",,,,,
38977936,Via Gianni Citterio,tertiary,True,False,21.34,"LINESTRING (8.4095125 45.8796093, 8.4097299 45.8794913)",,,,,
38977940,,residential,False,False,6.238,"LINESTRING (8.4095125 45.8796093, 8.4095405 45.8796619)",,,,,
38977938,,tertiary,True,False,21.929,"LINESTRING (8.409237 45.8795634, 8.4095125 45.8796093)",yes,,,,
39017218,Via Carlo Pisacane,residential,True,False,75.606,"LINESTRING (8.4081156 45.8793167, 8.4083474 45.8791125, 8.40837 45.8790971, 8.4085257 45.8789908, 8.4085904 45.8789466, 8.4086104 45.8789301, 8.4087355 45.8788272, 8.4087601 45.8788072)",,,,,
