osmid,lanes,name,highway,maxspeed,junction,oneway,reversed,length,geometry,width
448001020,1,Dantestraße - Via Dante,secondary,30,roundabout,True,False,2.554,"LINESTRING (11.6522976 46.7132238, 11.6523186 46.7132059)",
41678219,1,Bahnhofstraße - Viale Stazione,tertiary,,,True,False,21.157999999999998,"LINESTRING (11.6520327 46.7131761, 11.6520999 46.7131971, 11.6521809 46.7132163, 11.6522485 46.7132161, 11.6522976 46.7132238)",
40577473,,Verdistraße - Via Verdi,residential,30,,False,True,70.977,"LINESTRING (11.6572237 46.7127592, 11.6569671 46.7127469, 11.6566234 46.7126943, 11.6563529 46.7126525, 11.6563101 46.7126447)",
"[511433040, 49022735]",,Kassianstraße - Via San Cassiano,"['living_street', 'residential']","['20', '30']",,True,False,164.20499999999998,"LINESTRING (11.6547278 46.7152201, 11.6548026 46.7151924, 11.6548664 46.7151564, 11.6548997 46.7151202, 11.6549458 46.7149394, 11.6549693 46.7148146, 11.6550604 46.7144958, 11.655295 46.7138302)",6
41678217,1,Alpinistraße - Via degli Alpini,secondary,30,,True,False,18.233,"LINESTRING (11.6523442 46.7130425, 11.6523973 46.7130933, 11.6524323 46.7131544, 11.6524474 46.7131887)",
26380634,,Fallmerayerstraße - Via Fallmerayer,residential,,,True,False,171.595,"LINESTRING (11.655295 46.7138302, 11.6552322 46.7138239, 11.6533947 46.7136689, 11.6533371 46.7136784, 11.6532784 46.7137102, 11.6532104 46.7137671, 11.653153 46.7138186)",
770904795,,Kassianstraße - Via San Cassiano,residential,40,,False,False,147.853,"LINESTRING (11.655295 46.7138302, 11.6554203 46.7131928, 11.6554717 46.7125072)",
39321617,,Widmannbrückengasse - Via Ponte Widmann,residential,30,,False,True,14.637999999999998,"LINESTRING (11.6604782 46.7140025, 11.6604096 46.7140068, 11.6602878 46.7140191)",5
760750248,1,Dantestraße - Via Dante,secondary,30,roundabout,True,False,4.73,"LINESTRING (11.6525521 46.7136104, 11.652503 46.7136364)",
"[39627414, 40444327]",,"['Regensburger Allee - Viale Ratisbona', 'Kleiner Graben - Via Bastioni Minori']",living_street,20,,True,False,187.399,"LINESTRING (11.6546657 46.7168984, 11.6547424 46.7165072, 11.654791 46.7161794, 11.6547961 46.7161448, 11.654795 46.7158818, 11.6547746 46.7156419, 11.6547278 46.7152201)",
815554574,2,Romstraße - Via Roma,residential,30,,False,True,34.328,"LINESTRING (11.6546657 46.7168984, 11.6542581 46.7168608, 11.6542196 46.7168565)",
41678212,1,Dantestraße - Via Dante,secondary,30,,True,False,28.141,"LINESTRING (11.652503 46.7136364, 11.6524813 46.7136695, 11.652459 46.713767, 11.6524104 46.7138803)",
359403966,1,Dantestraße - Via Dante,secondary,30,roundabout,True,False,9.612,"LINESTRING (11.652503 46.7136364, 11.6524365 46.7136397, 11.6523788 46.71363)",
41678213,1,Niccolò-Castiglioni-Straße - Via Niccolò Castiglioni,residential,,,True,False,26.455999999999996,"LINESTRING (11.6523475 46.7136097, 11.6522869 46.713604, 11.6521237 46.7136113, 11.6520014 46.7136119)",
359403968,1,Dantestraße - Via Dante,secondary,30,roundabout,True,False,12.693000000000001,"LINESTRING (11.6523475 46.7136097, 11.6523298 46.7135882, 11.6523186 46.71355, 11.6523191 46.7134995)",
