osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,tunnel,bridge
290539195,2,SS18,Via Nazionale,primary,False,False,615.9559999999999,"LINESTRING (15.8122628 38.2867297, 15.8120891 38.2865965, 15.8118053 38.2864046, 15.8115086 38.2862134, 15.811418 38.2861555, 15.8113351 38.2861155, 15.8112428 38.2860988, 15.8111455 38.2860885, 15.8109467 38.2860802, 15.8108258 38.2860563, 15.8107477 38.2860235, 15.8107051 38.2859919, 15.8106601 38.2859414, 15.8106453 38.2858838, 15.810653 38.285792, 15.8106802 38.2856833, 15.8107454 38.2855094, 15.8107969 38.2853605, 15.8107951 38.2853291, 15.8107722 38.2852902, 15.8107312 38.2852612, 15.8106652 38.2852496, 15.8106068 38.2852742, 15.8105713 38.285317, 15.8105085 38.2854406, 15.8103816 38.2857139, 15.8103036 38.2859027, 15.810287 38.2859956, 15.8102864 38.28605, 15.8102989 38.28611, 15.8103273 38.2861546, 15.8103818 38.2862094, 15.8104694 38.2862718, 15.810923 38.2865218, 15.8109976 38.2865747, 15.8110726 38.2866533, 15.8113269 38.2869596, 15.8116002 38.2872935, 15.8120625 38.2878437, 15.8120895 38.2878938)",,
229385479,,,,residential,False,False,70.50800000000001,"LINESTRING (15.8109516 38.2871746, 15.8108749 38.2872634, 15.810865 38.2873017, 15.8108753 38.28734, 15.8112378 38.2876868)",,
290539195,2,SS18,Via Nazionale,primary,False,False,142.761,"LINESTRING (15.8109516 38.2871746, 15.810788 38.2870869, 15.8106483 38.28703, 15.8101989 38.2868965, 15.8097317 38.2867586, 15.8094475 38.2866819)",,
290539195,2,SS18,Via Nazionale,primary,False,True,138.91500000000002,"LINESTRING (15.8109516 38.2871746, 15.8110031 38.2872097, 15.811102 38.2872772, 15.81145 38.2875378, 15.8118046 38.2878046, 15.8119297 38.2879096, 15.8119901 38.2879477, 15.8120311 38.2879551, 15.8120741 38.2879449, 15.8120956 38.2879214, 15.8120895 38.2878938)",,
290539195,2,SS18,Via Nazionale,primary,False,False,300.13100000000003,"LINESTRING (15.8094475 38.2866819, 15.8093981 38.286666, 15.809201 38.2866026, 15.8090116 38.2865441, 15.8088118 38.2864552, 15.8087297 38.2864204, 15.8086657 38.2864111, 15.8086098 38.2864157, 15.808584 38.2864465, 15.8085888 38.2864883, 15.8086115 38.2865192, 15.8087709 38.2866194, 15.809072 38.2868155, 15.8092847 38.28697, 15.8095146 38.287182, 15.8099448 38.2876094, 15.8100963 38.287765, 15.8101944 38.2878975)",,
290539195,2,SS18,Via Nazionale,primary,False,True,142.761,"LINESTRING (15.8094475 38.2866819, 15.8097317 38.2867586, 15.8101989 38.2868965, 15.8106483 38.28703, 15.810788 38.2870869, 15.8109516 38.2871746)",,
437102920,,,Via Monte Sabotino,residential,False,False,148.95100000000002,"LINESTRING (15.8094475 38.2866819, 15.8095058 38.2867753, 15.8097276 38.2869396, 15.8098373 38.2870237, 15.8100217 38.2871763, 15.8101687 38.2873093, 15.8102535 38.2873876, 15.8104728 38.2877338)",,
175393939,,,Via San Giacomo,residential,False,True,55.578,"LINESTRING (15.8028933 38.2853576, 15.8023802 38.2856536)",,
229385409,,,Corso Giuseppe Garibaldi,residential,True,False,35.255,"LINESTRING (15.8028933 38.2853576, 15.8031342 38.2856121)",,
175403093,,,Via Parallela IV Regione Melarosa,residential,False,True,19.725,"LINESTRING (15.8108279 38.2921228, 15.8109933 38.2922437)",,
