osmid,oneway,name,highway,reversed,length,geometry,lanes,junction,bridge,tunnel,ref,maxspeed
714490252,True,Viale Santa Lucia,tertiary,False,12.875,"LINESTRING (13.2796836 43.2094455, 13.2796986 43.2093854, 13.2796973 43.2093307)",,,,,,
1238538413,False,Viale Santa Lucia,tertiary,True,156.111,"LINESTRING (13.2796836 43.2094455, 13.2796371 43.2094951, 13.2794926 43.2096376, 13.2792074 43.209914, 13.2790889 43.2100292, 13.278806 43.210302, 13.2785338 43.2105718)",,,,,,
283661726,False,Viale Bruno Buozzi,secondary,False,57.388999999999996,"LINESTRING (13.2795253 43.2092158, 13.2793625 43.2091573, 13.2792197 43.209082, 13.2790927 43.2089771, 13.2789947 43.2088864)",,,,,,
714490248,True,Viale Bruno Buozzi,secondary,False,16.229,"LINESTRING (13.2795253 43.2092158, 13.2796403 43.2092242, 13.2797249 43.2092266)",,,,,,
283661726,False,Viale Bruno Buozzi,secondary,False,19.231,"LINESTRING (13.2789947 43.2088864, 13.2788778 43.2087359)",,,,,,
283661726,False,Viale Bruno Buozzi,secondary,True,57.388999999999996,"LINESTRING (13.2789947 43.2088864, 13.2790927 43.2089771, 13.2792197 43.209082, 13.2793625 43.2091573, 13.2795253 43.2092158)",,,,,,
865717701,True,,tertiary,False,7.2219999999999995,"LINESTRING (13.2860588 43.2066067, 13.2860709 43.2066203, 13.2860771 43.2066359, 13.286077 43.2066521, 13.2860705 43.2066677)",1,roundabout,,,,
1267488787,True,Viale Foro Boario,tertiary,False,12.520999999999999,"LINESTRING (13.2860588 43.2066067, 13.2860914 43.2066173, 13.2861242 43.2066255, 13.2862071 43.2066359)",,,,,,
38811536,True,Viale dei Cappuccini,tertiary,False,136.10700000000003,"LINESTRING (13.2792685 43.2129428, 13.2795203 43.2124295, 13.2796583 43.2121131, 13.2797619 43.2117745)",,,,,,
"[481127122, 481127123, 38438020]",False,Viale Bruno Buozzi,secondary,False,75.996,"LINESTRING (13.2809165 43.2093663, 13.2808635 43.2093661, 13.2807457 43.2093619, 13.2801418 43.2093156, 13.280077 43.2093102, 13.2800389 43.209307, 13.2799834 43.2093018)",,,yes,,,
