osmid,ref,name,highway,oneway,reversed,length,geometry,junction,lanes,maxspeed,width
"[137837768, 137837762]",SP46,Via Roma,secondary,False,False,56.119,"LINESTRING (11.8811171 45.454827, 11.8810715 45.4548759, 11.8810594 45.454937, 11.8810768 45.4550132, 11.8811774 45.4551525, 11.881259 45.4552925)",,,,
137837768,SP46,Via Roma,secondary,False,True,97.727,"LINESTRING (11.8811171 45.454827, 11.8811694 45.4547874, 11.8812351 45.4547536, 11.8813598 45.4547018, 11.8816133 45.4546238, 11.8818225 45.4545758, 11.882249 45.4544695)",,,,
174964717,SP46,Via Roma,secondary,False,True,173.927,"LINESTRING (11.8827513 45.4580562, 11.8827539 45.4580141, 11.8827513 45.4579216, 11.882728 45.4578599, 11.8824719 45.4573646, 11.8821257 45.4566665, 11.8821182 45.4566155, 11.8821137 45.4565672)",,,,
1121971808,,,secondary,True,False,13.214999999999998,"LINESTRING (11.8827513 45.4580562, 11.8827938 45.4580632, 11.8828318 45.4580785, 11.8828621 45.4581006, 11.8828795 45.4581245)",roundabout,,,
1121971806,SP46,Via Ca' Pisani,secondary,True,False,41.751000000000005,"LINESTRING (11.8822066 45.4584288, 11.8823066 45.4583631, 11.8823832 45.4583208, 11.8824649 45.4582803, 11.8825044 45.4582521, 11.8825387 45.4582217, 11.8825857 45.4581686)",,,,
1257543606,SP46,Via Ca' Pisani,secondary,False,True,55.0,"LINESTRING (11.8822066 45.4584288, 11.8821596 45.4584465, 11.8819351 45.4585436, 11.8817148 45.4586554, 11.8816318 45.4587124)",,,,
28858623,,Via San Martino,residential,False,False,66.224,"LINESTRING (11.888868 45.4555631, 11.8888754 45.4556266, 11.8888941 45.4557282, 11.8890487 45.4561437)",,2,,
28858623,,Via San Martino,residential,False,True,29.549999999999997,"LINESTRING (11.888868 45.4555631, 11.888868 45.4555043, 11.8888901 45.4553787, 11.8889015 45.4552987)",,2,,
1257454376,,,residential,False,False,45.047999999999995,"LINESTRING (11.888868 45.4555631, 11.8888257 45.455565, 11.8887775 45.4555725, 11.8886568 45.455597, 11.8884469 45.4556426, 11.8883423 45.455676, 11.8883188 45.4556829)",,1,30,3.5
137838687,,Via Cesare Battisti,residential,False,False,30.509,"LINESTRING (11.887994 45.4567651, 11.8877846 45.4567511, 11.8876044 45.4567614)",,,,
137838687,,Via Cesare Battisti,residential,False,True,63.43900000000001,"LINESTRING (11.887994 45.4567651, 11.8881378 45.4567936, 11.8885173 45.4568879, 11.8887748 45.4569191)",,,,
34408596,,Via Pio XII,residential,False,False,65.20599999999999,"LINESTRING (11.876691 45.4569764, 11.8768548 45.4568967, 11.8770969 45.4567802, 11.8773421 45.4566683, 11.8773845 45.456649)",,,,
