osmid,oneway,highway,reversed,length,geometry,ref,name,junction,bridge,lanes,maxspeed
61696034,True,trunk_link,False,46.427,"LINESTRING (14.8304123 40.9251137, 14.8302837 40.9249584, 14.8300411 40.9248124)",,,,,,
61696026,False,tertiary,False,28.576,"LINESTRING (14.8302758 40.9246264, 14.8300411 40.9248124)",SP23,Via Manfredi,,,,
61696008,True,trunk_link,False,55.704,"LINESTRING (14.8302758 40.9246264, 14.8303694 40.9248325, 14.8304123 40.9251137)",,,,,,
61696026,False,tertiary,True,159.466,"LINESTRING (14.8302758 40.9246264, 14.8305442 40.9244136, 14.8315813 40.9235854)",SP23,Via Manfredi,,,,
61696026,False,tertiary,True,28.576,"LINESTRING (14.8300411 40.9248124, 14.8302758 40.9246264)",SP23,Via Manfredi,,,,
157928528,False,residential,True,339.59000000000003,"LINESTRING (14.8323899 40.9163538, 14.8333199 40.9170021, 14.8336208 40.9171019, 14.8342445 40.9172904, 14.8349944 40.9177405, 14.8352988 40.9179622, 14.8355067 40.9182164)",SP5,Via Serino,,,,
157833261,False,tertiary,False,35.376,"LINESTRING (14.8304987 40.9172358, 14.8304271 40.9172129, 14.8303444 40.9171842, 14.830241 40.9171171, 14.8301625 40.9170526)",,,circular,,,
157833261,False,tertiary,True,17.252000000000002,"LINESTRING (14.8304987 40.9172358, 14.8305855 40.9172109, 14.8306786 40.9171632)",,,circular,,,
158021647,False,tertiary,True,153.978,"LINESTRING (14.838397 40.9209196, 14.8382438 40.9209196, 14.8369571 40.9214598, 14.8367738 40.9215332)",ex SS7,ex Strada Statale 7 Appia,,,,
158021705,False,unclassified,True,94.261,"LINESTRING (14.838397 40.9209196, 14.8383 40.9208441, 14.8377501 40.9206191, 14.8376611 40.9205113, 14.837662 40.9203684)",,Via Fiumitello,,,,
157833248,True,unclassified,False,24.001,"LINESTRING (14.8301625 40.9170526, 14.8301086 40.9170247, 14.8300221 40.9170135, 14.8299646 40.9170248, 14.8299005 40.9170514)",,,,,,
157833261,False,tertiary,False,20.884999999999998,"LINESTRING (14.8301625 40.9170526, 14.8300907 40.9169868, 14.8300367 40.9169439, 14.8300056 40.9169075)",,,circular,,,
157833261,False,tertiary,True,35.376,"LINESTRING (14.8301625 40.9170526, 14.830241 40.9171171, 14.8303444 40.9171842, 14.8304271 40.9172129, 14.8304987 40.9172358)",,,circular,,,
157833245,True,tertiary,False,31.609,"LINESTRING (14.8306786 40.9171632, 14.8308781 40.9174042)",,Via San Nicola,,,,
157833261,False,tertiary,False,17.252000000000002,"LINESTRING (14.8306786 40.9171632, 14.8305855 40.9172109, 14.8304987 40.9172358)",,,circular,,,
157833261,False,tertiary,True,17.811,"LINESTRING (14.8306786 40.9171632, 14.8307477 40.9171, 14.8308032 40.917034)",,,circular,,,
157623556,True,tertiary,False,14.946,"LINESTRING (14.8325528 40.9226602, 14.8326406 40.9225433)",SP23,Via Manfredi,,,,
61696026,False,tertiary,False,131.464,"LINESTRING (14.8325528 40.9226602, 14.8321315 40.9231038, 14.8318053 40.9233924, 14.8316419 40.923537, 14.8315813 40.9235854)",SP23,Via Manfredi,,,,
206843816,False,residential,False,117.39399999999999,"LINESTRING (14.8317592 40.916813, 14.8322406 40.9169645, 14.8326403 40.9172483, 14.832849 40.9174387)",,,,,,
252879539,False,tertiary,False,29.652,"LINESTRING (14.8317592 40.916813, 14.8315221 40.9169731, 14.8314872 40.9169739)",,,,,,
157839241,False,tertiary,True,29.607,"LINESTRING (14.8309847 40.9169854, 14.8313369 40.9169776)",,Via Antonio Gramsci,,yes,,
253332049,True,tertiary,False,16.18,"LINESTRING (14.8309847 40.9169854, 14.8308032 40.917034)",,Via Antonio Gramsci,,,,
270061140,True,residential,False,18.911,"LINESTRING (14.8366637 40.9214207, 14.8366409 40.9215899)",,Via Fiumitello,,,,
158021645,False,residential,True,141.525,"LINESTRING (14.8366637 40.9214207, 14.8367028 40.921245, 14.8369288 40.9207809, 14.8370983 40.9205867, 14.8373272 40.9202625)",,Via Fiumitello,,,,
157928531,False,residential,True,63.879,"LINESTRING (14.8355067 40.9182164, 14.8354879 40.9187907)",SP5,Via Salita Palazzo,,,,
157928528,False,residential,False,339.59000000000003,"LINESTRING (14.8355067 40.9182164, 14.8352988 40.9179622, 14.8349944 40.9177405, 14.8342445 40.9172904, 14.8336208 40.9171019, 14.8333199 40.9170021, 14.8323899 40.9163538)",SP5,Via Serino,,,,
206842063,False,residential,True,97.564,"LINESTRING (14.8355067 40.9182164, 14.8360717 40.9179913, 14.8363131 40.917896, 14.8364311 40.9179001, 14.8365491 40.9178555)",,,,,,
253332042,False,residential,True,4.825,"LINESTRING (14.834539 40.9208892, 14.8344886 40.92091)",,Piazza Umberto I,,,,
405560810,False,residential,True,21.007,"LINESTRING (14.834539 40.9208892, 14.8344117 40.9207266)",,Via Fiume,,,,
131499700,False,residential,False,106.324,"LINESTRING (14.834539 40.9208892, 14.8349997 40.9206274, 14.8353893 40.920198)",,Via Raffaele Aversa,,,,
157619265,False,residential,True,21.968,"LINESTRING (14.8281401 40.9177962, 14.8282781 40.917964)",,,,,,
