osmid,lanes,name,highway,oneway,reversed,length,tunnel,geometry,ref,junction,bridge,maxspeed,access
"[1163553049, 22815546, 22815549]",2,Sottopasso Croce Rossa,residential,False,True,128.71699999999998,yes,"LINESTRING (7.7788418 43.817277, 7.7788965 43.8172194, 7.7789364 43.8171774, 7.7792486 43.8168546, 7.7793853 43.81667, 7.7793999 43.8166293, 7.7793919 43.8165882, 7.7793683 43.8165347, 7.7792368 43.8163881, 7.7792058 43.8163491, 7.7791985 43.8163159, 7.7791928 43.8162751)",,,,,
41189212,2,Via Roma,primary,True,False,21.767,,"LINESTRING (7.7788418 43.817277, 7.7789948 43.8172938, 7.7790942 43.8173377)",SS1,,,,
"[1163553048, 22815233]",2,Via Roma,primary,False,False,196.421,,"LINESTRING (7.7788418 43.817277, 7.7786458 43.8171539, 7.7786182 43.8171407, 7.7781164 43.8169008, 7.7775042 43.816608, 7.7770563 43.8163939, 7.7768217 43.8162817)",SS1,,,,
22813958,,Via Bartolomeo Asquasciati,residential,True,False,24.741,,"LINESTRING (7.7777247 43.8184367, 7.7778991 43.8182532)",,,,,
22815287,,Via Giacomo Matteotti,residential,True,False,13.622,,"LINESTRING (7.7777247 43.8184367, 7.7776744 43.8183888, 7.7776351 43.8183332)",,,,,
23711055,,Piazza Colombo,residential,True,False,77.354,,"LINESTRING (7.7785206 43.818823, 7.7783713 43.8187495, 7.7779433 43.8185691, 7.7778667 43.8185362, 7.777794 43.8184932, 7.7777247 43.8184367)",,,,,
41128711,,Via Giovanni Marsaglia,residential,True,False,65.017,,"LINESTRING (7.7785206 43.818823, 7.7784478 43.8188843, 7.7781781 43.8193492)",,,,,
22815233,2,Via Roma,primary,False,False,72.305,,"LINESTRING (7.7768217 43.8162817, 7.7765405 43.8161472, 7.7761164 43.8159444, 7.7760705 43.8159225)",SS1,,,,
"[1163553048, 22815233]",2,Via Roma,primary,False,True,196.421,,"LINESTRING (7.7768217 43.8162817, 7.7770563 43.8163939, 7.7775042 43.816608, 7.7781164 43.8169008, 7.7786182 43.8171407, 7.7786458 43.8171539, 7.7788418 43.817277)",SS1,,,,
126566697,,Via Vincenzo Gioberti,residential,True,False,120.251,,"LINESTRING (7.7768217 43.8162817, 7.7778414 43.8155196, 7.7778627 43.8155037)",,,,,
