osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,access,bridge,junction
161037368,Via del Conte,residential,False,False,38.383,,,"LINESTRING (15.6263628 40.0744547, 15.6263529 40.0747998)",,,
602271218,SS18 - Tirrena Inferiore,primary,False,False,50.233,2,SS18,"LINESTRING (15.6263628 40.0744547, 15.6269238 40.074314)",,,
602271218,SS18 - Tirrena Inferiore,primary,False,True,44.436,2,SS18,"LINESTRING (15.6263628 40.0744547, 15.6258459 40.0745117)",,,
115848158,Via Cagliari,residential,True,False,42.21,,,"LINESTRING (15.6269238 40.074314, 15.626992 40.07469)",,,
602271218,SS18 - Tirrena Inferiore,primary,False,True,50.233,2,SS18,"LINESTRING (15.6269238 40.074314, 15.6263628 40.0744547)",,,
602271218,SS18 - Tirrena Inferiore,primary,False,False,97.283,2,SS18,"LINESTRING (15.6269238 40.074314, 15.6269873 40.0742873, 15.6274352 40.0741091, 15.6279344 40.0739049)",,,
602271218,SS18 - Tirrena Inferiore,primary,False,False,41.055,2,SS18,"LINESTRING (15.6301224 40.0727045, 15.6304771 40.0724542)",,,
602271218,SS18 - Tirrena Inferiore,primary,False,True,36.817,2,SS18,"LINESTRING (15.6301224 40.0727045, 15.6297908 40.0729172)",,,
602271218,SS18 - Tirrena Inferiore,primary,False,True,23.168,2,SS18,"LINESTRING (15.6313403 40.07181, 15.6311559 40.0719633)",,,
228842431,Via Gabriele D'Annunzio,unclassified,False,False,45.747,,,"LINESTRING (15.6313403 40.07181, 15.6315512 40.0716842, 15.6317354 40.0715329)",,,
162675338,,residential,False,True,50.268,,,"LINESTRING (15.6348607 40.0726565, 15.6346958 40.0730906)",,,
935522651,Via Costabile Carducci,residential,False,False,57.561,,,"LINESTRING (15.6348607 40.0726565, 15.634611 40.0728137, 15.6344825 40.0729401, 15.6344027 40.0730317)",,,
360950309,Via Vallone Ischitello,residential,True,False,73.728,,,"LINESTRING (15.6254982 40.0758862, 15.6254878 40.0765492)",,,
618283830,,residential,True,False,113.729,,,"LINESTRING (15.6254982 40.0758862, 15.6254046 40.0752805, 15.6253853 40.0751795, 15.6253918 40.0749915, 15.6254104 40.0748696)",,,
618283833,Via Camillo Benso Conte di Cavour,residential,True,False,73.194,1,,"LINESTRING (15.6243408 40.0757691, 15.6251918 40.0758653)",permissive,,
115848160,Via Granozio,residential,True,False,116.339,,,"LINESTRING (15.6243408 40.0757691, 15.6246056 40.0748181, 15.6246257 40.0747458)",,,
1192265310,Corso Umberto I,residential,True,False,61.197,1,,"LINESTRING (15.6307878 40.0757775, 15.6305108 40.0752696)",permissive,,
151886831,Via Giuseppe Mazzini,residential,False,True,260.837,,,"LINESTRING (15.6307878 40.0757775, 15.6309226 40.0757305, 15.6311133 40.0756639, 15.6312384 40.0756154, 15.6314617 40.0754926, 15.6315354 40.0754429, 15.631997 40.0751888, 15.6323343 40.0749827, 15.6331022 40.0745407, 15.6331784 40.0745084, 15.6333062 40.0744543)",,,
107737445,,secondary,False,False,8.789,,,"LINESTRING (15.6307664 40.0763657, 15.6308626 40.0763369)",,,
107737445,,secondary,False,True,245.22400000000002,,,"LINESTRING (15.6307664 40.0763657, 15.6303959 40.0764854, 15.6300721 40.0766014, 15.6298579 40.0766747, 15.629542 40.0767837, 15.6290464 40.0769531, 15.6283196 40.0772061, 15.6282728 40.0772186, 15.6282005 40.0772324, 15.6281658 40.077236, 15.6281251 40.0772387)",,,
109085531,Via Nicotera,residential,False,True,299.742,,,"LINESTRING (15.6307664 40.0763657, 15.6308517 40.0769797, 15.6309859 40.0778105, 15.6309979 40.0778425, 15.6310341 40.0778659, 15.6310852 40.0778734, 15.6314531 40.0778029, 15.6325204 40.0776)",,,
361332879,Via Michelangelo Merisi,residential,False,True,84.659,,,"LINESTRING (15.6241453 40.0764601, 15.6239625 40.0772085)",,,
115848160,Via Granozio,residential,True,False,78.69200000000001,,,"LINESTRING (15.6241453 40.0764601, 15.6242192 40.0761254, 15.6243408 40.0757691)",,,
360950312,Via John Fitzgerald Kennedy,secondary,False,False,75.638,,,"LINESTRING (15.6241453 40.0764601, 15.6244895 40.0765117, 15.6249419 40.076541, 15.6250253 40.0765499)",,,
