osmid,lanes,name,highway,maxspeed,oneway,reversed,length,ref,geometry,access,tunnel
626381484,2,Via Maddalena,residential,50,False,True,18.798,,"LINESTRING (13.7592949 43.2563082, 13.7595065 43.2563777)",,
23224495,2,Via Elpidiense,secondary,50,False,False,33.754999999999995,SP27,"LINESTRING (13.7592949 43.2563082, 13.7591616 43.2562627, 13.7589174 43.2561795)",,
125689779,2,Via Umberto I,primary,50,False,False,55.366,SS16,"LINESTRING (13.7592949 43.2563082, 13.7592295 43.2564184, 13.7590241 43.2567654)",yes,
125689779,2,Via Umberto I,primary,50,False,True,71.936,SS16,"LINESTRING (13.7592949 43.2563082, 13.7593477 43.2562189, 13.7596465 43.2557141)",yes,
848067478,2,Via Umberto I,primary,50,False,False,48.317,SS16,"LINESTRING (13.7575093 43.259671, 13.7574552 43.2597779, 13.7573029 43.2600787)",yes,
862126935,2,Via Umberto I,primary,50,False,True,88.179,SS16,"LINESTRING (13.7575093 43.259671, 13.7575266 43.2596333, 13.7576316 43.259393, 13.7577945 43.2590226, 13.7578415 43.2589158)",yes,
1205286832,2,Via Monte Grappa,tertiary,,False,False,34.433,,"LINESTRING (13.7575093 43.259671, 13.7574203 43.2596616, 13.7570955 43.259601)",,
"[36852336, 626400519]",1,Via Trieste,tertiary,,True,False,396.992,,"LINESTRING (13.7605052 43.2579013, 13.7609177 43.2580388, 13.760938 43.2580843, 13.7609402 43.2581363, 13.76087 43.2582705, 13.7608206 43.2583443, 13.7607636 43.258449, 13.7607379 43.2584972, 13.760182 43.2595363, 13.7598711 43.2601075, 13.7596367 43.2605382, 13.7593779 43.2610195, 13.7593575 43.2610568)",,
626400501,1,Via Goffredo Mameli,residential,50,False,True,180.67000000000002,,"LINESTRING (13.7605052 43.2579013, 13.759616 43.2593026, 13.7595669 43.2593754)",,
984880494,2,Via Faleria,tertiary,40,False,True,264.613,,"LINESTRING (13.7605052 43.2579013, 13.7609298 43.2572463, 13.7610921 43.2571481, 13.7611653 43.2571086, 13.7612908 43.2570432, 13.7613811 43.2569885, 13.7614502 43.2569459, 13.761491 43.2569244, 13.7615484 43.256896, 13.7616347 43.2568314, 13.7617064 43.2567657, 13.7617749 43.2566756, 13.7621607 43.2560439, 13.7622445 43.2559454)",,
848067480,2,Via Umberto I,primary,50,False,False,13.218,SS16,"LINESTRING (13.7581035 43.2583203, 13.7580537 43.2584335)",yes,
125689779,2,Via Umberto I,primary,50,False,True,16.953,SS16,"LINESTRING (13.7581035 43.2583203, 13.7581346 43.2582678, 13.7581864 43.2581803)",yes,
626381494,1,Via Piave,residential,50,True,False,23.277,,"LINESTRING (13.7581035 43.2583203, 13.7582014 43.2583137, 13.7583897 43.2583009)",,
626381493,,Via Piave,residential,,False,False,20.796,,"LINESTRING (13.7592796 43.2582406, 13.7590239 43.2582579)",,
626381493,,Via Piave,residential,,False,True,6.116,,"LINESTRING (13.7592796 43.2582406, 13.7593548 43.2582355)",,
