osmid,oneway,highway,reversed,length,name,geometry,ref,junction,tunnel
"[380844898, 380844900]",True,secondary,False,349.10100000000006,Via Circonvallazione,"LINESTRING (13.9182494 42.8032493, 13.9183112 42.8032488, 13.9183423 42.8033746, 13.9183906 42.8035345, 13.9180538 42.8035373, 13.9179126 42.8035723, 13.9177365 42.8036167, 13.9174796 42.8036989, 13.9169053 42.803896, 13.916713 42.8039473, 13.9162006 42.8040226, 13.9159213 42.8040748, 13.9156487 42.8041444, 13.9154181 42.804215, 13.915239 42.8042575, 13.9150888 42.8042797, 13.9149505 42.8042807, 13.9148538 42.8042663, 13.9147708 42.8042239)",,,
181455734,False,residential,True,16.401,Via San Giovanni,"LINESTRING (13.9169439 42.8033964, 13.9169004 42.8032524)",,,
614186711,False,residential,True,147.742,Via Circonvallazione,"LINESTRING (13.9169439 42.8033964, 13.916942 42.8034246, 13.9169421 42.8035581, 13.9169421 42.8035829, 13.9167103 42.8036259, 13.9163037 42.8036828, 13.915821 42.8037544, 13.9154278 42.8038427)",,,
1222362382,True,secondary,False,107.755,Via 20 Settembre,"LINESTRING (13.9169439 42.8033964, 13.9177816 42.8033036, 13.9182494 42.8032493)",SP5/A,,
1222362382,True,secondary,False,54.785,Via 20 Settembre,"LINESTRING (13.9153337 42.8035553, 13.9159106 42.8034798, 13.915995 42.8034697)",SP5/A,,
"[614186709, 614186710]",True,residential,False,254.03699999999998,Via Terravecchia,"LINESTRING (13.9117102 42.8037245, 13.9117708 42.8039504, 13.9118673 42.8040764, 13.9120283 42.8041275, 13.912342 42.8040941, 13.912405 42.8039836, 13.9126881 42.804037, 13.9129413 42.8040499, 13.9132583 42.8040363, 13.9135839 42.8040134, 13.9137288 42.8039858, 13.9137089 42.8038892, 13.9141581 42.8037786)",,,
1222362382,True,secondary,False,158.984,Via 20 Settembre,"LINESTRING (13.9117102 42.8037245, 13.9119753 42.803701, 13.9124742 42.8036762, 13.912975 42.8036739, 13.913082 42.8036788, 13.9135378 42.8036997, 13.9136547 42.8036967)",SP5/A,,
1222362382,True,secondary,False,81.761,Via 20 Settembre,"LINESTRING (13.910735 42.803894, 13.9117102 42.8037245)",SP5/A,,
380844895,False,secondary,True,38.112,Via 24 Maggio,"LINESTRING (13.9100243 42.8039716, 13.9104861 42.8039198)",SP5/A,,
380844895,False,secondary,False,47.162,Via 24 Maggio,"LINESTRING (13.9100243 42.8039716, 13.909966 42.8039816, 13.9097898 42.8040118, 13.9094644 42.8040769)",SP5/A,,
