osmid,oneway,highway,reversed,length,geometry,junction,name,lanes,maxspeed
30124096,True,residential,False,19.500999999999998,"LINESTRING (12.8889157 45.6016918, 12.8889048 45.601722, 12.8888959 45.6017496, 12.8888884 45.6017819, 12.8888822 45.6018088, 12.8888773 45.6018404, 12.8888746 45.6018645)",,,,
297058138,True,residential,False,17.031,"LINESTRING (12.8889157 45.6016918, 12.8888965 45.6017113, 12.8888636 45.6017346, 12.8888329 45.6017467, 12.8888016 45.6017531, 12.8887581 45.6017585, 12.8887319 45.6017595)",roundabout,,,
29987502,False,residential,False,54.324,"LINESTRING (12.8868709 45.6005562, 12.8869246 45.6010433)",,Via Altinate,,
"[1035227489, 116763867, 123461796]",False,primary,True,162.809,"LINESTRING (12.8868709 45.6005562, 12.8867027 45.600565, 12.8866374 45.6005697, 12.8865171 45.6005809, 12.886392 45.6005961, 12.886243 45.6006191, 12.8860868 45.6006497, 12.886023 45.600664, 12.8859039 45.6006935, 12.8858471 45.6007076, 12.8858053 45.6007175, 12.8857598 45.6007282, 12.8849454 45.600915, 12.8848568 45.6009336)",,Via Strada Nuova,"['2', '3']",50
123461801,True,primary,False,58.64600000000001,"LINESTRING (12.8868709 45.6005562, 12.8869175 45.6005344, 12.8869842 45.6005003, 12.8870288 45.6004757, 12.8870946 45.6004298, 12.8871254 45.6004044, 12.8872223 45.6003166, 12.8872867 45.6002617, 12.8873127 45.6002435, 12.8873532 45.6002261, 12.8873762 45.6002188, 12.8874223 45.6002089)",,Piazza Papa Giovanni,,
29453505,False,residential,False,113.45600000000003,"LINESTRING (12.8838059 45.6007801, 12.8837567 45.6008261, 12.8837022 45.6008536, 12.8834721 45.6009764, 12.8833991 45.6010165, 12.8833324 45.6010543, 12.8832569 45.6010998, 12.8831616 45.6011587, 12.8829038 45.6013216, 12.882836 45.6013627, 12.8828207 45.6013711, 12.8827918 45.6013851, 12.8827575 45.6013999, 12.8827357 45.6014077, 12.8827087 45.6014164, 12.8826826 45.6014234)",,Riva dei Bragozzi,,30
79816080,False,residential,False,30.384,"LINESTRING (12.8838059 45.6007801, 12.8837803 45.6007762, 12.8837504 45.6007659, 12.8836403 45.6007085, 12.883483 45.6006294)",,Riva dei Bragozzi,,
79816080,False,residential,True,109.393,"LINESTRING (12.8838059 45.6007801, 12.8838379 45.600779, 12.8838707 45.6007741, 12.884129 45.6006862, 12.8842332 45.6006555, 12.8843475 45.6006259, 12.8846318 45.600559, 12.8848256 45.6005095, 12.8849034 45.6004874, 12.8849732 45.600464, 12.8850384 45.6004363, 12.8851006 45.6004077)",,Riva dei Bragozzi,,
590061812,False,residential,False,8.385,"LINESTRING (12.883292 45.5979365, 12.8833997 45.5979392)",,Viale Luigi del Moro,,
29465616,True,residential,False,37.02400000000001,"LINESTRING (12.883292 45.5979365, 12.8832121 45.5979431, 12.8831348 45.5979478, 12.8830538 45.5979514, 12.8830042 45.5979516, 12.8829532 45.5979509, 12.8829058 45.5979495, 12.882857 45.5979473, 12.8828175 45.5979446)",,Piazza S.Antonio,,
590061812,False,residential,True,8.385,"LINESTRING (12.8833997 45.5979392, 12.883292 45.5979365)",,Viale Luigi del Moro,,
149190221,True,residential,False,104.045,"LINESTRING (12.8833997 45.5979392, 12.8834004 45.5979617, 12.8833732 45.5988747)",,Via del Branzin,,
590061812,False,residential,False,49.015,"LINESTRING (12.8833997 45.5979392, 12.8837116 45.5979514, 12.8838216 45.5979544, 12.8838719 45.5979554, 12.8839243 45.5979558, 12.8839757 45.5979559, 12.8840291 45.5979554)",,Viale Luigi del Moro,,
29465617,False,residential,False,62.191,"LINESTRING (12.8852265 45.5979521, 12.8857359 45.5979563, 12.8860256 45.5979641)",,Viale Luigi del Moro,,
149190226,False,residential,True,55.444,"LINESTRING (12.8852265 45.5979521, 12.8852346 45.5979816, 12.8852601 45.5980227, 12.8854564 45.5982975, 12.8855111 45.5984076)",,Via delle Cape,,
590061812,False,residential,True,93.169,"LINESTRING (12.8852265 45.5979521, 12.8844804 45.5979497, 12.884402 45.5979497, 12.8843246 45.5979505, 12.8841644 45.5979532, 12.8840618 45.5979549, 12.8840291 45.5979554)",,Viale Luigi del Moro,,
116763863,True,residential,False,18.397,"LINESTRING (12.8857711 45.5990318, 12.8856978 45.5988745)",,Via delle Cape,,
35595689,True,residential,False,154.8,"LINESTRING (12.8857711 45.5990318, 12.8857106 45.5990785, 12.8856506 45.5991321, 12.8851582 45.599661, 12.8847274 45.600214)",,Via Regina Cornaro,,
"[722257136, 956476547]",True,residential,False,42.452999999999996,"LINESTRING (12.8828441 45.5977215, 12.8829092 45.5977596, 12.8829729 45.5977995, 12.8830256 45.5978288, 12.8830581 45.5978447, 12.8830947 45.5978605, 12.8831306 45.5978745, 12.8831706 45.5978885, 12.8832052 45.5979011, 12.883292 45.5979365)",,"['Piazza S.Antonio', 'Viale Guglielmo Marconi']",,
722257137,False,residential,False,56.226,"LINESTRING (12.8828441 45.5977215, 12.8828727 45.5976992, 12.8829027 45.5976807, 12.8829281 45.5976674, 12.8829562 45.5976559, 12.883005 45.5976395, 12.8830461 45.5976268, 12.8831099 45.5976081, 12.8831708 45.5975917, 12.8832262 45.5975781, 12.8834966 45.5975188)",,Via della Serenissima,,
150567497,False,residential,True,56.735,"LINESTRING (12.8815667 45.5971317, 12.8819689 45.5967061)",,Via Giovanni Pascoli,,
954271803,True,residential,False,81.873,"LINESTRING (12.8815667 45.5971317, 12.8824488 45.5975332)",,Viale Guglielmo Marconi,,
29035406,False,residential,True,41.92,"LINESTRING (12.8815667 45.5971317, 12.8815422 45.5971612, 12.8813476 45.5973952, 12.8813343 45.5974075, 12.8812753 45.5974464)",,Via Monti,,
32941184,False,unclassified,True,7.194,"LINESTRING (12.8818645 45.5976521, 12.8819113 45.5975963)",,,,
29322525,True,residential,False,51.231,"LINESTRING (12.8818645 45.5976521, 12.8813492 45.5974722, 12.8812753 45.5974464)",,Viale Santa Margherita,,
"[151504003, 29322540]",False,residential,"[False, True]",108.22200000000001,"LINESTRING (12.8824456 45.5988823, 12.8827901 45.598, 12.8828175 45.5979446)",,Via dello Storione,,
949954308,False,residential,False,97.68,"LINESTRING (12.8824456 45.5988823, 12.8816386 45.5993726, 12.8816103 45.599391, 12.8815878 45.5994083, 12.8815626 45.5994283, 12.8815381 45.5994484, 12.8815135 45.5994694)",,Via del Passarin,,
