osmid,oneway,name,highway,width,reversed,length,geometry,maxspeed,tunnel,lanes,access
206004952,True,Viale della Pace,residential,5,False,50.846000000000004,"LINESTRING (11.1521412 44.7193637, 11.1521717 44.7193204, 11.1523059 44.719041, 11.1523093 44.7190179, 11.152307 44.7189965, 11.1523028 44.7189791, 11.1522945 44.7189614, 11.1522818 44.7189481, 11.1522643 44.7189372)",,,,
206004954,True,Viale della Pace,residential,,False,37.397,"LINESTRING (11.1521412 44.7193637, 11.1521498 44.7193166, 11.1522027 44.7191688, 11.1522296 44.7191056, 11.1522195 44.7190744, 11.1522102 44.7190367)",,,,
464958797,False,Viale della Libertà,secondary,6,False,5.567,"LINESTRING (11.1486134 44.7200398, 11.1485803 44.7199956)",,,,
40496592,False,Viale Friggeri,residential,5,False,96.301,"LINESTRING (11.1486134 44.7200398, 11.1487314 44.7200017, 11.1497231 44.7196816)",,,,
464958797,False,Viale della Libertà,secondary,6,True,47.698,"LINESTRING (11.1486134 44.7200398, 11.1486495 44.7200926, 11.1488833 44.7204235)",,,,
40496591,False,Via Friggeri,residential,5,True,77.80499999999999,"LINESTRING (11.1520328 44.7189289, 11.1521438 44.7186478, 11.1522632 44.7185342, 11.1523622 44.7182777)",,,,
783861933,True,Viale Friggeri,residential,5,False,34.417,"LINESTRING (11.1520328 44.7189289, 11.1519479 44.7189561, 11.1519024 44.718971, 11.1516369 44.719058)",,,,
118114151,False,Via Persicetana,secondary,,False,234.054,"LINESTRING (11.146711 44.7167889, 11.1466528 44.7169147, 11.1466236 44.7170573, 11.1466247 44.717154, 11.146646 44.7172526, 11.1466842 44.7173465, 11.1469976 44.7177783, 11.1475688 44.7185652, 11.1476722 44.7187106)",70,,,
118114151,False,Via Persicetana,secondary,,True,36.181,"LINESTRING (11.146711 44.7167889, 11.1468206 44.7166022, 11.1468849 44.7164879)",70,,,
118114152,True,,tertiary,,False,42.596000000000004,"LINESTRING (11.146711 44.7167889, 11.146715 44.7165983, 11.1467119 44.7165504, 11.1466937 44.7165001, 11.1466309 44.716419)",,,,
206004953,True,Viale della Pace,residential,5,False,263.40600000000006,"LINESTRING (11.1497773 44.7216901, 11.1499595 44.7216256, 11.1506189 44.7214007, 11.1511806 44.7212056, 11.1513382 44.7211326, 11.1514198 44.7210472, 11.1514737 44.7209597, 11.1514869 44.7209263, 11.1515437 44.720782, 11.1518351 44.7200681)",,,,
464958800,False,Viale della Libertà,secondary,6,False,86.55000000000001,"LINESTRING (11.1497773 44.7216901, 11.1494755 44.7212668, 11.1492872 44.720994)",,,,
"[464958802, 206147059, 206147060]",False,"['Via Giacomo Matteotti', 'Viale della Pace']",residential,5,False,53.4,"LINESTRING (11.1497773 44.7216901, 11.1496744 44.7217285, 11.1495555 44.7217729, 11.1493925 44.7218338, 11.1493131 44.7218624, 11.1491967 44.7219028, 11.1491767 44.7219103)",30,building_passage,,
464958803,False,Viale della Libertà,secondary,6,True,86.14500000000001,"LINESTRING (11.1497773 44.7216901, 11.149918 44.7219038, 11.1502546 44.7223866)",,,,
118114109,False,Via Sant'Agata,tertiary,,False,27.514,"LINESTRING (11.1458155 44.7160976, 11.1459339 44.7163303)",,,,
40496600,False,Via Sant'Agata,tertiary,5,False,27.531,"LINESTRING (11.1458155 44.7160976, 11.1458912 44.7161541, 11.1459638 44.7161989, 11.1460824 44.716255)",,,,
40496600,False,Via Sant'Agata,tertiary,5,False,26.674,"LINESTRING (11.1460824 44.716255, 11.1463288 44.7163304, 11.1463932 44.7163486)",,,,
