osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,junction,bridge,width,tunnel
49526680,True,Via Venticinque Aprile,unclassified,False,69.333,"LINESTRING (9.1438278 44.3629013, 9.1438411 44.362937, 9.1441052 44.363414, 9.1441701 44.3634711)",,,,,,,
"[80724945, 49526683]",True,Via Fiume,primary,False,40.079,"LINESTRING (9.1438278 44.3629013, 9.1437373 44.3629198, 9.1436292 44.3629354, 9.143483 44.3629491, 9.1433311 44.3629412)",2,SP333,50,,,,
39270040,True,,primary,False,4.515,"LINESTRING (9.1445444 44.3626629, 9.1444879 44.362667)",2,,50,roundabout,,,
250621798,False,Via Roma,primary,True,48.181,"LINESTRING (9.1445444 44.3626629, 9.1447482 44.3630027, 9.144784 44.3630609)",,SP333,,,,,
"[51705382, 19823725, 139530798]",False,Via Trieste,"['unclassified', 'residential']",False,44.542,"LINESTRING (9.1467515 44.3646418, 9.1466744 44.3646665, 9.1463489 44.3647608, 9.1462349 44.3647968)",2,,50,,yes,,
250621798,False,Via Roma,primary,False,14.716999999999999,"LINESTRING (9.1467515 44.3646418, 9.1467089 44.3645737, 9.1466692 44.3645234)",,SP333,,,,,
250621798,False,Via Roma,primary,True,26.764,"LINESTRING (9.1467515 44.3646418, 9.1468162 44.3647652, 9.1468277 44.3648738)",,SP333,,,,,
206841236,False,Via dei Giustiniani,secondary,True,12.38,"LINESTRING (9.150031 44.369177, 9.1500559 44.3692869)",,SP333,,,,,
19823536,True,Via della Nè,residential,False,22.137999999999998,"LINESTRING (9.150031 44.369177, 9.1501701 44.369171, 9.1503082 44.3691588)",,,,,,,
"[895643002, 206841236]",False,"['Via dei Giustiniani', 'Via Roma']",secondary,False,135.417,"LINESTRING (9.150031 44.369177, 9.149994 44.3690984, 9.1499393 44.3690249, 9.1498533 44.3689592, 9.1497339 44.3688858, 9.1495788 44.3688356, 9.1491939 44.368796, 9.1490234 44.3687488, 9.1488312 44.3686811, 9.1486526 44.3685988, 9.1486366 44.3685914)",,SP333,,,,,
51704503,True,Via Cavour,primary,False,13.06,"LINESTRING (9.1414515 44.3624984, 9.1416046 44.3624558)",2,SS1,50,,,,
"[853206702, 853206703]",False,Via Cavour,primary,True,133.623,"LINESTRING (9.1414515 44.3624984, 9.1412527 44.3624706, 9.1410825 44.3624114, 9.1404447 44.3620653, 9.1403877 44.3620374, 9.1402972 44.36199, 9.1402894 44.3619859, 9.1401793 44.3619283, 9.1400493 44.3618605)",2,SS1,50,,,,
11703961,False,Via Biagio Assereto,primary,False,58.870999999999995,"LINESTRING (9.1420182 44.3620371, 9.1420835 44.3619713, 9.1421911 44.3619128, 9.1425747 44.3617827, 9.1426361 44.3617619)",2,,,,,,
"[11703962, 237584869]",False,Via Biagio Assereto,primary,True,51.236000000000004,"LINESTRING (9.1420182 44.3620371, 9.1417523 44.3623352, 9.1416993 44.3624355)",,SS1,,,yes,,
853206708,False,Largo dei Mille,residential,False,47.077,"LINESTRING (9.1420182 44.3620371, 9.1418371 44.3619172, 9.1416203 44.361725)",,,,,,,
51704500,False,Via Ippolito d'Aste,primary,False,1.73,"LINESTRING (9.1418539 44.3626103, 9.1418723 44.3626186)",2,,50,,,,
51704504,True,Via Ippolito d'Aste,primary,False,13.982,"LINESTRING (9.1418539 44.3626103, 9.1416866 44.3625715)",2,,50,,,,
24479148,True,Piazza San Giovanni Bono,unclassified,False,39.795,"LINESTRING (9.1447641 44.3622921, 9.1446076 44.3620615, 9.1445456 44.3619701)",,,,,,,
45378633,False,Via Fortunio Liceti,residential,False,59.067,"LINESTRING (9.1447641 44.3622921, 9.1450327 44.3621244, 9.1452202 44.3619794, 9.1452777 44.3619122)",,,,,,,
"[490129852, 49533573]",False,,residential,False,32.358999999999995,"LINESTRING (9.1447641 44.3622921, 9.1448922 44.3622636, 9.1449243 44.3622717, 9.145068 44.3624081)",,,,,,,
441404774,False,,residential,True,29.01,"LINESTRING (9.1447641 44.3622921, 9.1446582 44.3623346, 9.1444522 44.3624274)",,,,,,,
19823679,True,Via Venticinque Aprile,unclassified,False,44.934,"LINESTRING (9.1441701 44.3634711, 9.1441972 44.3635007, 9.1444154 44.3638348)",,,50,,,,
895643002,False,Via Roma,secondary,True,38.781,"LINESTRING (9.1476044 44.3680584, 9.1480068 44.3682556)",,SP333,,,,,
"[139530801, 13858015]",False,Via autostrada,primary,False,30.873,"LINESTRING (9.1476044 44.3680584, 9.1475861 44.3680792, 9.1475712 44.3680954, 9.1474149 44.368266, 9.1473921 44.3682909)",,,,,yes,,
250621798,False,Via Roma,primary,False,180.45599999999996,"LINESTRING (9.1476044 44.3680584, 9.147052 44.3677751, 9.1469253 44.3676912, 9.1468904 44.36766, 9.146693 44.3674412, 9.1465759 44.3672263, 9.1465208 44.3669895, 9.1465548 44.3667483)",,SP333,,,,,
13866498,False,Via Quattro Novembre,residential,False,44.833,"LINESTRING (9.1423211 44.3622137, 9.1428244 44.3620318)",,,,,,,
19823426,False,Lungomare Ammiraglio Bettolo,unclassified,True,70.571,"LINESTRING (9.1430574 44.3608932, 9.1431011 44.3609902, 9.1434454 44.3612886, 9.1435044 44.3613344, 9.1435325 44.3613545, 9.1436083 44.3613652)",,,,,,,
24479206,True,Via Quattro Novembre,unclassified,False,25.894,"LINESTRING (9.1436028 44.3617578, 9.1439005 44.3616633)",1,,50,,,,
19823471,True,Piazza Nicoloso da Recco,unclassified,False,32.153,"LINESTRING (9.1436028 44.3617578, 9.14366 44.3618565, 9.1436695 44.3618729, 9.1437687 44.3620214)",,,,,,,
"[674148122, 674148123]",False,Via Quattro Novembre,"['unclassified', 'residential']",True,42.516999999999996,"LINESTRING (9.1436028 44.3617578, 9.1433284 44.3618499, 9.1432185 44.3618936, 9.1431263 44.3619309)",,,50,,,,
51705380,True,Via Ippolito d'Aste,primary,False,22.061,"LINESTRING (9.1440864 44.3625516, 9.144176 44.3625251, 9.1443424 44.362475)",2,,,,,,
19823553,True,,residential,False,24.634,"LINESTRING (9.1503082 44.3691588, 9.1501899 44.3692127, 9.1500968 44.3692669, 9.1500559 44.3692869)",,,,,,,
206841236,False,Via dei Giustiniani,secondary,False,12.38,"LINESTRING (9.1500559 44.3692869, 9.150031 44.369177)",,SP333,,,,,
206841236,False,Via dei Giustiniani,secondary,True,48.334,"LINESTRING (9.1500559 44.3692869, 9.1501194 44.3697192)",,SP333,,,,,
51705382,False,Via Trieste,residential,True,30.04,"LINESTRING (9.1446833 44.3652937, 9.1450257 44.3651794)",2,,50,,,,
