osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,access,junction
858712315,True,2,Viale Conte Testasecca,secondary,False,17.995,"LINESTRING (14.0582018 37.4920957, 14.0583786 37.492015)",,,
29009123,True,2,Via Francesco Crispi,tertiary,False,11.655,"LINESTRING (14.0606925 37.4902735, 14.0606684 37.4902008, 14.0606573 37.4901725)",,,
199837134,True,,Corso Vittorio Emanuele,tertiary,False,118.91199999999999,"LINESTRING (14.0606925 37.4902735, 14.0607617 37.4902459, 14.0610159 37.4901499, 14.0610465 37.4901384, 14.0610805 37.4901256, 14.0611511 37.4901056, 14.061226 37.4900928, 14.0613392 37.4900827, 14.0615038 37.4900771, 14.0617573 37.4900685, 14.0619906 37.4900653)",,,
29009124,True,,Via Niscemi,residential,False,114.503,"LINESTRING (14.0601506 37.4879054, 14.0602163 37.4879748, 14.0602549 37.4882774, 14.0603043 37.4886846, 14.0603533 37.4888425, 14.0603914 37.4889024)",,,
29009139,True,2,Viale Maddalena Calafato,secondary,False,70.475,"LINESTRING (14.0602608 37.4940661, 14.0601676 37.4940612, 14.0595224 37.494027, 14.0594637 37.4940247)",,,
29009136,False,,Via Stazzone,unclassified,True,52.049,"LINESTRING (14.0637478 37.4866295, 14.0637259 37.4864147, 14.0636892 37.4861638)",,,
152816042,False,,Viale Amedeo,tertiary,False,85.24,"LINESTRING (14.0637478 37.4866295, 14.0637803 37.4866533, 14.0640541 37.4868538, 14.0642426 37.4870305, 14.0643643 37.4872106)",,,
29009139,True,2,Viale Maddalena Calafato,secondary,False,55.982,"LINESTRING (14.0594637 37.4940247, 14.0594257 37.4940221, 14.0593316 37.4940156, 14.0592849 37.4940063, 14.0592501 37.4939803, 14.059228 37.4939401, 14.059172 37.4936654)",,,
29009141,True,,Corso Umberto I,secondary,False,109.912,"LINESTRING (14.0594637 37.4940247, 14.0595395 37.4939537, 14.0602687 37.4932703)",,,
109749793,True,2,Via Redentore,secondary,False,88.52199999999999,"LINESTRING (14.0602687 37.4932703, 14.060251 37.4937519, 14.0602608 37.4940661)",,,
45841608,False,,Via Napoleone Colajanni,residential,False,71.794,"LINESTRING (14.0590643 37.4866705, 14.0591508 37.4873125)",,,
