osmid,name,highway,oneway,reversed,length,geometry,maxspeed,ref,lanes,access,tunnel,width
165014193,Via Fracanzano,residential,False,False,10.881,"LINESTRING (17.2941224 40.9537483, 17.2940589 40.953663)",,,,,,
172428262,,unclassified,False,False,92.157,"LINESTRING (17.2941224 40.9537483, 17.2947645 40.9544204)",,,,,,
47702417,Via Vittorio Veneto,residential,False,False,8.835,"LINESTRING (17.2947645 40.9544204, 17.2948499 40.954374)",,,,,,
47702417,Via Vittorio Veneto,residential,False,True,38.33,"LINESTRING (17.2947645 40.9544204, 17.2943894 40.9546168)",,,,,,
172428262,,unclassified,False,False,115.379,"LINESTRING (17.2947645 40.9544204, 17.2955839 40.9552533)",,,,,,
172428262,,unclassified,False,True,92.157,"LINESTRING (17.2947645 40.9544204, 17.2941224 40.9537483)",,,,,,
177200704,Via Fiume,residential,False,False,16.517,"LINESTRING (17.2966822 40.9563683, 17.2968361 40.9562758)",,,,,,
177200704,Via Fiume,residential,False,True,31.854,"LINESTRING (17.2966822 40.9563683, 17.2963711 40.9565322)",,,,,,
338400723,Via Luigi Finamore Pepe,unclassified,False,True,45.904,"LINESTRING (17.2966822 40.9563683, 17.296352 40.9560393)",,,,,,
27297804,Via Pasquale Camicia,residential,False,False,110.31800000000001,"LINESTRING (17.2966822 40.9563683, 17.2968937 40.9561296, 17.2971793 40.9554585)",,,,,,
337471339,Via Luigi Cadorna,residential,True,False,39.153,"LINESTRING (17.3001817 40.9491538, 17.300622 40.9492695)",40,,,,,
503803144,Via Cialdini,residential,False,True,41.848,"LINESTRING (17.3001817 40.9491538, 17.3000144 40.9495083)",,,,,,
165014220,Corso Umberto,residential,False,True,12.963,"LINESTRING (17.2946727 40.9508323, 17.2948196 40.9508681)",40,,,,,
263064904,Via Generale Amleto Pesce,tertiary,True,False,31.787,"LINESTRING (17.2946727 40.9508323, 17.2943153 40.9507382)",,SP237,,,,
27297808,Via Serg. Corbacio Eustachio,residential,True,False,80.336,"LINESTRING (17.2949999 40.9501534, 17.2946727 40.9508323)",40,,,,,
340297131,Via Serg. Corbacio Eustachio,residential,False,False,33.345,"LINESTRING (17.2949999 40.9501534, 17.2946291 40.9500462)",40,,,,,
340297373,Via Serg. Corbacio Eustachio,residential,False,False,40.760999999999996,"LINESTRING (17.2949999 40.9501534, 17.2951275 40.9498736, 17.2951057 40.9498049)",,,,,,
165014203,,residential,True,False,25.083,"LINESTRING (17.2967342 40.9501988, 17.296534 40.9500314)",,,,,,
337471252,Via Luigi Indelli,residential,True,False,38.658,"LINESTRING (17.2967342 40.9501988, 17.2966679 40.9502149, 17.29635 40.9503864)",,,,,,
180537973,Via San Vincenzo,residential,False,True,44.095,"LINESTRING (17.3015056 40.9515496, 17.3013248 40.9519219)",,,,,,
337471252,Via Luigi Indelli,residential,True,False,29.339,"LINESTRING (17.3015056 40.9515496, 17.3011764 40.9514613)",,,,,,
337471339,Via Luigi Cadorna,residential,True,False,18.414,"LINESTRING (17.302361 40.9497508, 17.3025671 40.9498073)",40,,,,,
337471340,Via Capitano Emilio Indelli,unclassified,True,False,42.591,"LINESTRING (17.302361 40.9497508, 17.3021849 40.95011)",40,,,,,
337471252,Via Luigi Indelli,residential,True,False,42.533,"LINESTRING (17.2993224 40.9509412, 17.2988478 40.9508077)",,,,,,
503803144,Via Cialdini,residential,False,False,44.179,"LINESTRING (17.2993224 40.9509412, 17.2995003 40.9505673)",,,,,,
503803144,Via Cialdini,residential,False,True,44.271,"LINESTRING (17.2993224 40.9509412, 17.2991487 40.9513171)",,,,,,
337471339,Via Luigi Cadorna,residential,True,False,39.758,"LINESTRING (17.3010492 40.9493718, 17.3014901 40.949502)",40,,,,,
