osmid,oneway,lanes,ref,name,highway,reversed,length,junction,geometry,maxspeed,access,bridge,tunnel
93376241,True,2,SS80,Viale Francesco Crucioli,primary,False,9.376,,"LINESTRING (13.6981309 42.6611521, 13.6981248 42.6610679)",,,,
891051067,True,2,,Piazza Giuseppe Garibaldi,primary,False,26.650999999999996,roundabout,"LINESTRING (13.6981309 42.6611521, 13.6981845 42.661107, 13.6982525 42.661074, 13.6983301 42.6610556, 13.6984115 42.661053)",,,,
891051067,True,2,,Piazza Giuseppe Garibaldi,primary,False,11.077,roundabout,"LINESTRING (13.6984115 42.661053, 13.6984778 42.6610632, 13.6985394 42.6610839)",,,,
891051067,True,2,,Piazza Giuseppe Garibaldi,primary,False,21.147999999999996,roundabout,"LINESTRING (13.6985394 42.6610839, 13.6985942 42.6611149, 13.6986379 42.6611542, 13.6986653 42.6611936, 13.6986815 42.6612363)",,,,
208400924,True,1,SS80,,primary,False,51.901999999999994,,"LINESTRING (13.6986815 42.6612363, 13.6987041 42.661252, 13.6987452 42.6612779, 13.6988109 42.6613365, 13.6989174 42.6614411, 13.6990193 42.66155, 13.6990491 42.6616115)",,,,
891051067,True,2,,Piazza Giuseppe Garibaldi,primary,False,25.076,roundabout,"LINESTRING (13.6986815 42.6612363, 13.6986859 42.6612813, 13.6986778 42.661326, 13.6986576 42.6613686, 13.6986262 42.6614073, 13.6985848 42.6614406)",,,,
"[829970697, 93376236]",True,1,SS81,Viale Giovanni Bovio,primary_link,False,22.375,,"LINESTRING (13.698198 42.6614503, 13.6981107 42.6614729, 13.6980428 42.6614811, 13.6979325 42.6614965)",,,,
891051067,True,2,,Piazza Giuseppe Garibaldi,primary,False,17.857,roundabout,"LINESTRING (13.698198 42.6614503, 13.6981581 42.6614229, 13.6981255 42.6613907, 13.6981013 42.6613547, 13.6980863 42.6613161)",,,,
93376254,True,1,,Via del Castello,residential,False,19.493000000000002,,"LINESTRING (13.6980814 42.6612624, 13.697985 42.6612439, 13.6979251 42.6612343, 13.6978519 42.6612157)",,,,
891051067,True,2,,Piazza Giuseppe Garibaldi,primary,False,7.486000000000001,roundabout,"LINESTRING (13.6980814 42.6612624, 13.6980873 42.661229, 13.6981001 42.6611967)",,,,
