osmid,oneway,name,highway,reversed,length,lanes,ref,maxspeed,geometry,access,junction
161037075,True,Piazza Civitavecchia,residential,False,29.284,,,,"LINESTRING (11.8681989 42.0360002, 11.8683634 42.0357669)",,
269272658,False,Strada Statale 1 Aurelia,primary,False,117.974,2,SS1,50,"LINESTRING (11.8681989 42.0360002, 11.8668408 42.0356713)",,
269272658,False,Strada Statale 1 Aurelia,primary,True,53.598,2,SS1,50,"LINESTRING (11.8681989 42.0360002, 11.8688004 42.0361812)",,
118840510,False,,residential,False,38.9,,,,"LINESTRING (11.8684322 42.0367272, 11.8686404 42.0364134)",,
269227800,True,Via della Libertà,residential,False,27.159,,,,"LINESTRING (11.8686396 42.0353554, 11.8689011 42.0352073)",,
1220257807,True,Via Antonio Fratti,residential,False,19.608,,,,"LINESTRING (11.8686396 42.0353554, 11.8685331 42.035513)",,
432598350,False,Strada Statale 1 Aurelia,primary,False,126.478,2,SS1,50,"LINESTRING (11.8721848 42.0373549, 11.8711615 42.0371667, 11.8708048 42.037086, 11.8707069 42.0370591)",,
118840497,True,Via della Libertà,residential,False,22.522,,,30,"LINESTRING (11.8636099 42.0344534, 11.8638804 42.0344277)",,
161037090,True,Via Giovanni Artieri,residential,False,64.701,,,,"LINESTRING (11.8636099 42.0344534, 11.8635824 42.0347463, 11.8635658 42.0349232, 11.8635274 42.0350304)",,
269213484,True,Piazza Trieste,residential,False,113.197,,,,"LINESTRING (11.8689011 42.0352073, 11.8690834 42.0349401, 11.86883 42.0348554, 11.868546 42.035322)",,
269227800,True,Via della Libertà,residential,False,60.007000000000005,,,,"LINESTRING (11.8689011 42.0352073, 11.8690458 42.0352093, 11.8692408 42.0352978, 11.8694415 42.0354023, 11.8695019 42.035469)",,
161037076,True,Piazza Civitavecchia,residential,False,29.004,,,,"LINESTRING (11.8688004 42.0361812, 11.8686404 42.0364134)",,
269272658,False,Strada Statale 1 Aurelia,primary,False,53.598,2,SS1,50,"LINESTRING (11.8688004 42.0361812, 11.8681989 42.0360002)",,
269272658,False,Strada Statale 1 Aurelia,primary,True,45.763,2,SS1,50,"LINESTRING (11.8688004 42.0361812, 11.8690485 42.0362804, 11.8692787 42.0363885)",,
118840505,False,,residential,False,146.912,,,,"LINESTRING (11.8637045 42.0383582, 11.8640524 42.0370625)",,
365846185,True,Via delle Colonie,residential,False,47.622,,,,"LINESTRING (11.8637045 42.0383582, 11.8633497 42.0383011, 11.86314 42.0382709)",permissive,
161037085,False,Via Francesco Crispi,residential,True,63.612,,,,"LINESTRING (11.8635274 42.0350304, 11.8633472 42.0355866)",,
269272658,False,Strada Statale 1 Aurelia,primary,True,135.69299999999998,2,SS1,50,"LINESTRING (11.8635274 42.0350304, 11.8644043 42.0351677, 11.8651267 42.0353084)",,
118840513,False,Via Salvo D'Acquisto,residential,True,223.511,,,,"LINESTRING (11.86314 42.0382709, 11.863654 42.0362974)",,
365846185,True,Via delle Colonie,residential,False,84.886,,,,"LINESTRING (11.86314 42.0382709, 11.8626465 42.0381999, 11.8621309 42.0381257)",permissive,
118840524,True,Via San Michele,residential,False,225.58,,,,"LINESTRING (11.8647417 42.0364498, 11.8642122 42.03844)",,
365845361,True,Via Quattro Novembre,residential,False,13.92,,,,"LINESTRING (11.8647417 42.0364498, 11.8649066 42.0364757)",,
365846185,True,Via delle Colonie,residential,False,32.863,,,,"LINESTRING (11.8653895 42.0386243, 11.8651162 42.0385856, 11.8649992 42.0385668)",permissive,
124863387,False,Via delle Colonie,residential,False,62.48,,,,"LINESTRING (11.8669504 42.0388745, 11.8662103 42.0387579)",permissive,
118840525,True,Via Col di Lana,residential,False,165.925,,,,"LINESTRING (11.8669504 42.0388745, 11.8671571 42.0383364, 11.8672223 42.0381668, 11.8672624 42.0380963, 11.8672961 42.0380618, 11.8673805 42.0380509, 11.8674901 42.0380587, 11.8681199 42.0382103)",,
120950394,True,Via Ulpiano,residential,False,72.572,,,,"LINESTRING (11.8656063 42.0334849, 11.8653286 42.0334564, 11.8651636 42.0334404, 11.8647353 42.0333987)",,
"[272262344, 269272656]",False,Via Baldassarre Odescalchi,residential,True,68.143,,,,"LINESTRING (11.8692224 42.0369981, 11.8692086 42.0368697, 11.8692642 42.0364879, 11.8692668 42.0364702, 11.8692787 42.0363885)",,
161037079,False,Via Quattro Novembre,residential,True,26.285,,,,"LINESTRING (11.8626536 42.03615, 11.8623411 42.0361052)",,
365845361,True,Via Quattro Novembre,residential,False,84.233,,,,"LINESTRING (11.8626536 42.03615, 11.86319 42.0362257, 11.863654 42.0362974)",,
118806547,False,Via Valdambrini,residential,False,68.999,,,,"LINESTRING (11.8724088 42.0389366, 11.8727895 42.0390926, 11.8728178 42.0391042, 11.873149 42.039224)",,
118806547,False,Via Valdambrini,residential,True,232.297,,,,"LINESTRING (11.8724088 42.0389366, 11.8721421 42.0387967, 11.8719221 42.038642, 11.8718511 42.0385721, 11.871812 42.0385203, 11.8717596 42.0383387, 11.8717172 42.0382783, 11.8716457 42.0382244, 11.8704236 42.0377407, 11.8702829 42.0376889)",,
269279259,False,,residential,False,84.196,,,,"LINESTRING (11.8724088 42.0389366, 11.8721628 42.0391993, 11.8721108 42.0392696, 11.8720008 42.0394549, 11.8718814 42.0395814)",,
118840529,False,Viale Della Repubblica,residential,False,91.12100000000001,,,,"LINESTRING (11.8651267 42.0353084, 11.8652428 42.0350015, 11.8652856 42.0348884, 11.8653243 42.0347861, 11.8653658 42.0346765, 11.8653944 42.0345148)",,
269272658,False,Strada Statale 1 Aurelia,primary,False,135.69299999999998,2,SS1,50,"LINESTRING (11.8651267 42.0353084, 11.8644043 42.0351677, 11.8635274 42.0350304)",,
269272658,False,Strada Statale 1 Aurelia,primary,True,147.253,2,SS1,50,"LINESTRING (11.8651267 42.0353084, 11.8653964 42.0353609, 11.8661588 42.0355093, 11.8664964 42.035591, 11.8668408 42.0356713)",,
365845361,True,Via Quattro Novembre,residential,False,23.234,,,,"LINESTRING (11.8664583 42.0367317, 11.8667305 42.0367845)",,
270009389,False,Via Pasubio,residential,False,148.484,,,,"LINESTRING (11.8664583 42.0367317, 11.8661095 42.0378144, 11.8661363 42.0378284, 11.8661738 42.0378523, 11.866198 42.0378802, 11.8662007 42.0379061, 11.866198 42.037936, 11.8661819 42.0379638, 11.8661658 42.0380037)",,
269212893,True,Viale Roma,residential,False,190.77300000000002,,,,"LINESTRING (11.8695019 42.035469, 11.8698559 42.0357658, 11.8699309 42.0358096, 11.8702482 42.0358626, 11.8704849 42.0359401, 11.8706096 42.0360109, 11.8707621 42.0361317, 11.8709301 42.0363201, 11.8709667 42.0363728, 11.8710355 42.0364718, 11.8711045 42.0365975)",,
1220258084,False,Via della Libertà,residential,False,44.029,,,,"LINESTRING (11.8653944 42.0345148, 11.8659159 42.034597)",,
118840529,False,Viale Della Repubblica,residential,True,91.12100000000001,,,,"LINESTRING (11.8653944 42.0345148, 11.8653658 42.0346765, 11.8653243 42.0347861, 11.8652856 42.0348884, 11.8652428 42.0350015, 11.8651267 42.0353084)",,
269227797,True,Via Don Augusto Ranieri,residential,False,115.84899999999999,,,,"LINESTRING (11.8653944 42.0345148, 11.8654007 42.0344842, 11.8656063 42.0334849)",,
