osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,junction,bridge,tunnel
135935020,True,1,Piazza Trieste e Trento,residential,30,False,35.794,"LINESTRING (14.2488599 40.8371427, 14.2489299 40.8371801, 14.2490365 40.8373514, 14.2490497 40.8374184)",,,
504671935,True,1,,residential,30,False,22.345,"LINESTRING (14.2488599 40.8371427, 14.2488755 40.8371741, 14.2488773 40.8372075, 14.2488652 40.8372397, 14.2488404 40.8372675, 14.2488053 40.8372879, 14.2487636 40.8372991)",roundabout,,
27182539,True,1,Piazza Trieste e Trento,residential,30,False,8.142,"LINESTRING (14.2486051 40.8371645, 14.2485776 40.8370943)",,,
504671935,True,1,,residential,30,False,27.213,"LINESTRING (14.2486051 40.8371645, 14.2486256 40.8371332, 14.2486585 40.8371087, 14.2487002 40.8370936, 14.2487461 40.8370897, 14.2487913 40.8370973, 14.2488306 40.8371156, 14.2488599 40.8371427)",roundabout,,
250277556,True,1,Piazza Trieste e Trento,residential,30,False,27.842000000000002,"LINESTRING (14.2490497 40.8374184, 14.2489749 40.8373758, 14.2489139 40.837341, 14.2488547 40.8373183, 14.2487636 40.8372991)",,,
"[250277296, 504682418, 911635754]",False,2,Via San Carlo,residential,30,True,209.415,"LINESTRING (14.2490497 40.8374184, 14.2491281 40.8375478, 14.2491952 40.8376479, 14.2492322 40.837684, 14.2493078 40.837722, 14.2493722 40.837748, 14.2494959 40.8378, 14.2496949 40.8378679, 14.2498363 40.837922, 14.2499932 40.8379806, 14.2501968 40.8380615, 14.2503184 40.8381037, 14.2504538 40.8381504, 14.2511124 40.8383758)",,,
504682420,True,1,Via San Carlo,residential,20,False,40.782,"LINESTRING (14.2513633 40.8386753, 14.2513084 40.8385475, 14.2512886 40.8385076, 14.2512379 40.8384505, 14.2511838 40.8384223, 14.2511124 40.8383758)",,,
504682424,True,1,Via Riccardo Filangieri di Candida Gonzaga,unclassified,30,False,23.942,"LINESTRING (14.2513633 40.8386753, 14.2513803 40.838577, 14.2514243 40.8384657)",,,
248677650,True,1,Via Vittorio Emanuele III,tertiary,20,False,49.826,"LINESTRING (14.251883 40.8396657, 14.2518324 40.8396022, 14.2517888 40.8395443, 14.2517518 40.8394941, 14.251708 40.8394188, 14.2516306 40.8392618)",,,
108225247,True,,,tertiary,,False,31.769,"LINESTRING (14.2518655 40.8332049, 14.2519773 40.8334778)",,,
504044358,True,,Via Cesario Console,residential,,False,14.19,"LINESTRING (14.2518655 40.8332049, 14.2518438 40.8332416, 14.2518183 40.833272, 14.2518009 40.8332883, 14.2517738 40.8333108)",,,
334878880,False,2,Via Ferdinando Acton,tertiary,,False,246.589,"LINESTRING (14.2519773 40.8334778, 14.2520113 40.833553, 14.2520161 40.8335686, 14.2520177 40.833585, 14.2520164 40.8335986, 14.2520115 40.8336107, 14.2520019 40.8336215, 14.2513407 40.8341387, 14.2512381 40.8342192, 14.2511928 40.8342625, 14.2511461 40.8343111, 14.2510931 40.8343691, 14.2503051 40.8352324)",,,
338480530,True,,,residential,,False,26.448,"LINESTRING (14.2519773 40.8334778, 14.2518533 40.8333362, 14.2518397 40.8333248, 14.2518224 40.8333171, 14.2517992 40.8333125, 14.2517738 40.8333108)",,,
113296609,True,1,Vico D'Afflitto,residential,30,False,26.958,"LINESTRING (14.2475216 40.8393184, 14.2472092 40.8393724)",,,
380400845,True,,Via Speranzella,residential,,False,57.986,"LINESTRING (14.2475216 40.8393184, 14.2475914 40.8398372)",,,
380400902,True,,Salita Trinità degli Spagnoli,residential,,False,33.206,"LINESTRING (14.2465976 40.8395052, 14.246464 40.8392242)",,,
380400845,True,,Via Speranzella,residential,,False,40.472,"LINESTRING (14.2475914 40.8398372, 14.2476402 40.8401993)",,,
403143574,True,,Via Trinità degli Spagnoli,residential,,False,24.966,"LINESTRING (14.2475914 40.8398372, 14.247298 40.839871)",,,
27182539,True,1,Piazza Trieste e Trento,residential,30,False,43.733999999999995,"LINESTRING (14.2485776 40.8370943, 14.2486146 40.8370151, 14.2486933 40.8368563, 14.2487074 40.8368042, 14.2487138 40.8367178)",,,
543743683,True,1,Piazza Trieste e Trento,residential,30,False,24.714,"LINESTRING (14.2483983 40.8374023, 14.2485188 40.8371996)",,,
"[543743681, 338488954, 248982487]",True,1,"['Piazza Trieste e Trento', 'Gradoni di Chiaia', 'Via Nardone']",residential,30,False,359.745,"LINESTRING (14.2483983 40.8374023, 14.2483415 40.8373914, 14.2482984 40.8373827, 14.2466834 40.8370986, 14.2460371 40.836979, 14.245982 40.8369688, 14.245178 40.8368141, 14.2446925 40.8367206, 14.2446732 40.8367169, 14.2444972 40.8369726, 14.2444688 40.8370137)",,,
108228223,False,,Via Cesario Console,residential,30,False,177.543,"LINESTRING (14.2509145 40.8341466, 14.2503987 40.8347053, 14.2497061 40.8354556)",,,
