osmid,oneway,name,highway,reversed,length,geometry,ref,maxspeed,lanes,junction
232787624,True,Via Valpolicella,tertiary,False,29.451,"LINESTRING (10.8312446 45.5185895, 10.831166 45.5187661, 10.8311342 45.5188428)",,,,
32125294,True,Via Valpolicella,secondary,False,41.958,"LINESTRING (10.8312773 45.519458, 10.8311031 45.5192479, 10.8309817 45.5191439)",SP4,,,
88447117,False,Via Valpolicella,secondary,False,268.396,"LINESTRING (10.8312773 45.519458, 10.8318789 45.5204826, 10.8323254 45.5212785, 10.8325309 45.5215497, 10.8326658 45.5216578)",SP4,50,,
33113547,True,,secondary,False,19.983999999999998,"LINESTRING (10.8340952 45.5221017, 10.8341752 45.5220876, 10.8342371 45.5220588, 10.8343019 45.5220057)",SP4,,,
88447117,False,Via Valpolicella,secondary,True,125.89100000000002,"LINESTRING (10.8340952 45.5221017, 10.8337896 45.5220684, 10.8332851 45.5219866, 10.8331435 45.5219335, 10.8329046 45.521844, 10.8326658 45.5216578)",SP4,50,,
232797672,False,Viale del Marmo,secondary,True,13.417,"LINESTRING (10.8384875 45.524026, 10.8385142 45.5241452)",,,,
60213255,False,Via dell'Industria,secondary,True,167.70999999999998,"LINESTRING (10.8384875 45.524026, 10.8384128 45.5235484, 10.8382225 45.5225293)",,,2,
759864117,False,Viale Rimembranza,tertiary,False,23.389,"LINESTRING (10.8384875 45.524026, 10.8383158 45.5240217, 10.8381874 45.5240228)",,,,
238761335,False,Via Guglielmo Marconi,tertiary,True,116.938,"LINESTRING (10.8343834 45.5236612, 10.8344043 45.5237122, 10.8344383 45.5237574, 10.8345743 45.5238906, 10.8348443 45.524178, 10.8352425 45.5245178)",,,,
238761336,False,Via Quattro Novembre,tertiary,False,149.235,"LINESTRING (10.8343834 45.5236612, 10.8343992 45.5236012, 10.8344028 45.5234263, 10.8343721 45.5229863, 10.8343676 45.5225537, 10.8343612 45.5223207)",,,,
238762594,True,Via Giuseppe Garibaldi,residential,False,207.099,"LINESTRING (10.8343834 45.5236612, 10.8345409 45.5236359, 10.8352145 45.5235742, 10.8354554 45.5235522, 10.8355798 45.5235408, 10.8359646 45.5236009, 10.8369927 45.5237661)",,,,
33113545,True,Via Quattro Novembre,tertiary,False,14.555,"LINESTRING (10.8343612 45.5223207, 10.8343512 45.5222257, 10.8343416 45.5221907)",,,,
238761336,False,Via Quattro Novembre,tertiary,True,149.23499999999999,"LINESTRING (10.8343612 45.5223207, 10.8343676 45.5225537, 10.8343721 45.5229863, 10.8344028 45.5234263, 10.8343992 45.5236012, 10.8343834 45.5236612)",,,,
33113533,True,,secondary,False,31.433,"LINESTRING (10.8387709 45.5216125, 10.8385372 45.5216341, 10.8384937 45.5216502, 10.8383864 45.5216855)",SP4,,,
569441040,False,Via Giacomo Matteotti,secondary,False,101.488,"LINESTRING (10.8387709 45.5216125, 10.8392881 45.5216146, 10.8395556 45.5216154, 10.8400735 45.5216108)",SP4,70,2,
41722840,True,Via Cesare Battisti,secondary,False,31.195,"LINESTRING (10.8303541 45.5187966, 10.8305246 45.5188187, 10.8306541 45.518824, 10.8307466 45.5188029)",SP4,,,
33113540,True,Via Giacomo Matteotti,secondary,False,51.778999999999996,"LINESTRING (10.8380028 45.5217041, 10.8379127 45.5216984, 10.8377947 45.5217024, 10.8377725 45.5217032, 10.8376531 45.5217123, 10.8373439 45.5217493)",SP4,,,
759147920,True,,secondary,False,21.628,"LINESTRING (10.8380028 45.5217041, 10.8379487 45.5216515, 10.8379243 45.521589, 10.8379329 45.5215244)",SP4,,,roundabout
1126183269,True,,secondary,False,6.734,"LINESTRING (10.8379329 45.5215244, 10.8379697 45.5214696)",SP4,,,roundabout
33113536,True,,secondary,False,33.3,"LINESTRING (10.838403 45.5214777, 10.8385062 45.5215463, 10.8385608 45.5215752, 10.8387709 45.5216125)",SP4,,,
1126183268,True,,secondary,False,24.547,"LINESTRING (10.838403 45.5214777, 10.8384338 45.5215285, 10.8384414 45.5215834, 10.8384251 45.5216374, 10.8383864 45.5216855)",SP4,,,roundabout
33113534,True,,secondary,False,19.113,"LINESTRING (10.8381998 45.521392, 10.8382795 45.5214048, 10.8383496 45.5214343, 10.838403 45.5214777)",SP4,,,roundabout
33113534,True,,secondary,False,20.744999999999997,"LINESTRING (10.8379697 45.5214696, 10.8380143 45.5214351, 10.8380701 45.5214096, 10.8381333 45.5213949, 10.8381998 45.521392)",SP4,,,roundabout
33463854,True,Viale dell'Industria,tertiary,False,32.605000000000004,"LINESTRING (10.8379697 45.5214696, 10.8379423 45.5213497, 10.8378982 45.5211807)",,,,
33113541,True,,secondary,False,2.213,"LINESTRING (10.8343416 45.5221907, 10.8343195 45.5221782)",SP4,,,roundabout
