osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,bridge,maxspeed
221975959,residential,False,True,179.16899999999998,"LINESTRING (13.9145133 40.7081444, 13.9143809 40.7080796, 13.9141905 40.7079962, 13.9141391 40.7079723, 13.9140828 40.7079235, 13.9139808 40.7078564, 13.9138601 40.7078056, 13.9137555 40.7077893, 13.9136322 40.7077873, 13.9135678 40.7077812, 13.9134632 40.7077771, 13.9133586 40.7077893, 13.9132459 40.7077832, 13.9130877 40.7077344, 13.9129965 40.707708, 13.9129348 40.7077222, 13.9128762 40.7078254, 13.912916 40.7079967)",,,,,
263367593,secondary,False,False,463.17900000000003,"LINESTRING (13.9145133 40.7081444, 13.914609 40.7081217, 13.9147226 40.7081138, 13.9148719 40.7081899, 13.9149577 40.7082778, 13.9149812 40.7082981, 13.9150093 40.7083093, 13.9150389 40.7083129, 13.9150684 40.7083081, 13.9155376 40.708225, 13.916138 40.7080211, 13.916266 40.708015, 13.9163951 40.7080617, 13.9166804 40.7082935, 13.916958 40.7085945, 13.9171565 40.7088628, 13.9173041 40.7089574, 13.9176089 40.70904, 13.917997 40.709247, 13.9183498 40.709281, 13.9189165 40.7095031, 13.9189443 40.7095074, 13.9189883 40.709506, 13.9190154 40.7095002, 13.9190367 40.7094922)",2,SP270,Via Angelo Migliaccio,,
"[263367593, 245596747]",secondary,False,False,139.87600000000003,"LINESTRING (13.9190367 40.7094922, 13.919058 40.7094789, 13.9190721 40.70946, 13.9190818 40.7094186, 13.9190936 40.7093148, 13.919099 40.709266, 13.9191041 40.709094, 13.9191074 40.70904, 13.9191147 40.7088963, 13.919119 40.7088442, 13.9191276 40.7087697, 13.9191333 40.7087371, 13.9191499 40.7086926, 13.919217 40.7085477, 13.9192658 40.7084188, 13.9193165 40.7082672)",2,SP270,"['Via Angelo Migliaccio', 'Piazza San Rocco']",,
263367593,secondary,False,True,463.1789999999999,"LINESTRING (13.9190367 40.7094922, 13.9190154 40.7095002, 13.9189883 40.709506, 13.9189443 40.7095074, 13.9189165 40.7095031, 13.9183498 40.709281, 13.917997 40.709247, 13.9176089 40.70904, 13.9173041 40.7089574, 13.9171565 40.7088628, 13.916958 40.7085945, 13.9166804 40.7082935, 13.9163951 40.7080617, 13.916266 40.708015, 13.916138 40.7080211, 13.9155376 40.708225, 13.9150684 40.7083081, 13.9150389 40.7083129, 13.9150093 40.7083093, 13.9149812 40.7082981, 13.9149577 40.7082778, 13.9148719 40.7081899, 13.9147226 40.7081138, 13.914609 40.7081217, 13.9145133 40.7081444)",2,SP270,Via Angelo Migliaccio,,
420856675,tertiary,False,True,7.342,"LINESTRING (13.9189186 40.7064569, 13.9189211 40.7063909)",1,SP504,Via Pendio del Gelso,,
420856675,tertiary,False,False,550.6750000000003,"LINESTRING (13.9189186 40.7064569, 13.9189284 40.7065724, 13.9189606 40.7066418, 13.9190738 40.706778, 13.9192157 40.706986, 13.9193587 40.707178, 13.9194258 40.70726, 13.9194862 40.7073179, 13.9195159 40.7073443, 13.9195456 40.7073707, 13.919609 40.7074048, 13.9196627 40.7074266, 13.9197218 40.707443, 13.9197794 40.7074417, 13.9198338 40.707437, 13.9198927 40.7074256, 13.9199527 40.7074074, 13.9200102 40.7073916, 13.9200787 40.7073723, 13.9201493 40.7073573, 13.920187 40.7073515, 13.9202257 40.7073511, 13.9202897 40.7073503, 13.9203953 40.7073621, 13.9204724 40.7073771, 13.9205512 40.7074028, 13.9206514 40.7074463, 13.9207587 40.7075119, 13.9212663 40.707942, 13.9214863 40.7081234, 13.9216418 40.708253, 13.9217577 40.7083606, 13.921856 40.708459, 13.9218889 40.7085115, 13.9219204 40.7085718, 13.921963 40.7086975, 13.9219881 40.7088144, 13.9219942 40.7089141, 13.9219897 40.7090155, 13.9219839 40.7090445, 13.9219688 40.7090753, 13.921932 40.7091229, 13.921888 40.709152, 13.9218426 40.7091692, 13.9217884 40.709176, 13.921733 40.7091758, 13.9216735 40.7091654, 13.9216204 40.7091442, 13.9215744 40.7091081, 13.9215439 40.7090728, 13.921517 40.7090171, 13.9214919 40.7089043, 13.9214607 40.7087939, 13.9214457 40.7087365, 13.9214193 40.7086789, 13.9213878 40.7086437, 13.9213511 40.7086159, 13.9212772 40.7085843, 13.9212027 40.7085701)",1,SP504,Via Pendio del Gelso,,
420856675,tertiary,False,False,7.342,"LINESTRING (13.9189211 40.7063909, 13.9189186 40.7064569)",1,SP504,Via Pendio del Gelso,,
245596712,unclassified,False,False,286.31199999999995,"LINESTRING (13.9189211 40.7063909, 13.9192794 40.7065023, 13.9196241 40.7066151, 13.9199433 40.7067066, 13.9202119 40.7067808, 13.9205307 40.7068469, 13.9206983 40.7068794, 13.9208633 40.7068926, 13.9210623 40.7069166, 13.9211288 40.7069292, 13.9212321 40.7069679, 13.9214185 40.7070634, 13.9215285 40.7071031, 13.9217269 40.707157, 13.9219455 40.7072251, 13.9220799 40.7072884)",,SP93,Via Provinciale Regina Elena,,
287854985,tertiary,False,False,203.682,"LINESTRING (13.9189211 40.7063909, 13.9188605 40.7062007, 13.9188462 40.7060112, 13.9188442 40.7057134, 13.9188717 40.7055629, 13.9189251 40.7054332, 13.9189714 40.705328, 13.9190112 40.7052355, 13.9190474 40.7051135, 13.9190716 40.7049966, 13.9190689 40.704841, 13.9190796 40.7047485, 13.9191131 40.7046489, 13.9191294 40.7045924)",,SP155,Via Provinciale Maronti,,
287854985,tertiary,False,True,203.682,"LINESTRING (13.9191294 40.7045924, 13.9191131 40.7046489, 13.9190796 40.7047485, 13.9190689 40.704841, 13.9190716 40.7049966, 13.9190474 40.7051135, 13.9190112 40.7052355, 13.9189714 40.705328, 13.9189251 40.7054332, 13.9188717 40.7055629, 13.9188442 40.7057134, 13.9188462 40.7060112, 13.9188605 40.7062007, 13.9189211 40.7063909)",,SP155,Via Provinciale Maronti,,
