osmid,ref,name,highway,oneway,reversed,length,bridge,geometry,lanes,junction
"[439180538, 460394582, 439180535]",SP52b,viale San Lorenzo,tertiary,False,False,123.80999999999999,yes,"LINESTRING (12.9286554 41.821891, 12.9286842 41.8218743, 12.9287171 41.8218607, 12.92874 41.8218536, 12.9287692 41.8218477, 12.9288056 41.8218419, 12.9288433 41.8218371, 12.9288854 41.821835, 12.9289288 41.8218339, 12.9289617 41.8218342, 12.9292412 41.8218504, 12.9297933 41.8218822, 12.9298231 41.8218822, 12.9298565 41.8218822, 12.9298794 41.8218822, 12.9299002 41.8218807, 12.9299212 41.821877, 12.9299399 41.8218708, 12.9299545 41.8218651, 12.9299858 41.8218475, 12.9300076 41.8218322, 12.930031 41.8218131, 12.9300511 41.8217945, 12.9300703 41.8217723)",,
460394582,SP52b,viale San Lorenzo,tertiary,False,True,6.486000000000001,,"LINESTRING (12.9286554 41.821891, 12.9286384 41.8219058, 12.9286255 41.8219236, 12.9286159 41.8219408)",,
"[931036728, 931036729]",,,unclassified,False,"[False, True]",110.40400000000001,,"LINESTRING (12.9286554 41.821891, 12.9286345 41.8218128, 12.9286263 41.8217782, 12.9286186 41.821739, 12.9286148 41.8217165, 12.9286098 41.8216915, 12.9286034 41.8216674, 12.9285951 41.8216395, 12.9285854 41.8216125, 12.9285095 41.821422, 12.9285012 41.8214072, 12.9284891 41.8213889, 12.9284742 41.8213717, 12.9284552 41.8213571, 12.9284336 41.8213435, 12.9284139 41.8213327, 12.9283947 41.8213262, 12.9283661 41.8213205, 12.9283362 41.8213177, 12.9283072 41.8213185, 12.928277 41.8213222, 12.9282535 41.8213276, 12.928226 41.8213357, 12.9282018 41.8213419, 12.928165 41.8213497, 12.9281242 41.8213554, 12.9280907 41.8213577, 12.9280531 41.821358, 12.9280313 41.8213573, 12.9278962 41.8213474)",,
206898394,,via Giuseppe Clementi,unclassified,False,False,48.942,,"LINESTRING (12.9322037 41.8211803, 12.9327886 41.8212414)",,
439180533,SP52b,,tertiary,False,True,185.67499999999998,,"LINESTRING (12.9322037 41.8211803, 12.9313181 41.8210788, 12.9312772 41.8210741, 12.9311915 41.8210651, 12.931067 41.8210537, 12.9309411 41.8210428, 12.930806 41.8210323, 12.9306694 41.8210224, 12.9305498 41.8210151, 12.9302464 41.820999, 12.9302011 41.820998, 12.930153 41.820999, 12.930109 41.8210035, 12.930061 41.8210131, 12.930026 41.8210248, 12.9299896 41.8210395)",,
439180537,SP52b,,tertiary,False,False,237.859,,"LINESTRING (12.9322037 41.8211803, 12.9322124 41.8211147, 12.9322586 41.8207416, 12.9324318 41.8193431, 12.932446 41.8192472, 12.9324751 41.8190508)",,
34413068,,Piazza Guglielmo Marconi,residential,False,True,44.08,,"LINESTRING (12.9324751 41.8190508, 12.9319512 41.8189822)",,
439180537,SP52b,,tertiary,False,False,97.29400000000001,,"LINESTRING (12.9324751 41.8190508, 12.9333837 41.8191514, 12.9334424 41.8191579, 12.9334863 41.819161, 12.9335335 41.8191634, 12.9335728 41.8191631, 12.9336153 41.819162, 12.9336381 41.8191602)",,
439180537,SP52b,,tertiary,False,True,237.859,,"LINESTRING (12.9324751 41.8190508, 12.932446 41.8192472, 12.9324318 41.8193431, 12.9322586 41.8207416, 12.9322124 41.8211147, 12.9322037 41.8211803)",,
34414202,SR155,Viale Pio XII,primary,False,False,40.206,,"LINESTRING (12.9336122 41.8174463, 12.9335933 41.8173988, 12.9335708 41.8173505, 12.933444 41.8171073)",2,
