osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,access,ref,width,bridge,junction,tunnel
27130934,False,1,Via Giuseppe Rensi,tertiary,False,38.977000000000004,"LINESTRING (10.8441169 45.3490697, 10.8441511 45.3491909, 10.8441743 45.3492732, 10.8441483 45.3494151)",,,,,,,
130704555,False,1,Via Roma,tertiary,True,154.83900000000003,"LINESTRING (10.8441169 45.3490697, 10.8439749 45.3489165, 10.8437844 45.3487454, 10.84356 45.3485576, 10.8433416 45.3483748, 10.843125 45.3482528, 10.8429523 45.3481784, 10.8428925 45.3481526, 10.8427305 45.3481096)",,,,,,,
179279205,False,1,Via Generale Cantore,tertiary,False,143.783,"LINESTRING (10.8474968 45.3552009, 10.8475681 45.3551697, 10.847626 45.3551444, 10.8476885 45.3551171, 10.84907 45.3545302)",50,yes,,,,,
689194192,False,1,Corso Vittorio Emanuele Secondo,tertiary,True,171.179,"LINESTRING (10.8474968 45.3552009, 10.8474342 45.3551363, 10.8473813 45.3550822, 10.8466449 45.3543046, 10.8464471 45.3540952, 10.8462758 45.3539228)",50,,,,,,
26120527,True,,Via Luigi Prina,residential,False,79.378,"LINESTRING (10.839733 45.354028, 10.8398196 45.3541186, 10.8402994 45.3546206)",30,yes,,,,,
689194193,False,1,Corso Vittorio Emanuele II,tertiary,True,7.529999999999999,"LINESTRING (10.8443659 45.3518441, 10.8443394 45.3518149, 10.8443141 45.351787)",50,,,,,,
"[689194192, 689291492]",False,1,"['Corso Vittorio Emanuele II', 'Corso Vittorio Emanuele Secondo']",tertiary,False,275.17400000000004,"LINESTRING (10.8443659 45.3518441, 10.8443962 45.3518803, 10.8444546 45.35195, 10.8447522 45.3522802, 10.8451262 45.3526972, 10.8452042 45.3527798, 10.8453607 45.3529453, 10.8455182 45.3531064, 10.8461827 45.3538152, 10.8462758 45.3539228)",50,,,,,,
26121271,True,,Via Rinaldo da Villafranca,residential,False,249.64600000000004,"LINESTRING (10.8459267 45.3511348, 10.8458656 45.3510586, 10.845498 45.3505998, 10.8454503 45.3505403, 10.8453244 45.3503831, 10.8451314 45.3501634, 10.8448555 45.3498492, 10.8445057 45.349451, 10.844452 45.349402, 10.8443481 45.3493738, 10.8442428 45.3493888, 10.8441483 45.3494151)",,,,,,,
"[689280066, 689291486]",False,,Corso Giuseppe Garibaldi,tertiary,False,145.393,"LINESTRING (10.8459267 45.3511348, 10.8458238 45.3511764, 10.8449214 45.351539, 10.8445055 45.3517096, 10.8443141 45.351787)",50,yes,,,,,
"[689280066, 208841499]",False,,Corso Giuseppe Garibaldi,tertiary,True,135.64000000000001,"LINESTRING (10.8459267 45.3511348, 10.8459521 45.3511243, 10.8460319 45.3510915, 10.8462004 45.3510222, 10.8466868 45.3508222, 10.8469336 45.3507207, 10.8473647 45.3505429, 10.8474248 45.3505187)",50,yes,,,,,
179279580,False,,Via Franklin Vivenza,residential,True,152.571,"LINESTRING (10.8498686 45.3512553, 10.8509384 45.3524031)",30,yes,,,,,
