osmid,oneway,lanes,highway,reversed,length,geometry,ref,maxspeed,junction,bridge,tunnel
"[1119491950, 497705410, 30215326]",True,1,residential,False,750.2960000000002,"LINESTRING (13.6364137 45.7720192, 13.636443 45.7720435, 13.6365937 45.7720846, 13.6366564 45.7720974, 13.6367304 45.7721001, 13.6368065 45.7721011, 13.6369565 45.7720848, 13.6371056 45.7720623, 13.6372649 45.7720377, 13.6373442 45.7720271, 13.6374233 45.7720242, 13.6375558 45.772022, 13.6376884 45.7720342, 13.6378149 45.7720558, 13.6379363 45.7720803, 13.637994 45.7720943, 13.6381335 45.7721282, 13.6383099 45.772191, 13.6383946 45.7722287, 13.6384779 45.7722709, 13.6386214 45.7723709, 13.6386999 45.7724332, 13.6387709 45.7725021, 13.6389147 45.7726469, 13.6389864 45.772725, 13.6390641 45.7728096, 13.6391234 45.7728774, 13.6391538 45.7729212, 13.6391718 45.7729569, 13.6392078 45.7730019, 13.6393259 45.7730396, 13.6394044 45.7730665, 13.6395582 45.7731068, 13.6397218 45.7731249, 13.6397855 45.7731187, 13.639878 45.7731053, 13.6400486 45.7730693, 13.6403135 45.7730151, 13.6404289 45.772987, 13.640615 45.7729443, 13.6407767 45.7729001, 13.6408735 45.7728728, 13.6409707 45.7728397, 13.6411854 45.7727516, 13.6413398 45.7726847, 13.6414066 45.7726404, 13.6414697 45.7725826, 13.6414825 45.7725126, 13.6414499 45.7724806, 13.6412774 45.7723471, 13.6409342 45.7720929, 13.6402794 45.771601, 13.6396373 45.7711202, 13.6393132 45.7708702, 13.6392369 45.7708101, 13.6391636 45.7707531, 13.6391297 45.7707149, 13.6391159 45.7706571, 13.639119 45.7706314)",,,,,
"[1240395338, 200403685, 1225479998]",False,2,primary,False,195.70600000000002,"LINESTRING (13.6364137 45.7720192, 13.636563 45.7719323, 13.6369322 45.7717034, 13.6371649 45.7715622, 13.637319 45.7714665, 13.6376391 45.7712658, 13.6377715 45.7711763, 13.6381388 45.7709381, 13.6382816 45.7708367)",SS14,50,,,
200403685,False,2,primary,True,287.719,"LINESTRING (13.6364137 45.7720192, 13.6362889 45.7720874, 13.6361732 45.7721441, 13.6359982 45.7722261, 13.6358985 45.7722695, 13.6356669 45.7723643, 13.6355433 45.7724207, 13.6354486 45.7724698, 13.6353641 45.7725196, 13.6352819 45.7725747, 13.6351421 45.7726993, 13.6350129 45.7728287, 13.6348651 45.7729768, 13.6346577 45.7731613, 13.6344238 45.7733578, 13.6343112 45.7734505, 13.6341708 45.7735293, 13.6340081 45.7736006, 13.6338595 45.7736454, 13.6337335 45.7736688, 13.6336652 45.7736788)",SS14,50,,,
"[22729818, 1124328066]",True,"['1', '2']",primary,False,45.541,"LINESTRING (13.6382816 45.7708367, 13.6383875 45.7707452, 13.6384221 45.7707153, 13.6385236 45.7705805, 13.6385362 45.7705302, 13.6385372 45.77048)",SS14,50,,,
"[1240395338, 200403685, 1225479998]",False,2,primary,True,195.70600000000002,"LINESTRING (13.6382816 45.7708367, 13.6381388 45.7709381, 13.6377715 45.7711763, 13.6376391 45.7712658, 13.637319 45.7714665, 13.6371649 45.7715622, 13.6369322 45.7717034, 13.636563 45.7719323, 13.6364137 45.7720192)",SS14,50,,,
24465195,True,1,primary,False,42.84100000000001,"LINESTRING (13.6391988 45.7691492, 13.6392051 45.7693127, 13.6391989 45.7694752, 13.6391952 45.7695343)",SS14,50,,,
20033832,True,,secondary,False,19.974,"LINESTRING (13.6397135 45.7698838, 13.639774 45.7698512, 13.6399128 45.7697701)",SP1,50,,,
485903282,False,2,secondary,True,34.463,"LINESTRING (13.6435379 45.7673634, 13.6432157 45.7675768)",SP1,50,,,
801426319,True,2,primary,False,9.55,"LINESTRING (13.6391234 45.7703208, 13.6391212 45.7703637, 13.6391076 45.7704056)",SS14,50,roundabout,,
24465246,True,1,secondary,False,39.059,"LINESTRING (13.6391076 45.7704056, 13.6391288 45.7704704, 13.6391557 45.7705423, 13.639188 45.770583, 13.6392162 45.7706167, 13.6393159 45.7707205)",SP32,,,,
