osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,bridge,tunnel,maxspeed,junction,access
151279289,True,Via Giuseppe Di Vittorio,unclassified,False,50.793,"LINESTRING (12.8331315 43.5676489, 12.8328759 43.5675253, 12.8326603 43.5673509)",,,,,,,
"[151279272, 170027317, 635436695]",False,Strada Statale 424 della Valcesano,secondary,False,239.731,"LINESTRING (12.8331315 43.5676489, 12.8323484 43.5670116, 12.832039 43.566765, 12.8311371 43.566049)",2,SS424,yes,,,,
151279310,True,Via Giuseppe Di Vittorio,unclassified,False,125.147,"LINESTRING (12.8301549 43.565255, 12.8304161 43.5653887, 12.8308243 43.5657145, 12.8311823 43.5658925, 12.8313275 43.5659835)",,,,,,,
635436691,False,Strada Statale 424 della Valcesano,secondary,True,92.32499999999999,"LINESTRING (12.8301549 43.565255, 12.8304819 43.5655193, 12.8307564 43.5657412, 12.8309197 43.5658733)",2,SS424,,,,,
"[374424404, 374424405, 24151135]",False,Via John Fitzgerald Kennedy,secondary,False,338.52899999999994,"LINESTRING (12.8359394 43.5601696, 12.8362426 43.5601671, 12.8369211 43.5601615, 12.8371652 43.5601536, 12.8372316 43.5601526, 12.8378634 43.5601434, 12.8380702 43.5601552, 12.8382144 43.5601934, 12.8382298 43.5602001, 12.8383121 43.5602361, 12.8384627 43.5603767, 12.8388865 43.5610007, 12.8390397 43.5611736, 12.8392522 43.56134)",2,SP141,yes,,,,
29154849,False,Via Guglielmo Marconi,tertiary,False,338.12199999999996,"LINESTRING (12.8359394 43.5601696, 12.8352042 43.560226, 12.833216 43.5603688, 12.8328798 43.5604287, 12.8326425 43.5605578, 12.8324988 43.5606708, 12.8323918 43.5608571, 12.8323653 43.5610922)",,,,,,,
163500360,False,Via Don Minzoni,residential,True,72.257,"LINESTRING (12.8359394 43.5601696, 12.8359287 43.5604125, 12.8359294 43.5604211, 12.8359474 43.5606527, 12.8359847 43.5608167)",,,,,,,
286498040,False,Via John Fitzgerald Kennedy,unclassified,False,14.635,"LINESTRING (12.8392522 43.56134, 12.8394061 43.5612701)",,,,,,,
"[374424404, 374424405, 24151135]",False,Via John Fitzgerald Kennedy,secondary,True,338.52900000000005,"LINESTRING (12.8392522 43.56134, 12.8390397 43.5611736, 12.8388865 43.5610007, 12.8384627 43.5603767, 12.8383121 43.5602361, 12.8382298 43.5602001, 12.8382144 43.5601934, 12.8380702 43.5601552, 12.8378634 43.5601434, 12.8372316 43.5601526, 12.8371652 43.5601536, 12.8369211 43.5601615, 12.8362426 43.5601671, 12.8359394 43.5601696)",2,SP141,yes,,,,
782621725,False,Via John Fitzgerald Kennedy,secondary,False,163.706,"LINESTRING (12.8392522 43.56134, 12.8398439 43.5617547, 12.8400195 43.5619132, 12.8401565 43.5620856, 12.8404464 43.56251)",2,SP141,,,,,
782621725,False,Via John Fitzgerald Kennedy,secondary,False,47.103,"LINESTRING (12.8404464 43.56251, 12.8407078 43.5628889)",2,SP141,,,,,
