osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,name,geometry,junction,bridge,width,tunnel
37934102,True,1,SP187,secondary,50,False,8.261,,"LINESTRING (7.3528739 45.0412763, 7.3528175 45.041339)",,,,
362359949,False,2,SP187,secondary,50,True,60.775,Viale Regina Elena,"LINESTRING (7.3528739 45.0412763, 7.3531952 45.0411221, 7.3535307 45.0409885)",,,,
37943876,True,1,SP193,tertiary,50,False,15.253,,"LINESTRING (7.3525152 45.0411947, 7.3526378 45.0412558, 7.3526739 45.0412737)",,,,
693644227,False,2,SP193,tertiary,50,True,46.963,Via Canonico Pio Rolla,"LINESTRING (7.3525152 45.0411947, 7.3524865 45.0410746, 7.3525073 45.0409671, 7.3525342 45.040861, 7.3525577 45.0407784)",,,,
37934095,True,1,,secondary,50,False,48.478,,"LINESTRING (7.3524186 45.0418636, 7.3525021 45.0417218, 7.3525167 45.0416848, 7.3525617 45.0415385, 7.3525695 45.0414444)",,,,
37934098,True,1,SP190,secondary,50,False,11.155000000000001,Piazza San Lorenzo,"LINESTRING (7.3524186 45.0418636, 7.3524648 45.0418564, 7.3525118 45.0418603, 7.3525544 45.0418749)",roundabout,,,
366010662,True,1,SP190,secondary,50,False,9.977,Piazza San Lorenzo,"LINESTRING (7.3524176 45.04205, 7.3523658 45.0420241, 7.3523351 45.0419848)",roundabout,,,
366010660,True,1,,tertiary,50,False,19.891,Piazza San Lorenzo,"LINESTRING (7.3523351 45.0419848, 7.352087 45.0419492)",,,,
"[37934098, 366010662]",True,1,SP190,secondary,50,False,12.545,Piazza San Lorenzo,"LINESTRING (7.3523351 45.0419848, 7.3523315 45.0419401, 7.3523475 45.041908, 7.3523777 45.0418815)",roundabout,,,
"[37934098, 366010662]",True,1,SP190,secondary,50,False,19.44,Piazza San Lorenzo,"LINESTRING (7.3525544 45.0418749, 7.3525958 45.0419073, 7.352614 45.0419491, 7.3526053 45.0419924, 7.3525715 45.042029)",roundabout,,,
37934894,True,1,SP190,secondary,50,False,10.031,Piazza San Lorenzo,"LINESTRING (7.3525715 45.042029, 7.3525955 45.0421176)",,,,
366010662,True,1,SP190,secondary,50,False,12.955,Piazza San Lorenzo,"LINESTRING (7.3525715 45.042029, 7.3525255 45.0420502, 7.3524715 45.0420576, 7.3524176 45.04205)",roundabout,,,
37934099,True,1,,secondary,50,False,13.165999999999999,,"LINESTRING (7.3525695 45.0414444, 7.352542 45.04141, 7.3525347 45.0413709, 7.3525487 45.0413327)",roundabout,,,
