osmid,bridge,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,junction,tunnel,access
"[82514712, 132431402]",yes,Via Solferino,tertiary,False,True,22.866,"LINESTRING (9.9995014 45.5641668, 9.9995499 45.5642661, 9.9995704 45.5642899, 9.9996072 45.5643073, 9.9996652 45.5643173)",,,,,
483565927,,Via Solferino,tertiary,True,False,41.139,"LINESTRING (9.9995014 45.5641668, 9.9993766 45.5640603, 9.9992419 45.5638481)",1,,,,
33643339,,Via Roma,residential,False,False,92.766,"LINESTRING (9.9973477 45.5659276, 9.9975253 45.565813, 9.9976603 45.5656695, 9.9979792 45.5652826, 9.9980351 45.5652572)",,,,,
438041655,,Via Cesare Cantù,residential,True,False,117.38899999999998,"LINESTRING (9.9973477 45.5659276, 9.9970705 45.5659352, 9.996856 45.5659519, 9.9964159 45.5659876, 9.9961634 45.5659807, 9.9958475 45.5659497)",,,,,
33643278,,,residential,False,True,14.102,"LINESTRING (10.0029895 45.5637842, 10.0029166 45.5639003)",,,,,
438165108,,,residential,True,False,25.894,"LINESTRING (10.0029895 45.5637842, 10.0030713 45.5638391, 10.0032629 45.5639138)",,,,,
586583483,,,residential,False,False,94.46799999999999,"LINESTRING (10.0029895 45.5637842, 10.0029906 45.5636188, 10.002959 45.5634603, 10.0030943 45.5629448)",,,,,
233232435,,Via Quattro Novembre,residential,False,False,134.002,"LINESTRING (10.0040383 45.56847, 10.0037021 45.5672881)",,,,,
51747237,,Via San Rocco,residential,False,True,98.385,"LINESTRING (10.0040383 45.56847, 10.0035089 45.5686149, 10.0032819 45.5686943, 10.0030956 45.5687523, 10.0028742 45.5688131)",,50,,,
107208359,,Via Monte Grappa,residential,False,True,123.535,"LINESTRING (10.0040383 45.56847, 10.0042347 45.5688482, 10.0047252 45.569468)",,,,,
233232435,,Via Quattro Novembre,residential,False,True,134.002,"LINESTRING (10.0037021 45.5672881, 10.0040383 45.56847)",,,,,
233232435,,Via Quattro Novembre,residential,False,False,124.74,"LINESTRING (10.0037021 45.5672881, 10.0035065 45.5667692, 10.0033725 45.5663105, 10.0033614 45.5661938)",,,,,
59538403,,Via Venti Settembre,residential,False,False,262.888,"LINESTRING (10.0033614 45.5661938, 10.0020984 45.56621, 10.0006696 45.56623, 9.9999851 45.5662421)",,,,,
132431366,,Via Guglielmo Marconi,residential,False,False,128.413,"LINESTRING (10.0033614 45.5661938, 10.0035043 45.5661769, 10.0050085 45.5661513)",,,,,
132431383,,,residential,False,False,160.757,"LINESTRING (10.0033614 45.5661938, 10.0034751 45.5657219, 10.0035768 45.5653993, 10.0036038 45.5651593, 10.0036001 45.5648624, 10.0035752 45.5647648)",,,,,
233232435,,Via Quattro Novembre,residential,False,True,124.74000000000001,"LINESTRING (10.0033614 45.5661938, 10.0033725 45.5663105, 10.0035065 45.5667692, 10.0037021 45.5672881)",,,,,
59538397,,,unclassified,True,False,59.61000000000001,"LINESTRING (9.9990901 45.5646608, 9.9991325 45.5646214, 9.9992465 45.5645299, 9.9994616 45.5644118, 9.999595 45.5643325, 9.9996652 45.5643173)",,,,,
"[1159978688, 33643339, 1159978687]",yes,Via Roma,residential,False,True,105.79899999999999,"LINESTRING (9.9990901 45.5646608, 9.999085 45.5646643, 9.9990472 45.5646902, 9.9983681 45.5651057, 9.9980351 45.5652572)",,,,,
34096461,,Via Solferino,tertiary,True,False,8.498,"LINESTRING (9.9996889 45.5643889, 9.9996693 45.5643674, 9.9996611 45.5643426, 9.9996652 45.5643173)",,,roundabout,,
