osmid,lanes,ref,name,highway,oneway,reversed,length,maxspeed,geometry,access
512974106,2,SP511,Via Anagnina,secondary,False,True,1.784,,"LINESTRING (12.669406 41.7929296, 12.669385 41.7929331)",
24242418,2,SP216,Viale San Bartolomeo,secondary,False,False,31.301000000000002,50,"LINESTRING (12.669406 41.7929296, 12.6695954 41.7927592, 12.6696372 41.7927077)",
423184954,,,Via San Bartolomeo,residential,False,True,20.461,,"LINESTRING (12.670514 41.7897122, 12.6703761 41.7898648)",
441449321,2,SP216,Viale San Bartolomeo,secondary,False,False,8.896,50,"LINESTRING (12.670514 41.7897122, 12.6704852 41.7896951, 12.6704435 41.7896763, 12.6704248 41.789668)",
441449321,2,SP216,Viale San Bartolomeo,secondary,False,True,49.542,50,"LINESTRING (12.670514 41.7897122, 12.6705631 41.7897461, 12.6706175 41.7897877, 12.6706566 41.7898205, 12.670694 41.7898555, 12.6707327 41.7898945, 12.6707776 41.7899447, 12.6708063 41.7899829, 12.6708332 41.7900258, 12.6708589 41.7900708)",
423223030,,,Piazza Alcide De Gasperi,residential,False,True,27.762,,"LINESTRING (12.6704248 41.789668, 12.6704244 41.7896391, 12.6704226 41.7896141, 12.670414 41.789578, 12.6704041 41.7895459, 12.670389 41.7895171, 12.6703692 41.7894903, 12.670344 41.7894644, 12.6703141 41.7894406)",
441449321,2,SP216,Viale San Bartolomeo,secondary,False,False,29.122,50,"LINESTRING (12.6704248 41.789668, 12.670385 41.7896558, 12.6703465 41.7896455, 12.670092 41.7895845)",
441449321,2,SP216,Viale San Bartolomeo,secondary,False,True,8.896,50,"LINESTRING (12.6704248 41.789668, 12.6704435 41.7896763, 12.6704852 41.7896951, 12.670514 41.7897122)",
441449321,2,SP216,Viale San Bartolomeo,secondary,False,True,5.896,50,"LINESTRING (12.6697668 41.789024, 12.6697227 41.7890656)",
423223030,,,Piazza Alcide De Gasperi,residential,False,False,64.845,,"LINESTRING (12.6697668 41.789024, 12.6702924 41.7894244, 12.6703141 41.7894406)",
