osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,access,width
25950170,,,Via Giacomo Leopardi,residential,,False,False,64.578,"LINESTRING (8.9675351 45.7872255, 8.966726 45.7873632)",,,
1176309902,2,SP17,Via Giovanni Tarchini,secondary,50,False,True,126.059,"LINESTRING (8.9675351 45.7872255, 8.9671924 45.7861173)",,,
81257590,,,Via Sempione,residential,,True,False,154.123,"LINESTRING (8.9675351 45.7872255, 8.967793 45.7871692, 8.9682351 45.7871449, 8.9692724 45.7871061, 8.9694997 45.787064)",,,
1176309902,2,SP17,Via Giovanni Tarchini,secondary,50,False,False,182.70299999999997,"LINESTRING (8.9675351 45.7872255, 8.9679126 45.788643, 8.9679098 45.7887473, 8.9678759 45.7888414)",,,
25950170,,,Via Giacomo Leopardi,residential,,False,False,4.402,"LINESTRING (8.966268 45.7874471, 8.9662154 45.787462)",,,
25950170,,,Via Giacomo Leopardi,residential,,False,True,36.718,"LINESTRING (8.966268 45.7874471, 8.966726 45.7873632)",,,
25950193,,,Via Cesare Battisti,unclassified,,True,False,94.483,"LINESTRING (8.966268 45.7874471, 8.9662474 45.7872928, 8.9661423 45.7871961, 8.9660187 45.7870926, 8.965858 45.7869442, 8.9657382 45.7868487, 8.9656933 45.7867268)",,,2.2
25950170,,,Via Giacomo Leopardi,residential,,False,True,4.402,"LINESTRING (8.9662154 45.787462, 8.966268 45.7874471)",,,
25950179,,,Via Ugo Foscolo,residential,,False,False,94.312,"LINESTRING (8.9662154 45.787462, 8.9666544 45.788253)",,,
25950170,,,Via Giacomo Leopardi,residential,,False,False,72.765,"LINESTRING (8.9662154 45.787462, 8.9659305 45.7875935, 8.9654444 45.7878349)",,,
25950170,,,Via Giacomo Leopardi,residential,,False,True,26.54,"LINESTRING (8.9651288 45.7879273, 8.9654444 45.7878349)",,,
25950178,,,Via Vittorio Alfieri,residential,,False,False,54.916,"LINESTRING (8.9651288 45.7879273, 8.9654171 45.7883784)",,,
25950170,,,Via Giacomo Leopardi,residential,,False,False,90.569,"LINESTRING (8.9651288 45.7879273, 8.9646441 45.7881037, 8.9645702 45.7881638, 8.9645286 45.7882377, 8.9645098 45.7883407, 8.9644988 45.7885114)",,,
25950170,,,Via Giacomo Leopardi,residential,,False,True,26.798,"LINESTRING (8.9644988 45.7887524, 8.9644988 45.7885114)",,,
25950170,,,Via Giacomo Leopardi,residential,,False,False,26.798,"LINESTRING (8.9644988 45.7885114, 8.9644988 45.7887524)",,,
25950171,,,Via Giacomo Leopardi,residential,,False,False,27.64,"LINESTRING (8.9644988 45.7885114, 8.9648546 45.7884962)",,,
25950170,,,Via Giacomo Leopardi,residential,,False,True,90.569,"LINESTRING (8.9644988 45.7885114, 8.9645098 45.7883407, 8.9645286 45.7882377, 8.9645702 45.7881638, 8.9646441 45.7881037, 8.9651288 45.7879273)",,,
25950171,,,Via Giacomo Leopardi,residential,,False,True,27.64,"LINESTRING (8.9648546 45.7884962, 8.9644988 45.7885114)",,,
25950178,,,Via Vittorio Alfieri,residential,,False,True,54.916,"LINESTRING (8.9654171 45.7883784, 8.9651288 45.7879273)",,,
25950179,,,Via Ugo Foscolo,residential,,False,True,94.312,"LINESTRING (8.9666544 45.788253, 8.9662154 45.787462)",,,
25950195,,,Via Giuseppe Ungaretti,residential,,False,False,64.382,"LINESTRING (8.9656933 45.7867268, 8.9665075 45.7866133)",,,
24675262,,,Via Michelangelo Buonarroti,unclassified,,False,False,49.922,"LINESTRING (8.9656777 45.785926, 8.9650381 45.7858747)",,,
24675262,,,Via Michelangelo Buonarroti,unclassified,,False,True,49.871,"LINESTRING (8.9656777 45.785926, 8.9663183 45.785966)",,,
25950194,,,Via Cesare Battisti,unclassified,,True,False,89.66199999999999,"LINESTRING (8.9656777 45.785926, 8.965671 45.7860575, 8.965642 45.7862755, 8.9656255 45.7864457, 8.9656483 45.7865618, 8.9656725 45.7866653, 8.9656933 45.7867268)",,,2.2
25950169,,,Via Dante Alighieri,residential,,False,False,85.089,"LINESTRING (8.9665075 45.7866133, 8.966726 45.7873632)",,,
25950169,,,Via Dante Alighieri,residential,,False,True,73.456,"LINESTRING (8.9665075 45.7866133, 8.9663183 45.785966)",,,
25950195,,,Via Giuseppe Ungaretti,residential,,False,True,64.382,"LINESTRING (8.9665075 45.7866133, 8.9656933 45.7867268)",,,
230230365,2,SS342,Via Roma,primary,50,False,False,23.596,"LINESTRING (8.9629478 45.7844774, 8.9626709 45.7845654)",,,
450841054,,,Via Michelangelo Buonarroti,unclassified,,False,False,49.336,"LINESTRING (8.9629478 45.7844774, 8.9631366 45.7849011)",,,
43212343,,,Via San Giorgio,unclassified,,False,False,168.604,"LINESTRING (8.9629478 45.7844774, 8.9625398 45.7834251, 8.9624006 45.7830101)",,,
230230365,2,SS342,Via Roma,primary,50,False,True,154.779,"LINESTRING (8.9629478 45.7844774, 8.9632186 45.784414, 8.9648692 45.7841014)",,,
81257569,,,Via Alessandro Manzoni,residential,,True,False,100.06499999999998,"LINESTRING (8.9702806 45.783282, 8.9703584 45.7837537, 8.970467 45.7841025, 8.9704736 45.7841705)",,,
230230366,2,SS342,Via Vittorio Emanuele Secondo,primary,50,False,False,106.285,"LINESTRING (8.9702806 45.783282, 8.970066 45.7833029, 8.9691167 45.7833447, 8.9689156 45.7833627)",,,
230230366,2,SS342,Via Vittorio Emanuele Secondo,primary,50,False,True,82.422,"LINESTRING (8.9702806 45.783282, 8.9704208 45.7832432, 8.9705298 45.7832245, 8.9706665 45.7832166, 8.9710007 45.7832104, 8.9713287 45.7832205)",,,
230230366,2,SS342,Via Vittorio Emanuele Secondo,primary,50,False,True,39.331,"LINESTRING (8.9684215 45.7834426, 8.9689156 45.7833627)",,,
"[171881130, 438324579]",2,,Via Milano,tertiary,50,False,False,102.862,"LINESTRING (8.9684215 45.7834426, 8.9684004 45.7834142, 8.968369 45.7833521, 8.9683123 45.7832233, 8.9680714 45.7825515)",,,
230230365,2,SS342,Via Roma,primary,50,False,False,129.192,"LINESTRING (8.9684215 45.7834426, 8.9669977 45.7837064, 8.9668131 45.7837453)",,,
45499301,,,Via Ventisette Maggio,tertiary,,False,False,26.875,"LINESTRING (8.9700298 45.7893434, 8.9699968 45.7892258, 8.9699307 45.789113)",,,
45499301,,,Via Ventisette Maggio,tertiary,,False,False,106.207,"LINESTRING (8.9699307 45.789113, 8.9697342 45.7887271, 8.9696445 45.7885726, 8.9696343 45.7884139, 8.9696331 45.7881938)",,,
45499301,,,Via Ventisette Maggio,tertiary,,False,True,26.875,"LINESTRING (8.9699307 45.789113, 8.9699968 45.7892258, 8.9700298 45.7893434)",,,
149986392,,,Via Salvo D'Acquisto,unclassified,,False,False,91.833,"LINESTRING (8.9699307 45.789113, 8.9700079 45.7891242, 8.9700633 45.7891649, 8.9701446 45.7892227, 8.9702582 45.7892415, 8.9704508 45.7892476, 8.9710475 45.789208)",,,
149986392,,,Via Salvo D'Acquisto,unclassified,,False,True,91.564,"LINESTRING (8.9727057 45.789098, 8.9715301 45.789176)",,,
81257496,,,Via Fratelli Rosselli,residential,,False,False,60.032,"LINESTRING (8.9727057 45.789098, 8.9727138 45.7889392, 8.9726982 45.788815, 8.9726091 45.7887109, 8.9724721 45.7886154)",,,
149986392,,,Via Salvo D'Acquisto,unclassified,,False,False,72.652,"LINESTRING (8.9727057 45.789098, 8.9729471 45.7890678, 8.9730981 45.7890129, 8.97335 45.7888599, 8.9734868 45.7887706)",,,
149986392,,,Via Salvo D'Acquisto,unclassified,,False,True,72.652,"LINESTRING (8.9734868 45.7887706, 8.97335 45.7888599, 8.9730981 45.7890129, 8.9729471 45.7890678, 8.9727057 45.789098)",,,
376260018,,,Via P. Tettamanti,tertiary,,False,False,195.486,"LINESTRING (8.9734868 45.7887706, 8.9732336 45.7885694, 8.9727688 45.7882561, 8.9723341 45.7879759, 8.9717321 45.7876669, 8.9715988 45.7876169)",,,
149986092,,,Via Lucini,residential,,True,False,23.217000000000002,"LINESTRING (8.9694997 45.787064, 8.9695685 45.7871709, 8.9696156 45.7872101, 8.9696356 45.7872481)",,,
81257545,,,Via Giuseppe Garibaldi,residential,,True,False,153.38,"LINESTRING (8.9691024 45.7861063, 8.9689313 45.7860284, 8.9687085 45.7859701, 8.9685345 45.7859604, 8.9683291 45.785992, 8.9680576 45.7860235, 8.9676991 45.78606, 8.9671924 45.7861173)",,,
149986092,,,Via Lucini,residential,,True,False,111.538,"LINESTRING (8.9691024 45.7861063, 8.969093 45.7861958, 8.9692811 45.7865974, 8.9694997 45.787064)",,,
149985941,,,Via Alessandro Volta,residential,,True,False,104.488,"LINESTRING (8.9689156 45.7833627, 8.9690499 45.7842977)",,,
230230366,2,SS342,Via Vittorio Emanuele Secondo,primary,50,False,False,39.331,"LINESTRING (8.9689156 45.7833627, 8.9684215 45.7834426)",,,
230230366,2,SS342,Via Vittorio Emanuele Secondo,primary,50,False,True,106.285,"LINESTRING (8.9689156 45.7833627, 8.9691167 45.7833447, 8.970066 45.7833029, 8.9702806 45.783282)",,,
230230366,2,SS342,Via Vittorio Emanuele Secondo,primary,50,False,False,82.422,"LINESTRING (8.9713287 45.7832205, 8.9710007 45.7832104, 8.9706665 45.7832166, 8.9705298 45.7832245, 8.9704208 45.7832432, 8.9702806 45.783282)",,,
230230366,2,SS342,Via Vittorio Emanuele Secondo,primary,50,False,True,111.77199999999999,"LINESTRING (8.9713287 45.7832205, 8.9715236 45.7831723, 8.9719725 45.7830482, 8.972375 45.782929, 8.9724548 45.7828966, 8.9725133 45.7828593, 8.9725935 45.7827769)",,,
512759245,2,SS342,Viale Trieste,primary,50,False,False,22.872,"LINESTRING (8.9736637 45.7809443, 8.9735564 45.7811359)",,,
45499301,,,Via Ventisette Maggio,tertiary,,False,False,96.997,"LINESTRING (8.9696331 45.7881938, 8.9696373 45.7873882, 8.9696281 45.7873218)",,,
45499301,,,Via Ventisette Maggio,tertiary,,False,True,106.207,"LINESTRING (8.9696331 45.7881938, 8.9696343 45.7884139, 8.9696445 45.7885726, 8.9697342 45.7887271, 8.9699307 45.789113)",,,
81257552,,,Via Don Luigi Sterlocchi,residential,,True,False,160.537,"LINESTRING (8.9696331 45.7881938, 8.9694785 45.7883334, 8.9693349 45.7884791, 8.9691652 45.7885761, 8.968852 45.788649, 8.9683448 45.7887493, 8.9678759 45.7888414)",,,
126101309,,,Viale Sandro e Piero Boselli,residential,,False,True,31.309,"LINESTRING (8.97321 45.7859962, 8.9728185 45.7860651)",,,
781856215,,,Via don Giovanni Minzoni,residential,,False,True,84.31,"LINESTRING (8.97321 45.7859962, 8.9734239 45.7867396)",,,
53560603,,,Via San Gerardo,residential,,False,True,157.598,"LINESTRING (8.9709655 45.7861678, 8.9702546 45.7870294, 8.9700535 45.7871444, 8.969743 45.7872523)",,,
126101309,,,Viale Sandro e Piero Boselli,residential,,False,False,96.74900000000001,"LINESTRING (8.9709655 45.7861678, 8.9711545 45.7862451, 8.9715678 45.7862573, 8.9719409 45.7862395, 8.9721765 45.7862042)",,,
126101311,,,Via San Gerardo,residential,,False,True,97.158,"LINESTRING (8.9709655 45.7861678, 8.971105 45.7859879, 8.9714113 45.7856214, 8.9716062 45.7854175)",,,
149985472,,,Via Camillo Benso Cavour,residential,,True,False,75.101,"LINESTRING (8.9709655 45.7861678, 8.9708387 45.7860551, 8.9707308 45.7859532, 8.9706891 45.785725, 8.9706264 45.7855551)",,,
126100724,,,Via Silvio Pellico,residential,,True,False,56.172,"LINESTRING (8.9730559 45.7855026, 8.97321 45.7859962)",,,
126101311,,,Via San Gerardo,residential,,False,False,22.141,"LINESTRING (8.9718081 45.7852767, 8.9716062 45.7854175)",,,
53560605,,,Via Luraschi,residential,,False,True,39.572,"LINESTRING (8.9718081 45.7852767, 8.9720366 45.7852492, 8.9723105 45.7852142)",,,
126100726,,,Via San Gerardo,residential,30,True,False,73.577,"LINESTRING (8.9718081 45.7852767, 8.9718916 45.7851335, 8.9718812 45.7849903, 8.9717757 45.7846341)",,,
81257508,,,Via Don Luigi Sturzo,residential,,False,True,6.071,"LINESTRING (8.9707277 45.7880076, 8.9707324 45.7879531)",,,
81257508,,,Via Don Luigi Sturzo,residential,,False,False,64.111,"LINESTRING (8.9707277 45.7880076, 8.9706804 45.7882037, 8.9706692 45.7883979, 8.9706804 45.7885241, 8.9706932 45.7885803)",,,
81257602,,,Via Giacomo Matteotti,residential,,False,False,170.855,"LINESTRING (8.9707277 45.7880076, 8.9704126 45.7879761, 8.9701898 45.7879466, 8.9701408 45.7879839, 8.9701185 45.7880957, 8.9701631 45.7883055, 8.9701564 45.7884717, 8.9701408 45.7886317, 8.9701475 45.7886829, 8.97025 45.7887047, 8.9705195 45.7887093, 8.9707194 45.788695)",,,
81257565,,,Via Giovio,residential,,True,False,71.893,"LINESTRING (8.9700207 45.7851497, 8.9698119 45.7852031, 8.9695968 45.7852892, 8.9692668 45.7855094)",,,
781856215,,,Via don Giovanni Minzoni,residential,,False,False,84.31,"LINESTRING (8.9734239 45.7867396, 8.97321 45.7859962)",,,
149986392,,,Via Salvo D'Acquisto,unclassified,,False,False,91.564,"LINESTRING (8.9715301 45.789176, 8.9727057 45.789098)",,,
149986392,,,Via Salvo D'Acquisto,unclassified,,False,True,37.588,"LINESTRING (8.9715301 45.789176, 8.9710475 45.789208)",,,
81257508,,,Via Don Luigi Sturzo,residential,,False,True,85.775,"LINESTRING (8.9715301 45.789176, 8.9714991 45.7891377, 8.9713765 45.7890775, 8.9711649 45.7890251, 8.9710257 45.7889629, 8.9708558 45.7888717, 8.9707751 45.7887862, 8.9707194 45.788695)",,,
216869609,,,Via Alessandro Volta,residential,,True,False,105.795,"LINESTRING (8.9690777 45.7845861, 8.9690899 45.7848082, 8.9691837 45.784902, 8.9692213 45.785022, 8.969215 45.7850897, 8.9691994 45.7851355, 8.9692244 45.7852293, 8.9692668 45.7855094)",,,
81257496,,,Via Fratelli Rosselli,residential,,False,False,159.848,"LINESTRING (8.9724721 45.7886154, 8.9723975 45.7885633, 8.971894 45.7882433, 8.9716712 45.7881066, 8.9715688 45.7880538, 8.9714641 45.7880289, 8.9711366 45.7879886, 8.9707324 45.7879531)",,,
81257496,,,Via Fratelli Rosselli,residential,,False,True,60.032,"LINESTRING (8.9724721 45.7886154, 8.9726091 45.7887109, 8.9726982 45.788815, 8.9727138 45.7889392, 8.9727057 45.789098)",,,
81257504,,,Via Filippo Turati,residential,,False,True,139.058,"LINESTRING (8.9724721 45.7886154, 8.9722816 45.7886456, 8.9718071 45.7886565, 8.9715599 45.7886519, 8.9714396 45.7886317, 8.9711544 45.7885944, 8.9709361 45.7885804, 8.9706932 45.7885803)",,,
149986392,,,Via Salvo D'Acquisto,unclassified,,False,False,37.588,"LINESTRING (8.9710475 45.789208, 8.9715301 45.789176)",,,
149986392,,,Via Salvo D'Acquisto,unclassified,,False,True,91.833,"LINESTRING (8.9710475 45.789208, 8.9704508 45.7892476, 8.9702582 45.7892415, 8.9701446 45.7892227, 8.9700633 45.7891649, 8.9700079 45.7891242, 8.9699307 45.789113)",,,
25950170,,,Via Giacomo Leopardi,residential,,False,False,26.54,"LINESTRING (8.9654444 45.7878349, 8.9651288 45.7879273)",,,
155553364,,,,residential,,False,True,76.019,"LINESTRING (8.9654444 45.7878349, 8.9658414 45.78846)",,,
25950170,,,Via Giacomo Leopardi,residential,,False,True,72.765,"LINESTRING (8.9654444 45.7878349, 8.9659305 45.7875935, 8.9662154 45.787462)",,,
81257550,,,Via Giovanni Verga,residential,,False,True,44.161,"LINESTRING (8.9735564 45.7811359, 8.9730672 45.7809326)",,,
512759245,2,SS342,Viale Trieste,primary,50,False,False,18.806,"LINESTRING (8.9735564 45.7811359, 8.9734666 45.781293)",,,
