osmid,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,ref,junction
74314518,Via Vittorio Veneto,residential,False,False,203.955,"LINESTRING (11.8231432 44.8924196, 11.8231321 44.8925477, 11.823081 44.893141, 11.8230548 44.8934441, 11.8230127 44.8939328, 11.8229853 44.8942504)",,,,
"[284663234, 100261972]",Viale Giosuè Carducci,tertiary,False,False,165.166,"LINESTRING (11.8231432 44.8924196, 11.8238935 44.8924511, 11.8239828 44.8924571, 11.8240687 44.8924647, 11.824125 44.8924742, 11.8241886 44.892491, 11.8242748 44.8925175, 11.8251384 44.8927964)",,,,
63109744,Via Dante Alighieri,tertiary,False,False,60.837,"LINESTRING (11.8268449 44.8933476, 11.8267068 44.8938859)",50,,,
284605106,Via Antonio Fiorini,residential,False,True,51.872,"LINESTRING (11.8268449 44.8933476, 11.8270004 44.8928943)",,,,
284663234,Viale Giosuè Carducci,tertiary,False,True,147.74,"LINESTRING (11.8268449 44.8933476, 11.8251384 44.8927964)",,,,
100262027,Piazza del Popolo,tertiary,False,False,74.017,"LINESTRING (11.8268449 44.8933476, 11.8274172 44.893534, 11.8276986 44.8936257)",50,,,
74346995,Via Carlo Pisacane,residential,True,False,101.668,"LINESTRING (11.8270004 44.8928943, 11.8281435 44.8933188)",,,,
284605106,Via Antonio Fiorini,residential,False,False,51.872,"LINESTRING (11.8270004 44.8928943, 11.8268449 44.8933476)",,,,
284605106,Via Antonio Fiorini,residential,False,True,87.268,"LINESTRING (11.8270004 44.8928943, 11.8272312 44.8922214, 11.8272578 44.892131)",,,,
74346987,Via Guglielmo Marconi,residential,False,True,93.175,"LINESTRING (11.8281435 44.8933188, 11.8283876 44.8924989)",,,,
100261990,Via Guglielmo Marconi,residential,True,False,45.961,"LINESTRING (11.8281435 44.8933188, 11.8280228 44.8937232)",,,,
74346987,Via Guglielmo Marconi,residential,False,False,93.175,"LINESTRING (11.8283876 44.8924989, 11.8281435 44.8933188)",,,,
284605102,Via Primo Maggio,residential,False,False,3.146,"LINESTRING (11.8283876 44.8924989, 11.8284235 44.8925113)",,,,
284605102,Via Primo Maggio,residential,False,True,97.994,"LINESTRING (11.8283876 44.8924989, 11.8274585 44.8921873, 11.8273508 44.8921546, 11.8272891 44.8921375, 11.8272578 44.892131)",,,,
60733569,Via Primo Maggio,residential,False,False,176.648,"LINESTRING (11.8250277 44.8919766, 11.8270182 44.8920973, 11.8270852 44.8921033, 11.827139 44.89211, 11.8272059 44.8921204, 11.8272578 44.892131)",,,,
60733569,Via Primo Maggio,residential,False,True,114.365,"LINESTRING (11.8250277 44.8919766, 11.8236322 44.8918977, 11.8235805 44.8918948)",,,,
284609586,Via Alfredo Modonesi,residential,False,False,117.46099999999998,"LINESTRING (11.8250277 44.8919766, 11.825085 44.8916073, 11.8250978 44.8915617, 11.8251166 44.8915275, 11.8253634 44.8912368, 11.8253929 44.8912045, 11.8254142 44.8911912, 11.825441 44.8911855, 11.8254705 44.8911912, 11.8256705 44.8912704)",,,,
60733569,Via Primo Maggio,residential,False,False,114.365,"LINESTRING (11.8235805 44.8918948, 11.8236322 44.8918977, 11.8250277 44.8919766)",,,,
100262001,Via Montebello,residential,False,False,2.054,"LINESTRING (11.8319304 44.897346, 11.8319252 44.8973641)",,,,
74359501,Via Gorizia,residential,True,False,87.63399999999999,"LINESTRING (11.8319304 44.897346, 11.8319545 44.8972925, 11.8321099 44.8968631, 11.8322638 44.8965958)",,,,
