osmid,oneway,name,highway,reversed,length,geometry,lanes,access,maxspeed,junction,ref,tunnel
8055186,True,Via Giacomo Puccini,tertiary,False,35.623,"LINESTRING (11.1624016 43.8615917, 11.1625398 43.8616119, 11.1626646 43.8616194, 11.1627276 43.8616232, 11.1627638 43.8616214, 11.1628422 43.8616176)",,,,,,
"[307516292, 349935415]",False,Via Giacomo Puccini,tertiary,False,79.54,"LINESTRING (11.1624016 43.8615917, 11.1620006 43.8614393, 11.1617104 43.8613429, 11.1616179 43.8613122, 11.1615112 43.8612768)",,,,,,
349935414,False,Via Giacomo Puccini,tertiary,False,31.926,"LINESTRING (11.1615112 43.8612768, 11.1611611 43.86114)",2,yes,,,,
"[307516292, 349935415]",False,Via Giacomo Puccini,tertiary,True,79.53999999999999,"LINESTRING (11.1615112 43.8612768, 11.1616179 43.8613122, 11.1617104 43.8613429, 11.1620006 43.8614393, 11.1624016 43.8615917)",,,,,,
349935414,False,Via Giacomo Puccini,tertiary,True,31.926,"LINESTRING (11.1611611 43.86114, 11.1615112 43.8612768)",2,yes,,,,
24903043,True,Via Giacomo Puccini,residential,False,30.47,"LINESTRING (11.1668271 43.8655561, 11.1667975 43.8655279, 11.1665811 43.8653473)",,,,,,
24903043,True,Via Giacomo Puccini,residential,False,62.271,"LINESTRING (11.1672974 43.8660018, 11.1668271 43.8655561)",,,,,,
1040329166,True,Via Giacomo Puccini,tertiary,False,76.461,"LINESTRING (11.1672974 43.8660018, 11.16731 43.8661523, 11.1673453 43.866575, 11.1673518 43.8666883)",,,,,,
"[48165528, 8055034]",True,"['Piazza Antonio Gramsci', 'Piazza Vittorio Veneto']",residential,False,82.192,"LINESTRING (11.1675879 43.8657367, 11.167502 43.8656819, 11.1670838 43.8653988, 11.1668897 43.8655177, 11.1668271 43.8655561)",,,50,,,
662602611,True,Via Giuseppe Giusti,tertiary,False,38.42,"LINESTRING (11.1675879 43.8657367, 11.1674824 43.8658103, 11.167324 43.8659303, 11.1672974 43.8660018)",,,,,,
662602611,True,Via Giuseppe Giusti,tertiary,False,58.063,"LINESTRING (11.1681031 43.8653697, 11.168064 43.8653969, 11.1678356 43.86556, 11.1676188 43.8657149, 11.1675879 43.8657367)",,,,,,
349935419,False,Via Giuseppe Giusti,tertiary,False,24.622,"LINESTRING (11.1703199 43.8620832, 11.1704893 43.8618985)",,,,,,
8054962,False,Via Giuseppe Giusti,tertiary,True,24.393,"LINESTRING (11.1703199 43.8620832, 11.1702853 43.8621705, 11.1702477 43.8622633, 11.1702367 43.8622942)",,,,,,
