osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,junction,maxspeed,bridge,access,tunnel
224729432,True,2,Via Isola Ponti,tertiary,False,29.2,"LINESTRING (9.5258392 45.5221562, 9.5257819 45.5221564, 9.5257032 45.5221603, 9.5256872 45.5221632, 9.5254727 45.5222035)",,,,,,
449915477,True,,Via Isola Ponti,primary,False,17.535,"LINESTRING (9.5258392 45.5221562, 9.5257919 45.5221154, 9.5257664 45.522066, 9.5257656 45.5220134)",SS11,roundabout,,,,
43445234,True,,Piazza Garibaldi,unclassified,False,132.76,"LINESTRING (9.5223585 45.5248565, 9.5223773 45.5249118, 9.5225267 45.5253507, 9.5227104 45.5260244)",,,,,,
854416119,False,2,Via Vittorio Veneto,tertiary,True,18.770999999999997,"LINESTRING (9.5223585 45.5248565, 9.5222898 45.5248995, 9.5222211 45.5249388, 9.522171 45.5249621)",,,50,,,
"[45586176, 45586178, 45586179, 182072465, 992156723, 854416120]",False,2,Via Isola Ponti,tertiary,False,390.409,"LINESTRING (9.5223585 45.5248565, 9.5224829 45.5247465, 9.5225579 45.5246676, 9.5225891 45.5246348, 9.5227623 45.5244427, 9.522807 45.5243921, 9.5232729 45.5238882, 9.5241227 45.5228525, 9.5241778 45.5228004, 9.5242571 45.5227427, 9.5243161 45.5227034, 9.5244161 45.5226495, 9.5244713 45.5226227, 9.5254727 45.5222035)","['SS11', 'SP11']",,50,viaduct,,
"[45586176, 45586178, 45586179, 182072465, 992156723, 854416120]",False,2,Via Isola Ponti,tertiary,True,390.409,"LINESTRING (9.5254727 45.5222035, 9.5244713 45.5226227, 9.5244161 45.5226495, 9.5243161 45.5227034, 9.5242571 45.5227427, 9.5241778 45.5228004, 9.5241227 45.5228525, 9.5232729 45.5238882, 9.522807 45.5243921, 9.5227623 45.5244427, 9.5225891 45.5246348, 9.5225579 45.5246676, 9.5224829 45.5247465, 9.5223585 45.5248565)","['SS11', 'SP11']",,50,viaduct,,
45586181,True,2,Via Isola Ponti,tertiary,False,31.307000000000002,"LINESTRING (9.5254727 45.5222035, 9.5256451 45.5221124, 9.5256808 45.5220873, 9.5257232 45.5220504, 9.5257656 45.5220134)",,,,,,
951239798,False,,Via Europa,residential,True,63.078,"LINESTRING (9.515589 45.5300272, 9.5158865 45.5305548)",,,,,,
460737809,True,,Via Vincenzo Gioberti,residential,False,28.177,"LINESTRING (9.515589 45.5300272, 9.5156631 45.5300081, 9.5159272 45.5299373)",,,,,,
291967403,False,2,Via Alfredo Tornaghi,residential,False,61.973,"LINESTRING (9.5177389 45.5294518, 9.5179742 45.5299842)",,,,,,
291967403,False,2,Via Alfredo Tornaghi,residential,True,30.163,"LINESTRING (9.5177389 45.5294518, 9.5176391 45.5291897)",,,,,,
291967403,False,2,Via Alfredo Tornaghi,residential,False,30.163,"LINESTRING (9.5176391 45.5291897, 9.5177389 45.5294518)",,,,,,
291967403,False,2,Via Alfredo Tornaghi,residential,True,28.983,"LINESTRING (9.5176391 45.5291897, 9.517573 45.5289332)",,,,,,
291967403,False,2,Via Alfredo Tornaghi,residential,False,25.155,"LINESTRING (9.517524 45.5287096, 9.517573 45.5289332)",,,,,,
70030902,True,,Via Gioachino Rossini,residential,False,96.69,"LINESTRING (9.517524 45.5287096, 9.5184991 45.5284483, 9.5185552 45.5284441, 9.5186028 45.52845, 9.5186442 45.5284608, 9.5186778 45.5284851)",,,,,,
52710918,False,,Via Venezia,residential,False,49.963,"LINESTRING (9.517322 45.5278068, 9.5167189 45.5279597)",,,,,,
956355418,True,,Via Alfredo Tornaghi,residential,False,101.613,"LINESTRING (9.517322 45.5278068, 9.517524 45.5287096)",,,,,,
70023952,True,,Via Alfredo Tornaghi,residential,False,198.37,"LINESTRING (9.5167545 45.5260763, 9.5167865 45.5261363, 9.5168339 45.5262249, 9.5171814 45.5269977, 9.517284 45.5275879, 9.517322 45.5278068)",,,,,,
