osmid,oneway,name,highway,maxspeed,reversed,length,geometry,bridge,access,lanes,junction
34058027,False,Via Dante Alighieri,secondary,50,False,45.585,"LINESTRING (9.7227968 45.6853676, 9.7228377 45.6853693, 9.7233826 45.6853918)",,,,
34058027,False,Via Dante Alighieri,secondary,50,True,84.345,"LINESTRING (9.7227968 45.6853676, 9.7226637 45.6853619, 9.7222492 45.6853612, 9.7219593 45.6853789, 9.7218389 45.685387, 9.7217155 45.6854047)",,,,
33262839,False,Via Cesare Battisti,unclassified,30,False,81.325,"LINESTRING (9.7201624 45.684902, 9.7201383 45.6848093, 9.7201001 45.6846194, 9.720088 45.684559, 9.7200492 45.6844397, 9.7200466 45.6843321, 9.7200483 45.6841938, 9.72005 45.6841777)",,,,
"[504412010, 34058027, 34055598]",False,"['Via Italia', 'Via Dante Alighieri']",secondary,50,False,133.94,"LINESTRING (9.7201624 45.684902, 9.7202566 45.6849392, 9.7206047 45.6850709, 9.7211641 45.6852735, 9.7212757 45.6853147, 9.7213836 45.6853545, 9.721524 45.6853863, 9.7215798 45.6853975, 9.7216459 45.6854024, 9.7217155 45.6854047)",yes,,,
"[629099049, 504412010]",False,Via Italia,secondary,50,True,71.828,"LINESTRING (9.7201624 45.684902, 9.7200627 45.6848737, 9.7199653 45.6848577, 9.7195977 45.684839, 9.7192493 45.6848379)",,,,
45477196,False,Via Chiesa di San Grisogono,residential,,True,162.689,"LINESTRING (9.7192493 45.6848379, 9.7192706 45.6848789, 9.7192706 45.6855252, 9.7192584 45.6856453, 9.719223 45.6857599, 9.7190723 45.686285)",,,,
"[629099049, 504412010]",False,Via Italia,secondary,50,False,71.828,"LINESTRING (9.7192493 45.6848379, 9.7195977 45.684839, 9.7199653 45.6848577, 9.7200627 45.6848737, 9.7201624 45.684902)",,,,
"[629099281, 800397135, 629099279]",False,Via Italia,secondary,,True,114.949,"LINESTRING (9.7192493 45.6848379, 9.7192197 45.6848396, 9.7189751 45.684854, 9.7184635 45.6848839, 9.7182892 45.6848916, 9.7181973 45.6848982, 9.7177754 45.6849287)",,,,
23648604,False,Via Italia,secondary,,True,72.181,"LINESTRING (9.7175683 45.6849408, 9.7171226 45.6850243, 9.7166892 45.6851472)",,,,
32389835,False,Via Paderno,unclassified,,False,148.566,"LINESTRING (9.7175683 45.6849408, 9.7175452 45.6848224, 9.7174177 45.6843386, 9.7173521 45.6841544, 9.7173231 45.684073, 9.7173159 45.6840613, 9.7172868 45.6840136, 9.7171944 45.6839042, 9.7170276 45.6837506, 9.7169814 45.6836924)",,,,
