osmid,name,highway,oneway,reversed,length,geometry,junction,maxspeed,lanes
24841253,Via Nazario Sauro,residential,False,False,143.963,"LINESTRING (11.4086857 45.5011261, 11.4072184 45.5019126)",,,
31970696,Via degli Alberi,tertiary,False,False,51.529,"LINESTRING (11.4086857 45.5011261, 11.4082234 45.5007948)",,,
31970696,Via degli Alberi,tertiary,False,True,49.682,"LINESTRING (11.4086857 45.5011261, 11.4091322 45.501445)",,,
24841250,Via Cesare Battisti,residential,False,False,148.332,"LINESTRING (11.4095763 45.501749, 11.4080692 45.5025637)",,,
31970696,Via degli Alberi,tertiary,False,False,10.161,"LINESTRING (11.4095763 45.501749, 11.4094878 45.5016819)",,,
31970696,Via degli Alberi,tertiary,False,True,19.649,"LINESTRING (11.4095763 45.501749, 11.4097545 45.501874)",,,
31970696,Via degli Alberi,tertiary,False,False,16.302,"LINESTRING (11.4099053 45.5019756, 11.4097545 45.501874)",,,
23106977,Via degli Alberi,tertiary,False,False,24.445999999999998,"LINESTRING (11.4099053 45.5019756, 11.4099902 45.5020084, 11.4100399 45.5020156, 11.4101145 45.5020176, 11.4102053 45.5020245)",,,
23106977,Via degli Alberi,tertiary,False,True,24.445999999999998,"LINESTRING (11.4102053 45.5020245, 11.4101145 45.5020176, 11.4100399 45.5020156, 11.4099902 45.5020084, 11.4099053 45.5019756)",,,
31970697,Via degli Alberi,tertiary,True,False,23.273000000000003,"LINESTRING (11.4102053 45.5020245, 11.4102866 45.5020315, 11.4103903 45.5020601, 11.410494 45.5020728)",,,
23303052,Viale Europa,secondary,True,False,5.7829999999999995,"LINESTRING (11.410494 45.5020728, 11.4105337 45.5020637, 11.4105651 45.502058)",roundabout,,
31970703,Via dei Trozi,tertiary,False,False,125.959,"LINESTRING (11.4103252 45.5025842, 11.4100624 45.5027609, 11.4093596 45.5032347, 11.4091665 45.5033738)",,,
31970704,Via dei Trozi,tertiary,True,False,34.628,"LINESTRING (11.4103252 45.5025842, 11.4104119 45.5025075, 11.4104242 45.5024785, 11.4104058 45.5024145, 11.4103577 45.5023014)",,,
"[585397840, 31970703]",Via dei Trozi,tertiary,False,False,132.599,"LINESTRING (11.4091665 45.5033738, 11.4087052 45.5037761, 11.4085706 45.5038887, 11.4083307 45.5040894, 11.4081755 45.5042189, 11.4080934 45.5042989)",,,
31970703,Via dei Trozi,tertiary,False,True,125.959,"LINESTRING (11.4091665 45.5033738, 11.4093596 45.5032347, 11.4100624 45.5027609, 11.4103252 45.5025842)",,,
