osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,access,tunnel
83871840,2,SP124,Via Milano,secondary,50,False,False,92.70700000000001,"LINESTRING (11.4027359 45.6613138, 11.4027726 45.6613439, 11.4034849 45.6619627)",,,
83871847,,SP124,Via Milano,secondary,,True,False,19.142,"LINESTRING (11.4027359 45.6613138, 11.4026408 45.6613022, 11.4024919 45.6612909)",,,
83871840,2,SP124,Via Milano,secondary,50,False,True,18.165,"LINESTRING (11.4042257 45.662428, 11.4040267 45.6623423)",,,
27891909,,,Via Brandellero,tertiary,,False,True,144.115,"LINESTRING (11.4042257 45.662428, 11.4042352 45.6625024, 11.4042486 45.6625356, 11.4043198 45.6626204, 11.4047905 45.6631816, 11.4051212 45.6635537)",,,
83871840,2,SP124,Via Milano,secondary,50,False,False,343.94599999999997,"LINESTRING (11.4042257 45.662428, 11.4045927 45.6625402, 11.405667 45.6627977, 11.4062546 45.6629414, 11.4068741 45.6630552, 11.4072426 45.6630631, 11.4076251 45.6630222, 11.4080212 45.6629002, 11.4083957 45.6627414)",,,
83871840,2,SP124,Via Milano,secondary,50,False,True,343.94599999999997,"LINESTRING (11.4083957 45.6627414, 11.4080212 45.6629002, 11.4076251 45.6630222, 11.4072426 45.6630631, 11.4068741 45.6630552, 11.4062546 45.6629414, 11.405667 45.6627977, 11.4045927 45.6625402, 11.4042257 45.662428)",,,
183540226,,SP124,Via Milano,secondary,50,False,False,65.493,"LINESTRING (11.4083957 45.6627414, 11.4086258 45.6625807, 11.4089363 45.6622914)",,,
183540230,,,Via Giuseppe Garibaldi,residential,,False,False,160.11700000000002,"LINESTRING (11.4083957 45.6627414, 11.4078862 45.6632634, 11.4072347 45.663931)",,,
121253279,,,Via Marano,unclassified,50,False,False,33.805,"LINESTRING (11.4088255 45.6619486, 11.4085122 45.6617377)",,,
121213124,1,,Via Marano,unclassified,50,True,False,19.535,"LINESTRING (11.4088255 45.6619486, 11.4089168 45.661989, 11.4090516 45.662023)",,,
24362120,,SP114,Via Trento,secondary,,True,False,22.994,"LINESTRING (11.4021809 45.6613795, 11.4022468 45.6612782, 11.4022534 45.6611828)",,,
83871854,2,SP114,Via Trento,secondary,50,False,False,18.090999999999998,"LINESTRING (11.4021809 45.6613795, 11.4021216 45.6614203, 11.4020544 45.6614782, 11.4020274 45.6615015)",,,
28116020,1,SP124,Rotonda N° 50 Malo,secondary,,True,False,11.966000000000001,"LINESTRING (11.4022467 45.6610613, 11.4022839 45.6610337, 11.4023133 45.6610202, 11.4023719 45.6610013)",roundabout,,
83871855,,SP124,Via Torino,secondary,,True,False,19.992,"LINESTRING (11.4022467 45.6610613, 11.4022414 45.6609728, 11.4021967 45.6608871)",,,
28116020,1,SP124,Rotonda N° 50 Malo,secondary,,True,False,6.867,"LINESTRING (11.4024919 45.6612909, 11.4024045 45.6613)",roundabout,,
24362119,,SP124,Via Milano,secondary,,True,False,23.165,"LINESTRING (11.4025709 45.6611403, 11.4026542 45.6612282, 11.4027359 45.6613138)",,,
28116020,1,SP124,Rotonda N° 50 Malo,secondary,,True,False,19.0,"LINESTRING (11.4025709 45.6611403, 11.4025744 45.6611909, 11.4025541 45.6612491, 11.4024919 45.6612909)",roundabout,,
28116020,1,SP124,Rotonda N° 50 Malo,secondary,,True,False,3.318,"LINESTRING (11.4023719 45.6610013, 11.4024146 45.6610012)",roundabout,,
28116020,1,SP124,Rotonda N° 50 Malo,secondary,,True,False,14.199,"LINESTRING (11.4022534 45.6611828, 11.4022348 45.6611517, 11.4022236 45.6611164, 11.4022302 45.6610884, 11.4022467 45.6610613)",roundabout,,
49247909,,,Via Borgo,residential,30,False,False,129.641,"LINESTRING (11.4077167 45.6559061, 11.4075831 45.6559091, 11.4074169 45.6559182, 11.4064415 45.6561717, 11.4061703 45.6562994)",,,
138954354,,,Via Muzzana,residential,,False,True,56.831,"LINESTRING (11.4077167 45.6559061, 11.4079233 45.6561136, 11.4081618 45.6563109)",,,
28681486,,,Via Guglielmo Marconi,unclassified,,False,False,39.132,"LINESTRING (11.4061703 45.6562994, 11.4061744 45.6561534, 11.4061878 45.6560291, 11.4061966 45.6559481)",,,
49247909,,,Via Borgo,residential,30,False,True,129.641,"LINESTRING (11.4061703 45.6562994, 11.4064415 45.6561717, 11.4074169 45.6559182, 11.4075831 45.6559091, 11.4077167 45.6559061)",,,
77657545,,,Via San Gaetano,residential,30,False,False,37.937,"LINESTRING (11.4061703 45.6562994, 11.4059639 45.6564064, 11.4058051 45.6565238)",,,
60140113,,,Via Barbe,residential,,True,False,94.711,"LINESTRING (11.4045963 45.6581632, 11.404525 45.6581424, 11.4038803 45.6578858, 11.4036637 45.657849, 11.4034912 45.6578227)",,,
77657545,,,Via San Gaetano,residential,30,False,False,64.186,"LINESTRING (11.4045963 45.6581632, 11.4045092 45.6585172, 11.4044835 45.6586501, 11.4044454 45.6587297)",,,
77657545,,,Via San Gaetano,residential,30,False,True,136.041,"LINESTRING (11.4045963 45.6581632, 11.4046177 45.6581226, 11.4047395 45.6578919, 11.4047467 45.6578782, 11.4048825 45.6576764, 11.4050207 45.657471, 11.4052604 45.6572218, 11.4053956 45.6570812)",,,
77657542,,,Via San Bernardino,unclassified,,False,False,26.36,"LINESTRING (11.4044454 45.6587297, 11.4043095 45.6589469)",,,
77657545,,,Via San Gaetano,residential,30,False,True,64.186,"LINESTRING (11.4044454 45.6587297, 11.4044835 45.6586501, 11.4045092 45.6585172, 11.4045963 45.6581632)",,,
121253279,,,Via Marano,unclassified,50,False,True,36.596999999999994,"LINESTRING (11.4044454 45.6587297, 11.4046376 45.6586706, 11.4048964 45.6586474)",,,
60139927,,,Via Raffaello,residential,,False,False,71.19,"LINESTRING (11.4038618 45.6595965, 11.4036152 45.6594994, 11.4034683 45.6594416, 11.4030609 45.6592858)",,,
60139974,2,,Via Bologna,unclassified,,False,False,92.77099999999999,"LINESTRING (11.4038618 45.6595965, 11.4036931 45.65962, 11.403487 45.6596471, 11.4034216 45.659682, 11.4033563 45.6597349, 11.4030548 45.6601213)",,,
77657542,,,Via San Bernardino,unclassified,,False,True,84.178,"LINESTRING (11.4038618 45.6595965, 11.403944 45.6595852, 11.4040033 45.6595533, 11.4040704 45.6594839, 11.4042887 45.6589936, 11.4043095 45.6589469)",,,
347683691,,,Via Firenze,residential,,False,True,16.551,"LINESTRING (11.4038618 45.6595965, 11.4039052 45.6597053, 11.4039013 45.6597411)",,,
242685285,,,Via Roma,residential,,False,False,50.760999999999996,"LINESTRING (11.4033715 45.6563343, 11.4037564 45.6563431, 11.4040244 45.6563447)",,,
"[60448969, 242685285]",,,"['Via Pace', 'Via Roma']",residential,,False,True,152.305,"LINESTRING (11.4033715 45.6563343, 11.403255 45.6563359, 11.403029 45.6563387, 11.4027551 45.6563422, 11.4020691 45.656351, 11.4019506 45.6563387, 11.4018281 45.6563097, 11.4014419 45.656218)",,,
30880003,,,Via Giacomo Puccini,residential,,False,False,9.036,"LINESTRING (11.4020274 45.6615015, 11.4019238 45.6614646)",,,
83871854,2,SP114,Via Trento,secondary,50,False,True,18.090999999999998,"LINESTRING (11.4020274 45.6615015, 11.4020544 45.6614782, 11.4021216 45.6614203, 11.4021809 45.6613795)",,,
77657545,,,Via San Gaetano,residential,30,False,True,27.417,"LINESTRING (11.4055782 45.6567126, 11.4058051 45.6565238)",,,
77657545,,,Via San Gaetano,residential,30,False,False,43.38999999999999,"LINESTRING (11.4055782 45.6567126, 11.4055207 45.6568151, 11.405421 45.6570314, 11.4053956 45.6570812)",,,
35956129,,,Largo Trieste,residential,,False,False,137.25,"LINESTRING (11.4110968 45.6583968, 11.4113287 45.6582687, 11.4119037 45.6579509, 11.4122088 45.6577859, 11.4125002 45.6576484)",,,
111640533,,,Via Porto,residential,,False,False,41.209,"LINESTRING (11.4110968 45.6583968, 11.411314 45.658521, 11.4115438 45.6585891)",,,
