osmid,name,highway,oneway,reversed,length,maxspeed,geometry,ref,junction,access
156831036,Piazza del Popolo,residential,False,True,46.484,,"LINESTRING (11.4481042 44.5535278, 11.4486453 44.5533663)",,,
248066404,Via San Donato,secondary,False,False,46.263,50,"LINESTRING (11.4481042 44.5535278, 11.4478516 44.5531527)",,,
248066404,Via San Donato,secondary,False,True,108.44900000000001,50,"LINESTRING (11.4481042 44.5535278, 11.4483085 44.5538563, 11.4486692 44.5544161)",,,
27092578,Via Roma,unclassified,False,False,77.666,,"LINESTRING (11.4463672 44.5508315, 11.4465037 44.5507906, 11.4466134 44.5507578, 11.447264 44.5505498)",,,
27521030,Via Roma,secondary,False,False,85.77000000000001,30,"LINESTRING (11.4463672 44.5508315, 11.4462054 44.5508795, 11.4453679 44.5511279)",SP46,,
248066404,Via San Donato,secondary,False,True,178.003,50,"LINESTRING (11.4463672 44.5508315, 11.4464398 44.5509415, 11.4467689 44.5514403, 11.4470769 44.5519128, 11.447312 44.5522838)",,,
27521030,Via Roma,secondary,False,True,131.57100000000003,30,"LINESTRING (11.4425815 44.5520862, 11.4425947 44.5520766, 11.4426908 44.5520069, 11.442769 44.551967, 11.4428585 44.5519274, 11.4430799 44.55185, 11.4435381 44.5517059, 11.4437203 44.5516486, 11.4440448 44.5515437)",SP46,,
245337791,Via Roma,secondary,True,False,20.182,30,"LINESTRING (11.4425815 44.5520862, 11.4425424 44.5521649, 11.4424969 44.5522574)",SP46,,
1125691348,Via Roma,secondary,True,False,4.876,,"LINESTRING (11.4420927 44.5521981, 11.442105 44.552178, 11.4421213 44.5521594)",SP46,roundabout,
245338504,Via del Mulino,unclassified,True,False,18.384,,"LINESTRING (11.4421213 44.5521594, 11.4421459 44.552112, 11.4421581 44.5520741, 11.4421653 44.5520376, 11.4421678 44.5519986)",,,
1125691348,Via Roma,secondary,True,False,19.714,,"LINESTRING (11.4421213 44.5521594, 11.4421651 44.552128, 11.4422201 44.5521072, 11.4422812 44.5520989, 11.442343 44.5521039)",SP46,roundabout,
27521054,Via Roma,secondary,True,False,15.257,,"LINESTRING (11.4424969 44.5522574, 11.442488 44.5522911, 11.4424686 44.5523225, 11.4424395 44.5523498, 11.4424024 44.5523717)",SP46,roundabout,
27521054,Via Roma,secondary,True,False,4.425,,"LINESTRING (11.4421796 44.5523734, 11.4421365 44.5523481)",SP46,roundabout,
245337793,Via Roma,secondary,True,False,20.012999999999998,,"LINESTRING (11.4421365 44.5523481, 11.4420797 44.5523182, 11.4420175 44.5522962, 11.4419646 44.5522846, 11.4419084 44.5522772)",SP46,,
1125691346,Via Roma,secondary,True,False,17.848,,"LINESTRING (11.4421365 44.5523481, 11.4421041 44.5523152, 11.4420853 44.5522774, 11.4420814 44.5522374, 11.4420927 44.5521981)",SP46,roundabout,
245337792,Via Roma,secondary,False,True,23.103,,"LINESTRING (11.4390679 44.5531647, 11.4393347 44.5530809)",SP46,,
245340790,Via della Piantata,residential,False,False,93.318,,"LINESTRING (11.4390679 44.5531647, 11.4391828 44.553317, 11.4396485 44.5538948)",,,
125439229,Via Rizzoli,residential,False,True,59.922,,"LINESTRING (11.4486692 44.5544161, 11.4493632 44.554202)",,,
248066404,Via San Donato,secondary,False,False,108.44900000000001,50,"LINESTRING (11.4486692 44.5544161, 11.4483085 44.5538563, 11.4481042 44.5535278)",,,
248066404,Via San Donato,secondary,False,True,49.943,50,"LINESTRING (11.4486692 44.5544161, 11.4487604 44.5545609, 11.4489272 44.5548259)",,,
129116831,Via Bandiera,residential,False,True,31.438,,"LINESTRING (11.440665 44.5557429, 11.441018 44.5556138)",,,
47984071,Via dell'Artigianato,unclassified,False,False,78.993,,"LINESTRING (11.441635 44.5496788, 11.4408606 44.5499714, 11.4407543 44.5500116)",,,
47984071,Via dell'Artigianato,unclassified,False,True,78.993,,"LINESTRING (11.4407543 44.5500116, 11.4408606 44.5499714, 11.441635 44.5496788)",,,
551009129,Via del Mulino,unclassified,False,False,248.154,30,"LINESTRING (11.4407543 44.5500116, 11.4419582 44.5516023, 11.4420692 44.5517743, 11.4421387 44.5519274, 11.4421548 44.5519651, 11.4421635 44.5519875, 11.4421678 44.5519986)",,,
47982981,Via Paolo Borsellino,unclassified,False,True,58.691,,"LINESTRING (11.4422696 44.5525009, 11.4422698 44.5525171, 11.4422714 44.5526356, 11.4422721 44.5526832, 11.4422936 44.5527417, 11.4424455 44.5529642, 11.4424652 44.5529991)",,,
245337795,Via Paolo Borsellino,unclassified,True,False,16.045,,"LINESTRING (11.4422696 44.5525009, 11.4422621 44.5524783, 11.4422487 44.5524503, 11.4422366 44.5524334, 11.4422172 44.5524105, 11.4421796 44.5523734)",,,
129116832,Via Europa,residential,False,False,31.322,,"LINESTRING (11.4446395 44.5554537, 11.4444612 44.5552023)",,,
129116832,Via Europa,residential,False,True,79.724,,"LINESTRING (11.4446395 44.5554537, 11.4448765 44.5558099, 11.4450683 44.5561023)",,,
245334387,Via Praga,residential,False,True,165.13,,"LINESTRING (11.4446395 44.5554537, 11.4448048 44.555397, 11.4465174 44.5548097)",,,
245334387,Via Praga,residential,False,False,118.32600000000001,,"LINESTRING (11.4453709 44.5548331, 11.446333 44.5545258, 11.4465174 44.5548097)",,,
125438983,Piazza Vienna,residential,False,True,82.591,,"LINESTRING (11.4465174 44.5548097, 11.4469629 44.5554812)",,,
245334387,Via Praga,residential,False,False,165.13,,"LINESTRING (11.4465174 44.5548097, 11.4448048 44.555397, 11.4446395 44.5554537)",,,
