osmid,lanes,highway,junction,oneway,reversed,length,geometry,name,maxspeed,width
"[895889668, 1142109302]",1,unclassified,roundabout,True,False,6.698,"LINESTRING (9.084252 45.5539636, 9.0842671 45.5539579, 9.0843044 45.5539489, 9.0843338 45.5539485)",,,
"[167085532, 167085542]",1,residential,,True,False,152.70399999999998,"LINESTRING (9.0799066 45.5508804, 9.0798805 45.5509606, 9.0798462 45.5510502, 9.0797817 45.5512184, 9.0797211 45.5513808, 9.0796525 45.5515852, 9.0795632 45.5515718, 9.0792288 45.5515389, 9.0790655 45.5515238, 9.0788123 45.5515002, 9.0787391 45.5514938)","['Via Papa Giovanni Ventitreesimo', 'Via Col di Lana']",,
23332521,2,residential,,False,True,24.733,"LINESTRING (9.0801832 45.5465213, 9.0798656 45.5465209)",Via Padre Eliseo Vismara,,
23332521,2,residential,,False,False,64.97099999999999,"LINESTRING (9.0801832 45.5465213, 9.0803206 45.5465165, 9.0805041 45.5465048, 9.0806694 45.5464903, 9.0808765 45.5464745, 9.0810135 45.5464657)",Via Padre Eliseo Vismara,,
998884505,,unclassified,roundabout,True,False,13.783999999999999,"LINESTRING (9.0720219 45.5456635, 9.0720517 45.5456733, 9.0720782 45.5456869, 9.0721005 45.5457038, 9.0721178 45.5457234, 9.0721293 45.5457449, 9.0721319 45.5457536)",,,
167107617,,unclassified,,True,False,21.328,"LINESTRING (9.0721319 45.5457536, 9.0723227 45.5458912)",Via degli Orti,,
998884504,,unclassified,roundabout,True,False,13.141,"LINESTRING (9.0721319 45.5457536, 9.072134 45.5457725, 9.0721297 45.5458041, 9.0721131 45.5458347, 9.0720826 45.5458621)",,,
998884502,,unclassified,roundabout,True,False,6.907,"LINESTRING (9.0720826 45.5458621, 9.0720468 45.5458805, 9.0720055 45.5458917)",,,
29200951,,residential,,True,False,17.016000000000002,"LINESTRING (9.0775334 45.5507924, 9.0775931 45.5508015, 9.0776294 45.550806, 9.0776838 45.5508223, 9.077733 45.550848)",Via Fratelli Kennedy,,
54358816,,residential,,False,False,47.800000000000004,"LINESTRING (9.0775334 45.5507924, 9.0774204 45.5507753, 9.0769337 45.5507006)",Via Fratelli Kennedy,,
1022607587,,unclassified,,True,False,72.394,"LINESTRING (9.0755568 45.5467165, 9.0757683 45.546503, 9.0758316 45.5464269, 9.0758825 45.5463325, 9.0759154 45.5462702, 9.0759465 45.5462158, 9.0759832 45.546143)",Via Giacomo Leopardi,,
1022607591,2,unclassified,,False,False,35.723,"LINESTRING (9.0755568 45.5467165, 9.0754825 45.5467566, 9.0754135 45.5467868, 9.0753151 45.5468267, 9.0751609 45.5468766)",Via Giacomo Leopardi,,
167107574,,residential,,False,False,37.677,"LINESTRING (9.0785698 45.5471999, 9.0786448 45.5471987, 9.078768 45.5471908, 9.078944 45.5471778, 9.0790516 45.5471704)",Via dei Giardini,,
167107591,,residential,,False,False,71.222,"LINESTRING (9.0785698 45.5471999, 9.0785712 45.5471541, 9.0785624 45.5470417, 9.0785362 45.5466764, 9.0785364 45.5466438, 9.0785421 45.5466082, 9.0785544 45.5465836, 9.0785746 45.5465669)",Via Giannetto Mattei,,
23332385,,living_street,,True,False,77.56400000000001,"LINESTRING (9.0785505 45.5478962, 9.0785593 45.5478137, 9.0785732 45.5476929, 9.0785801 45.5476327, 9.078585 45.5475947, 9.0785747 45.5474036, 9.0785673 45.5472429, 9.0785675 45.5472215, 9.0785698 45.5471999)",Via Giannetto Mattei,30,
980549908,,residential,,True,False,158.281,"LINESTRING (9.0785505 45.5478962, 9.0785013 45.5478988, 9.0784547 45.5478996, 9.0779468 45.5478852, 9.077898 45.5478889, 9.0778606 45.5478933, 9.0778278 45.5479089, 9.0778157 45.5479349, 9.0778116 45.5479637, 9.0777873 45.5481218, 9.0777815 45.5481431, 9.0777188 45.5481817, 9.0776292 45.5482094, 9.0774325 45.5482316, 9.0770589 45.5482749, 9.0770382 45.5482766, 9.077012 45.5482771, 9.0768871 45.5482805, 9.0768552 45.5482808)",Via Sant'Anna,,
991929192,1,unclassified,roundabout,True,False,12.366,"LINESTRING (9.0813677 45.5528273, 9.081363 45.5528642, 9.0813459 45.5528993, 9.0813173 45.5529305)",,,
1000065883,1,unclassified,,True,False,44.647999999999996,"LINESTRING (9.0813677 45.5528273, 9.081407 45.5528453, 9.0814582 45.5528635, 9.0815766 45.5528948, 9.0818882 45.5529943)",Viale Resegone,,
1000065883,1,unclassified,,True,False,192.195,"LINESTRING (9.0821355 45.5530775, 9.0827305 45.5533026, 9.0832447 45.553528, 9.0840344 45.5538864, 9.0841417 45.5539302, 9.0841969 45.5539469, 9.084252 45.5539636)",Viale Resegone,,
895889670,1,unclassified,roundabout,True,False,17.163,"LINESTRING (9.0842637 45.5541818, 9.0842273 45.5541644, 9.0841981 45.5541413, 9.0841776 45.554114, 9.0841671 45.554084, 9.0841672 45.5540531)",,,
167107586,,residential,,True,False,15.548000000000002,"LINESTRING (9.081134 45.5529863, 9.0810668 45.5530314, 9.0809997 45.5530894)",Via Beppe Viola,,
1142120768,1,unclassified,roundabout,True,False,12.228,"LINESTRING (9.081134 45.5529863, 9.0810825 45.5529797, 9.0810346 45.5529649, 9.0809932 45.5529425)",,,
1142120768,1,unclassified,roundabout,True,False,15.407999999999998,"LINESTRING (9.0809932 45.5529425, 9.0809535 45.5529056, 9.0809312 45.5528622, 9.0809283 45.552816)",,,
