osmid,highway,junction,oneway,reversed,length,name,geometry,bridge,lanes,ref,tunnel
366966472,tertiary,roundabout,True,False,10.678,,"LINESTRING (9.7598926 45.7429258, 9.7597761 45.7429769)",,,,
71251144,tertiary,,True,False,26.823,Via Antonio Locatelli,"LINESTRING (9.7594585 45.7428225, 9.759371 45.7427586, 9.7592197 45.7426481)",,,,
925947040,tertiary,roundabout,True,False,17.299,,"LINESTRING (9.7594585 45.7428225, 9.7594755 45.7427456, 9.7595388 45.7426816)",,,,
26283258,unclassified,roundabout,True,False,12.768,Via Guglielmo Marconi,"LINESTRING (9.7622462 45.7410662, 9.7622698 45.7410427, 9.7623005 45.7410236, 9.7623367 45.7410098, 9.7623763 45.7410023)",,,,
85311286,unclassified,,True,False,21.880000000000003,Via Lombardia,"LINESTRING (9.7622462 45.7410662, 9.7622249 45.7410148, 9.7621592 45.7409414, 9.7621041 45.7408997)",,,,
30171240,unclassified,,False,False,14.597,Via Guglielmo Marconi,"LINESTRING (9.7619953 45.7441014, 9.7620855 45.7442166)",,,,
"[30171240, 25886803, 181772144]",unclassified,,False,True,210.59900000000002,Via Guglielmo Marconi,"LINESTRING (9.7619953 45.7441014, 9.761941 45.7440164, 9.7618647 45.7439153, 9.7616538 45.7437037, 9.7616127 45.7436624, 9.7615761 45.7435983, 9.7615677 45.7434049, 9.7615636 45.7429636, 9.7616074 45.7426009, 9.7616422 45.742425, 9.7616771 45.742294)",yes,,,
"[71251138, 525615044, 51182602, 51182603, 51182604]","['unclassified', 'residential']",,False,False,272.35499999999996,"['Viale Rimembranze', 'Via Famiglia Riccardi']","LINESTRING (9.7619953 45.7441014, 9.7622279 45.7438251, 9.7623376 45.7436753, 9.7623647 45.7436325, 9.7623877 45.7435958, 9.7625473 45.7436477, 9.7625944 45.743663, 9.7628822 45.7437923, 9.7632311 45.7439643, 9.7633671 45.7440635, 9.7635204 45.7441754, 9.7637965 45.7444215, 9.7641854 45.7447682, 9.7643313 45.7448534)",yes,,,
200552255,residential,,False,True,182.756,Via Carso,"LINESTRING (9.7619953 45.7441014, 9.7620893 45.7441, 9.7622001 45.7440535, 9.7623988 45.7440809, 9.7626342 45.7441377, 9.7628941 45.7442147, 9.7632194 45.744338, 9.7634339 45.7444503, 9.7635654 45.7445458, 9.7636807 45.7446974, 9.7637768 45.744806, 9.7637921 45.7448506, 9.763788 45.744903)",,,,
30171240,unclassified,,False,True,14.597,Via Guglielmo Marconi,"LINESTRING (9.7620855 45.7442166, 9.7619953 45.7441014)",,,,
