osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width,tunnel,access
108311896,2,Via Solfatara,secondary,30,False,True,95.44099999999999,"LINESTRING (14.1260771 40.8251857, 14.1261929 40.8252713, 14.1262864 40.8253837, 14.126388 40.8255631, 14.1264213 40.8256111, 14.1265816 40.8258978, 14.1266036 40.8259367)",,,,
414845117,2,Via Anfiteatro,secondary,50,False,True,171.485,"LINESTRING (14.1260771 40.8251857, 14.125982 40.8251489, 14.1257845 40.8250946, 14.125597 40.8250787, 14.1253926 40.8250987, 14.1251733 40.8251566, 14.1249935 40.8252132, 14.1248589 40.8252735, 14.1247146 40.8253691, 14.1246014 40.8254684, 14.1245025 40.8255722, 14.1244037 40.8257113)",,,,
108311896,2,Via Solfatara,secondary,30,False,False,86.845,"LINESTRING (14.127242 40.8270227, 14.1271692 40.8269083, 14.1271499 40.8268706, 14.1269481 40.8265227, 14.1268396 40.8263381, 14.1268226 40.8263092)",,,,
415852400,2,Via Cesare Battisti,tertiary,,True,False,37.865,"LINESTRING (14.1211407 40.8237342, 14.1214149 40.8237021, 14.1215827 40.8237325)",,,,
108311874,2,Via Cesare Battisti,tertiary,,True,False,40.521,"LINESTRING (14.1206785 40.8238365, 14.1211407 40.8237342)",,,,
"[1003048104, 123558230]",,Lungomare Cristoforo Colombo,residential,,False,False,118.643,"LINESTRING (14.1206785 40.8238365, 14.1205111 40.8238673, 14.1204252 40.8238845, 14.1203287 40.8238993, 14.1201275 40.8239119, 14.1199228 40.8239033, 14.1196642 40.8238893, 14.119492 40.8238796, 14.1192811 40.823867)",,,,
38139110,,Via Giovanni Battista Pergolesi,residential,,True,False,95.644,"LINESTRING (14.1217849 40.8258114, 14.1217558 40.8256889, 14.1217263 40.8255189, 14.121719 40.8249547)",,,,
"[106763144, 106763132, 106763150]",,,tertiary,,True,False,157.08700000000002,"LINESTRING (14.1217849 40.8258114, 14.1217267 40.8258624, 14.1216803 40.8258852, 14.1214696 40.8258845, 14.121428 40.8258955, 14.1213972 40.8259104, 14.1213757 40.8259243, 14.121355 40.8259406, 14.1213374 40.8259572, 14.1213197 40.8259808, 14.1213123 40.8260152, 14.1213052 40.8260651, 14.1212985 40.8261159, 14.1212894 40.8261683, 14.1212756 40.8262202, 14.1212438 40.8262956, 14.1212084 40.826365, 14.1211605 40.8264302, 14.1211087 40.8264895, 14.1210337 40.8265628, 14.1209569 40.8266332, 14.1208865 40.826696, 14.1208292 40.8267518, 14.1207902 40.8267888, 14.120706 40.8268024)",yes,,,
136398363,,Via Follieri,residential,,False,True,111.53,"LINESTRING (14.1217849 40.8258114, 14.121609 40.8262255, 14.1214517 40.8264537, 14.1212687 40.8267318)",,,,
123590382,1,Via Serapide,residential,,True,False,129.42,"LINESTRING (14.120706 40.8268024, 14.1206002 40.8267562, 14.1202994 40.8265745, 14.1198737 40.8263414, 14.119586 40.8261746, 14.119528 40.8261394, 14.1194839 40.8260994)",,,,
"[38139104, 106763137, 106763134]",,Via Follieri,tertiary,,True,False,116.695,"LINESTRING (14.1212906 40.8250484, 14.1213334 40.8250851, 14.1213265 40.8253679, 14.121324 40.8256704, 14.121337 40.8257089, 14.1213703 40.825746, 14.1214118 40.8257732, 14.1214627 40.8257943, 14.1215232 40.8258047, 14.1216878 40.8258072, 14.1217849 40.8258114)",yes,,,
187050574,,Via Marino Boffa,residential,,True,False,88.099,"LINESTRING (14.1212906 40.8250484, 14.1211943 40.8250551, 14.1207446 40.8249816, 14.1203333 40.8249101, 14.1202668 40.8248985)",,,,
187050575,,Via Antonio Maria Sacchini,tertiary,,True,False,208.319,"LINESTRING (14.1212906 40.8250484, 14.1212639 40.8250838, 14.1212344 40.8259271, 14.1212232 40.8261161, 14.1212058 40.8261814, 14.1211872 40.826229, 14.1211613 40.8262871, 14.1211224 40.8263521, 14.1210651 40.8264273, 14.121016 40.8264812, 14.1208472 40.8266502, 14.1207363 40.8267551, 14.120706 40.8268024)",,,,
188724941,,Via Giovanni Battista Pergolesi,residential,,False,True,143.982,"LINESTRING (14.12185 40.8236802, 14.1217868 40.8237777, 14.1217288 40.8239466, 14.1216824 40.8241535, 14.1216817 40.8243716, 14.1216991 40.8246649, 14.121719 40.8249547)",,,,
38139247,,Corso Nicola Terracciano,tertiary,,False,False,22.375,"LINESTRING (14.1243216 40.8255249, 14.1243292 40.82561, 14.1244037 40.8257113)",,12,,
187042127,,Corso Nicola Terracciano,tertiary,,True,False,54.21300000000001,"LINESTRING (14.1243216 40.8255249, 14.1243389 40.8253606, 14.124333 40.8250379)",,,,
38139247,,Corso Nicola Terracciano,tertiary,,False,True,22.375,"LINESTRING (14.1244037 40.8257113, 14.1243292 40.82561, 14.1243216 40.8255249)",,12,,
