osmid,lanes,name,highway,maxspeed,width,oneway,reversed,length,geometry,junction
548831314,2,Via Mirabello,unclassified,30,3.9,False,True,161.31699999999998,"LINESTRING (9.3498314 45.5454325, 9.3488748 45.5453519, 9.3487861 45.5459035, 9.3487769 45.5459606, 9.3487508 45.546123)",
137724448,2,Via Don Grazioso Mariani,unclassified,50,,False,False,157.25300000000001,"LINESTRING (9.3463529 45.5456493, 9.3463514 45.5457146, 9.3462189 45.5470603)",
298160591,2,Via Clemente Alberti,unclassified,50,,False,True,93.958,"LINESTRING (9.3486149 45.5473011, 9.3474215 45.5471766)",
52179128,2,Via Mirabello,unclassified,50,,False,True,117.82300000000001,"LINESTRING (9.3486149 45.5473011, 9.3485181 45.5480686, 9.3484818 45.5483566)",
165027606,2,Via Mirabello,unclassified,50,,False,True,78.221,"LINESTRING (9.3486149 45.5473011, 9.348622 45.5472451, 9.3486544 45.5468548, 9.348688 45.5465996)",
298165385,2,Via Clemente Alberti,unclassified,50,,False,True,45.703,"LINESTRING (9.3486149 45.5473011, 9.3490437 45.54733, 9.3491989 45.5473418)",
59535595,2,Via Giuseppe Verdi,unclassified,50,,False,False,59.215,"LINESTRING (9.344859 45.549328, 9.3449015 45.5487963)",
"[1113309618, 28110626]",1,Via Cesare Battisti,unclassified,30,,True,False,22.446,"LINESTRING (9.344859 45.549328, 9.3450974 45.5493662, 9.34514 45.549373)",
28110626,1,Via Cesare Battisti,unclassified,30,,True,False,91.809,"LINESTRING (9.3436944 45.5492131, 9.3437489 45.5492154, 9.3438337 45.5492188, 9.343959 45.549223, 9.3440214 45.5492255, 9.3440871 45.5492288, 9.3441567 45.5492327, 9.3442236 45.5492376, 9.3442749 45.5492424, 9.3443235 45.5492481, 9.3443682 45.549254, 9.3444593 45.5492671, 9.344859 45.549328)",
59535599,,Via Giuseppe Mazzini,unclassified,,,False,False,152.961,"LINESTRING (9.3436944 45.5492131, 9.3437124 45.5494913, 9.3437008 45.5505884)",
105177733,,Via Moncenisio,residential,,,True,False,141.685,"LINESTRING (9.34514 45.549373, 9.3451794 45.5506469)",
1113309618,1,Via Cesare Battisti,unclassified,30,,True,False,164.361,"LINESTRING (9.34514 45.549373, 9.345691 45.549462, 9.3459476 45.5495005, 9.3460263 45.5495114, 9.3460864 45.5495184, 9.3461357 45.5495242, 9.3461878 45.5495291, 9.3462431 45.5495334, 9.3463005 45.5495369, 9.3463512 45.5495395, 9.346404 45.5495413, 9.346489 45.549544, 9.3469915 45.5495603, 9.3470759 45.5495627, 9.3472254 45.549566)",
137724447,,Via Bertarini,unclassified,,,True,False,70.543,"LINESTRING (9.3392 45.5489424, 9.3392051 45.548308)",
28110626,1,Via Cesare Battisti,unclassified,30,,True,False,113.416,"LINESTRING (9.3392 45.5489424, 9.3395048 45.5489531, 9.3399044 45.5489663, 9.3399526 45.5489682, 9.3400034 45.5489708, 9.3400556 45.5489734, 9.3400976 45.5489767, 9.3401669 45.5489819, 9.3402168 45.5489863, 9.3405321 45.5490162, 9.3405647 45.549019, 9.3406507 45.5490252)",
136175194,1,Via Fabio Filzi,unclassified,20,,True,False,141.853,"LINESTRING (9.3472254 45.549566, 9.347335 45.5482926)",
1113309618,1,Via Cesare Battisti,unclassified,30,,True,False,87.11399999999999,"LINESTRING (9.3472254 45.549566, 9.3473629 45.5495674, 9.3474658 45.5495678, 9.3477076 45.5495677, 9.3478746 45.5495667, 9.3480198 45.5495655, 9.348169 45.5495634, 9.3482131 45.5495625, 9.3482897 45.5495605, 9.3483439 45.5495582)",
129464773,,Via Piersanti Mattarella,residential,,,False,False,102.164,"LINESTRING (9.3489321 45.5495269, 9.3489339 45.5495069, 9.3490138 45.5486099)",
1113309618,1,Via Cesare Battisti,unclassified,30,,True,False,41.102000000000004,"LINESTRING (9.3489321 45.5495269, 9.3490159 45.5495233, 9.3490969 45.5495206, 9.3494594 45.5495108)",
52179128,2,Via Mirabello,unclassified,50,,False,False,134.043,"LINESTRING (9.3483439 45.5495582, 9.348346 45.5495377, 9.3484818 45.5483566)",
1113309618,1,Via Cesare Battisti,unclassified,30,,True,False,45.93600000000001,"LINESTRING (9.3483439 45.5495582, 9.3484074 45.5495559, 9.3484735 45.5495526, 9.3485381 45.549549, 9.3487377 45.5495369, 9.3488362 45.5495314, 9.3489321 45.5495269)",
28110626,1,Via Cesare Battisti,unclassified,30,,True,False,126.053,"LINESTRING (9.3406507 45.5490252, 9.3407299 45.5490296, 9.3407674 45.5490311, 9.340893 45.5490354, 9.3409211 45.5490367, 9.3409496 45.5490386, 9.3409771 45.5490413, 9.341005 45.5490446, 9.3410337 45.5490478, 9.3410629 45.5490508, 9.3410867 45.5490529, 9.341111 45.5490547, 9.3422634 45.54912)",
