osmid,oneway,name,highway,reversed,length,ref,geometry,lanes,width
92712942,True,Via Giacomo Matteotti,residential,False,142.407,,"LINESTRING (14.5422567 40.8026825, 14.5437424 40.8020698)",,
134161868,True,,tertiary,False,73.33,SP64,"LINESTRING (14.5422567 40.8026825, 14.5419791 40.8020574)",,
92713077,True,Via Roma,secondary,False,109.51,SP64,"LINESTRING (14.5419791 40.8020574, 14.5416474 40.8011051)",,
134161869,False,Via Dante Alighieri,secondary,False,136.23,,"LINESTRING (14.5419791 40.8020574, 14.5434415 40.8015325)",,
163566527,True,Via Saporito,tertiary,False,24.807,,"LINESTRING (14.5425794 40.8035732, 14.542461 40.8033689)",,
132513823,False,Via Giovanni Iervolino,tertiary,True,134.965,SP64,"LINESTRING (14.5425794 40.8035732, 14.5427404 40.8039955, 14.5430239 40.8047394)",,
92713111,True,Via 24 Maggio,secondary,False,79.465,SP84,"LINESTRING (14.5440574 40.7988647, 14.5441967 40.79902, 14.5443065 40.7991348, 14.5445988 40.7994501)",,
134161862,False,Via 4 Novembre,residential,False,160.43099999999998,,"LINESTRING (14.5440574 40.7988647, 14.5434377 40.7990982, 14.5426438 40.7994068, 14.5423478 40.7995013)",,
226577244,True,Via Roma,secondary,False,35.104,SP64,"LINESTRING (14.5412073 40.7999472, 14.5410727 40.7996484)",,
134161862,False,Via 4 Novembre,residential,True,108.076,,"LINESTRING (14.5412073 40.7999472, 14.5421288 40.7995774, 14.5423478 40.7995013)",,
92713163,False,Via Vittorio Emanuele Terzo,residential,True,39.535,,"LINESTRING (14.535316 40.800755, 14.5357341 40.800593)",,
133425848,False,Via Passanti Flocco,tertiary,True,239.912,SP33,"LINESTRING (14.535316 40.800755, 14.5351106 40.8003845, 14.5346506 40.7996272, 14.5341471 40.7987874)",,
134161871,True,,tertiary,False,143.174,,"LINESTRING (14.535316 40.800755, 14.535181 40.8008485, 14.5351538 40.8008667, 14.5350918 40.8009073, 14.5338539 40.8014018)",,
92713163,False,Via Vittorio Emanuele Terzo,residential,False,93.63300000000001,,"LINESTRING (14.5366749 40.8001441, 14.5363138 40.8003083, 14.5357559 40.8005845, 14.5357341 40.800593)",,
134160673,False,Via Tenente Losco,residential,False,103.912,SP315,"LINESTRING (14.5366749 40.8001441, 14.5369428 40.8006769, 14.5371201 40.8010157)",,
226577241,False,Via Tenente Losco,residential,True,11.526,SP315,"LINESTRING (14.5375679 40.8018403, 14.5375099 40.8017464)",,
134161864,False,Via Mascagni,residential,True,144.405,,"LINESTRING (14.5375679 40.8018403, 14.5382767 40.8015836, 14.5384103 40.8015426, 14.5386763 40.8015028, 14.5387014 40.8015068, 14.5387102 40.8015211, 14.5388645 40.8018556)",,
226577241,False,Via Tenente Losco,residential,False,119.783,SP315,"LINESTRING (14.5375679 40.8018403, 14.5376937 40.8019432, 14.5378228 40.8020041, 14.5379794 40.8020356, 14.5381245 40.8020385, 14.538364 40.801984, 14.5388645 40.8018556)",,
226577235,False,Via Gioacchino Rossini,residential,False,84.19399999999999,,"LINESTRING (14.5375679 40.8018403, 14.5377684 40.8021854, 14.5378517 40.8022576, 14.5380133 40.8023303, 14.5380822 40.8023267, 14.5381927 40.8022942)",,
226577241,False,Via Tenente Losco,residential,False,53.582,SP315,"LINESTRING (14.5388645 40.8018556, 14.5394624 40.8016902)",,
