osmid,oneway,highway,reversed,length,lanes,ref,name,bridge,maxspeed,geometry,junction
30031355,False,secondary,True,50.135,,,,,,"LINESTRING (14.281439 40.8950356, 14.2818002 40.8953944)",
"[168103495, 310704204, 168103494, 30031351]",True,trunk,False,633.8960000000001,2,SP1,"['SP1 Circumvallazione Esterna di Napoli', 'Circumvallazione Esterna di Napoli']",yes,40,"LINESTRING (14.2805099 40.8968752, 14.2801876 40.8970422, 14.2798592 40.8971573, 14.2795733 40.8972262, 14.2792332 40.8972738, 14.2789616 40.8973098, 14.2786777 40.8973167, 14.2780771 40.8973021, 14.2769956 40.8972957, 14.2756652 40.8973021, 14.274984 40.897308, 14.2745847 40.897307, 14.273095 40.8973265)",
106901297,True,trunk_link,False,188.964,,,,,,"LINESTRING (14.2805099 40.8968752, 14.2803238 40.8970202, 14.2800744 40.8971574, 14.2799209 40.8972207, 14.2796915 40.8972841, 14.2794122 40.8973323, 14.2790352 40.8973745, 14.2784501 40.8973958)",
64003209,False,residential,False,20.66,,,Via Vincenzo Gemito,,,"LINESTRING (14.273095 40.8973265, 14.2730671 40.8975111)",
310704206,True,trunk,False,91.068,2,,,,40,"LINESTRING (14.273095 40.8973265, 14.2726478 40.8973317, 14.2724095 40.8973482, 14.272201 40.8973824, 14.272023 40.8974164)",
30031310,False,residential,False,54.65,,,Corso Italia,,,"LINESTRING (14.2727731 40.8991344, 14.2724057 40.8987289)",
30031310,False,residential,True,46.285,,,Corso Italia,,,"LINESTRING (14.2727731 40.8991344, 14.273082 40.899479)",
84037141,False,residential,False,102.251,,,Via Domenico Morelli,,,"LINESTRING (14.2727731 40.8991344, 14.2730456 40.8982382)",
47375889,False,tertiary,False,75.293,2,SP78,Corso Europa,,,"LINESTRING (14.2760139 40.9017824, 14.2752229 40.9014645)",
47375889,False,tertiary,True,93.564,2,SP78,Corso Europa,,,"LINESTRING (14.2760139 40.9017824, 14.2770469 40.9020961)",
30031378,False,trunk_link,False,15.969,,,,,,"LINESTRING (14.282234 40.8964244, 14.2821357 40.896467, 14.2820656 40.8964905)",
253394050,True,trunk_link,False,48.542,,,,,,"LINESTRING (14.282234 40.8964244, 14.2823149 40.8963255, 14.2823718 40.8962253, 14.2823965 40.8960149)",
313711724,True,trunk,False,39.142,2,SP1,SP1 Circumvallazione Esterna di Napoli,,,"LINESTRING (14.2808897 40.8966715, 14.2805099 40.8968752)",
35731784,False,tertiary,False,29.223,,SP38,Viale Guglielmo Marconi,,,"LINESTRING (14.277866 40.8965159, 14.2778231 40.8967767)",
35731784,False,tertiary,True,19.52,,SP38,Viale Guglielmo Marconi,,,"LINESTRING (14.277866 40.8965159, 14.2778925 40.8963415)",
35731847,False,residential,False,46.604,,,Viale delle Industrie,,,"LINESTRING (14.277866 40.8965159, 14.2775468 40.8961732)",
35731787,True,trunk_link,False,214.28,,,,,,"LINESTRING (14.2750164 40.8972016, 14.2755389 40.8971506, 14.277048 40.8971553, 14.2772482 40.8971404, 14.2773971 40.8971146, 14.2775416 40.8970635)",
"[168103496, 310704205, 168103493]",True,trunk,False,472.10400000000004,2,SP1,SP1 Circumvallazione Esterna di Napoli,yes,,"LINESTRING (14.2750164 40.8972016, 14.2756562 40.8972062, 14.2769925 40.8972132, 14.2780797 40.8972189, 14.2786557 40.8972202, 14.2789475 40.8972099, 14.2792103 40.8971764, 14.2795194 40.8971312, 14.2798126 40.8970603, 14.2801418 40.8969473, 14.2805 40.8967612)",
313711269,True,trunk,False,24.721,2,SP1,SP1 Circumvallazione Esterna di Napoli,,,"LINESTRING (14.2805 40.8967612, 14.2807414 40.8966342)",
35731784,False,tertiary,True,29.223,,SP38,Viale Guglielmo Marconi,,,"LINESTRING (14.2778231 40.8967767, 14.277866 40.8965159)",
35731788,True,tertiary,False,37.317,,SP38,Viale Guglielmo Marconi,,,"LINESTRING (14.2778231 40.8967767, 14.2778829 40.8969049, 14.2780036 40.8970825)",
162073474,True,trunk_link,False,217.931,,,,,,"LINESTRING (14.2780036 40.8970825, 14.2781705 40.897128, 14.2783286 40.8971418, 14.2787156 40.8971478, 14.2792043 40.8971056, 14.279667 40.8970211, 14.2801896 40.8968523, 14.2805 40.8967612)",
511820021,True,tertiary,False,58.127,,,,,,"LINESTRING (14.2780036 40.8970825, 14.2780835 40.8971678, 14.2781141 40.8972698, 14.2780908 40.8973729, 14.2780171 40.8974613, 14.2779042 40.8975217)",roundabout
35731847,False,residential,True,139.901,,,Viale delle Industrie,,,"LINESTRING (14.2765011 40.8952232, 14.2766031 40.8952527, 14.2766637 40.8952655, 14.2768186 40.8953919, 14.2775468 40.8961732)",
64089674,False,residential,False,88.199,,,Via Giustino Fortunato,,,"LINESTRING (14.2807887 40.8996471, 14.2801748 40.9002904)",
64089674,False,residential,True,43.537,,,Via Giustino Fortunato,,,"LINESTRING (14.2807887 40.8996471, 14.2810618 40.8993144)",
47375881,True,residential,False,61.024,,,Via John Kennedy,,,"LINESTRING (14.2812189 40.9023423, 14.281876 40.9025758)",
235834549,True,residential,False,54.027,,,Via Achille Del Giudice,,,"LINESTRING (14.2812189 40.9023423, 14.2809437 40.9027814)",
47375892,True,residential,False,66.009,,,Via Giosuè Carducci,,,"LINESTRING (14.2823058 40.9019858, 14.2816092 40.9017116)",
47398572,True,residential,False,36.518,,,Via Don Luigi Sturzo,,,"LINESTRING (14.2823058 40.9019858, 14.2825348 40.9017067)",
136355543,True,residential,False,74.892,,,Via Salvatore Di Giacomo,,,"LINESTRING (14.2823058 40.9019858, 14.281876 40.9025758)",
47375889,False,tertiary,False,71.624,2,SP78,Corso Europa,,,"LINESTRING (14.2715146 40.8999843, 14.2707593 40.899686)",
47375889,False,tertiary,True,206.704,2,SP78,Corso Europa,,,"LINESTRING (14.2715146 40.8999843, 14.273672 40.9008768)",
47375889,False,tertiary,True,71.624,2,SP78,Corso Europa,,,"LINESTRING (14.2707593 40.899686, 14.2715146 40.8999843)",
64003062,True,residential,False,200.785,,,Via Enrico De Nicola,,,"LINESTRING (14.2707593 40.899686, 14.2718281 40.8980711)",
30031310,False,residential,False,34.067,,,Corso Italia,,,"LINESTRING (14.2718281 40.8980711, 14.2715816 40.8978279)",
30031310,False,residential,True,60.755,,,Corso Italia,,,"LINESTRING (14.2718281 40.8980711, 14.2722253 40.8985276)",
30031310,False,residential,False,27.036,,,Corso Italia,,,"LINESTRING (14.2724057 40.8987289, 14.2722253 40.8985276)",
30031310,False,residential,True,54.65,,,Corso Italia,,,"LINESTRING (14.2724057 40.8987289, 14.2727731 40.8991344)",
64003063,True,residential,False,158.417,,,Via Elena,,,"LINESTRING (14.2724057 40.8987289, 14.2715146 40.8999843)",
47375889,False,tertiary,False,206.704,2,SP78,Corso Europa,,,"LINESTRING (14.273672 40.9008768, 14.2715146 40.8999843)",
47375889,False,tertiary,True,21.496,2,SP78,Corso Europa,,,"LINESTRING (14.273672 40.9008768, 14.2738985 40.9009666)",
64003208,True,residential,False,68.337,,,Via Cassano,,,"LINESTRING (14.273672 40.9008768, 14.2738791 40.9002825)",
64003209,False,residential,False,71.681,,,Via Vincenzo Gemito,,,"LINESTRING (14.2730671 40.8975111, 14.2726396 40.8980689)",
64003209,False,residential,True,20.66,,,Via Vincenzo Gemito,,,"LINESTRING (14.2730671 40.8975111, 14.273095 40.8973265)",
64003210,False,residential,True,79.97,,,Via Filippo Palizzi,,,"LINESTRING (14.2730671 40.8975111, 14.2733673 40.8976597, 14.2739423 40.8977681)",
30031310,False,residential,False,60.755,,,Corso Italia,,,"LINESTRING (14.2722253 40.8985276, 14.2718281 40.8980711)",
30031310,False,residential,True,27.036,,,Corso Italia,,,"LINESTRING (14.2722253 40.8985276, 14.2724057 40.8987289)",
136353706,True,residential,False,61.758,,,Via Vincenzo Gemito,,,"LINESTRING (14.2722253 40.8985276, 14.2726396 40.8980689)",
