osmid,lanes,name,highway,oneway,reversed,length,bridge,geometry,junction
404918043,4,Via Giuseppe Verdi,primary,False,True,55.134,,"LINESTRING (8.7813654 45.6292136, 8.7809468 45.6288134)",
"[32887777, 239890131, 239890134]",2,Viale delle Rimembranze,tertiary,False,False,78.52800000000002,yes,"LINESTRING (8.7813654 45.6292136, 8.7812135 45.6292373, 8.7805753 45.629358, 8.7804198 45.6293798, 8.7803862 45.6293854)",
32887867,,Via Palestro,unclassified,True,False,184.602,,"LINESTRING (8.7813654 45.6292136, 8.7815023 45.6291793, 8.7815624 45.6291553, 8.7815881 45.6291073, 8.7815741 45.6286916, 8.7814342 45.6281646, 8.7813563 45.6279086, 8.7812897 45.6276678)",
"[26599216, 404918043]","['2', '4']",Via Giuseppe Verdi,primary,False,False,100.018,,"LINESTRING (8.7813654 45.6292136, 8.7814308 45.6292935, 8.7817872 45.6297057, 8.781963 45.6298806, 8.7820792 45.6299576)",
247835477,2,Via Giuseppe Verdi,tertiary,False,True,39.227,,"LINESTRING (8.77836 45.6269426, 8.7787114 45.6271957)",
"[247835492, 247835497, 43589228]",,Via San Protaso,residential,False,False,127.585,yes,"LINESTRING (8.77836 45.6269426, 8.7784411 45.6269321, 8.7797254 45.6267482, 8.7799108 45.6267289, 8.7799701 45.6267233)",
247835477,2,Via Giuseppe Verdi,tertiary,False,False,39.227,,"LINESTRING (8.7787114 45.6271957, 8.77836 45.6269426)",
"[43589233, 247835476, 247835477]",2,Via Giuseppe Verdi,tertiary,False,True,250.20399999999998,yes,"LINESTRING (8.7787114 45.6271957, 8.7796776 45.6278735, 8.7798886 45.6280222, 8.7799837 45.6280874, 8.7803127 45.628323, 8.7809468 45.6288134)",
32887745,,,tertiary,True,False,20.514,,"LINESTRING (8.77928 45.6295767, 8.7791954 45.62956, 8.7791312 45.6295179, 8.7791017 45.62946)",roundabout
136488602,2,Via della Prava,unclassified,False,True,101.83500000000001,,"LINESTRING (8.77928 45.6295767, 8.779297 45.6296434, 8.7792924 45.629729, 8.779281 45.6300565, 8.7792881 45.6301024, 8.7793303 45.630374, 8.7793371 45.630418, 8.7793604 45.6304873)",
