osmid,name,highway,oneway,reversed,length,geometry,lanes,tunnel,maxspeed,width,bridge
325928811,Salita Calvario,residential,False,True,101.389,"LINESTRING (14.3671567 37.38165, 14.3672571 37.3816216, 14.3673586 37.3815947, 14.3673936 37.3815941, 14.3674247 37.3816056, 14.367448 37.3816228, 14.367465 37.3816482, 14.3674703 37.3817399, 14.3674972 37.3818187, 14.3675562 37.3819743, 14.3676488 37.3821459, 14.3676725 37.3821898, 14.3676506 37.3822499)",,,,,
27851504,Via Giacomo Matteotti,secondary,True,False,71.18,"LINESTRING (14.3687333 37.3829328, 14.3685769 37.3831631, 14.3684999 37.3832225, 14.3683868 37.3832234, 14.3682205 37.3831937, 14.3681401 37.3831708)",,,,,
153840908,Via Salvatore Principato,secondary,False,True,83.50900000000001,"LINESTRING (14.3687333 37.3829328, 14.3690258 37.3830101, 14.3693341 37.3830527, 14.3693924 37.3830553, 14.3694449 37.3830489, 14.3696481 37.3829996)",,,,,
294052263,Via Parlascino,residential,False,True,7.69,"LINESTRING (14.3672491 37.3825405, 14.3671873 37.3825892)",,,,,
27851504,Via Giacomo Matteotti,secondary,True,False,110.58600000000001,"LINESTRING (14.3672491 37.3825405, 14.3670631 37.3824236, 14.3670143 37.3823887, 14.3666198 37.3821293, 14.3665475 37.382094, 14.3664681 37.3820833, 14.3662411 37.3820833, 14.3661981 37.3820747)",,,,,
27851504,Via Giacomo Matteotti,secondary,True,False,18.250999999999998,"LINESTRING (14.3661981 37.3820747, 14.3661492 37.382051, 14.3661158 37.3820183, 14.3660836 37.3819462)",,,,,
294052263,Via Parlascino,residential,False,False,57.43,"LINESTRING (14.3661981 37.3820747, 14.3662001 37.3821355, 14.3663153 37.3822431, 14.3665616 37.3823815, 14.3665782 37.3823913, 14.3666369 37.3824262)",,,,,
1135885909,Via Don Lorenzo Milani,residential,False,True,72.49900000000001,"LINESTRING (14.3718776 37.3890902, 14.3725041 37.3890064, 14.3726063 37.3889986, 14.3726884 37.3890059)",,,,,
1175965254,Viale Generale Ciancio,secondary,True,False,48.604,"LINESTRING (14.3718776 37.3890902, 14.3719206 37.3893054, 14.3719571 37.3894881, 14.3719638 37.3895219)",,,,,
133981092,Via Carmine,residential,False,False,32.819,"LINESTRING (14.3706628 37.3856661, 14.3707801 37.3855688, 14.3707564 37.3854095)",,,,,
153841674,Via Monsignor Sturzo,secondary,False,True,74.512,"LINESTRING (14.3706628 37.3856661, 14.3705906 37.3855651, 14.370542 37.385462, 14.3704486 37.3850244)",2,,,,
1136500506,Piazza Generale Cascino,secondary,True,False,66.66300000000001,"LINESTRING (14.3706628 37.3856661, 14.3708395 37.3857794, 14.3709178 37.3858533, 14.3709255 37.3858673, 14.3710815 37.3861484)",,,,,
