osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,junction,access,bridge
47375784,2,SP239,Via Domenico Collina,primary,50,False,False,91.78699999999999,"LINESTRING (13.793097 43.1802138, 13.7927907 43.1801776, 13.7920445 43.1800589, 13.7919891 43.1800465)",,,,
48782004,2,SS16,Corso Giuseppe Garibaldi,primary,50,False,False,179.863,"LINESTRING (13.793097 43.1802138, 13.7931046 43.1801966, 13.7933161 43.1797158, 13.7934553 43.1793993, 13.793757 43.1787808, 13.7938395 43.1786939)",,,,
48784279,2,,Viale Don Giovanni Minzoni,tertiary,,False,True,25.809,"LINESTRING (13.793097 43.1802138, 13.7933874 43.1802822, 13.7933999 43.1802851)",,,,
262543732,2,SS16,Corso Giuseppe Garibaldi,primary,50,False,True,57.181999999999995,"LINESTRING (13.793097 43.1802138, 13.793088 43.1802364, 13.7929532 43.1805727, 13.7929408 43.1806036, 13.7929315 43.1806267, 13.7929078 43.1806859, 13.7928992 43.1807074)",,,,
922971548,,,Piazza della Marina,tertiary,,True,False,13.293,"LINESTRING (13.7965171 43.1800907, 13.7964594 43.1802026)",,,,
"[47375792, 922971551]",,,Piazza della Marina,tertiary,,True,False,29.973,"LINESTRING (13.7965171 43.1800907, 13.7965528 43.1800994, 13.796774 43.1801529, 13.7968168 43.1801633, 13.7967941 43.1801989)",,,,
244663086,,,Viale Felice Cavallotti,tertiary,,True,False,54.135,"LINESTRING (13.7963333 43.1810682, 13.796102 43.1815249)",,,,
47375789,,,Viale Don Giovanni Minzoni,tertiary,,True,False,24.652,"LINESTRING (13.7963333 43.1810682, 13.7962861 43.1810564, 13.7960547 43.1809983, 13.7960458 43.1809961)",,,,
161602200,,,Via Candido Augusto Vecchi,residential,,False,False,29.043,"LINESTRING (13.7980714 43.1820776, 13.7980002 43.1820573, 13.7977378 43.1819825)",,,,
315594583,,,Lungomare Antonio Gramsci,tertiary,30,True,False,67.3,"LINESTRING (13.7980714 43.1820776, 13.7979389 43.1823518, 13.797795 43.1826483)",,,,
161602196,,,Via Battisti,residential,,False,False,28.378999999999998,"LINESTRING (13.797795 43.1826483, 13.7977033 43.1826274, 13.7974626 43.1825684)",,,,
315594583,,,Lungomare Antonio Gramsci,tertiary,30,True,False,83.03500000000001,"LINESTRING (13.797795 43.1826483, 13.797767 43.1827044, 13.7974443 43.1833499)",,,,
