osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,junction,tunnel
715775706,True,2,Corso Francia,secondary,50,False,65.376,"LINESTRING (7.5238496 45.0705529, 7.5230186 45.0705176)",,,
40424951,True,1,Piazza Principe Eugenio,tertiary,50,False,13.365,"LINESTRING (7.5216851 45.069377, 7.5215152 45.06937)",,,
111760262,True,1,Via Primo Maggio,tertiary,50,False,56.784,"LINESTRING (7.5216851 45.069377, 7.5224078 45.0693935)",,,
537919912,False,2,Corso Venticinque Aprile,tertiary,30,True,39.202999999999996,"LINESTRING (7.5202211 45.0654817, 7.5202498 45.0655731, 7.5202589 45.0656659, 7.5202441 45.0657051, 7.5201983 45.0658262)",,,
36073718,True,1,Piazza Principe Eugenio,tertiary,50,False,82.054,"LINESTRING (7.5208706 45.0689205, 7.5209649 45.0689465, 7.521493 45.0692568, 7.5216851 45.069377)",,,
111760264,False,2,Corso Venticinque Aprile,tertiary,50,False,29.889000000000003,"LINESTRING (7.5208706 45.0689205, 7.5208569 45.0688644, 7.520806 45.0686556)",,,
"[594962201, 111760308, 850377222]",True,"['1', '2']",Viale Colli,tertiary,50,False,113.78699999999999,"LINESTRING (7.5239151 45.0694296, 7.5239107 45.0694996, 7.5238741 45.0700753, 7.523862 45.070266, 7.5238577 45.070344, 7.5238508 45.0704519)",,,
252625210,True,2,Corso Francia,secondary,50,False,15.105,"LINESTRING (7.5230186 45.0705176, 7.5228266 45.0705095)",,,
28396368,True,1,Via Trento,residential,50,False,91.501,"LINESTRING (7.5240422 45.0730068, 7.5240676 45.0729734, 7.5240746 45.0729388, 7.5240658 45.0728951, 7.5237647 45.072222)",,,
672765246,False,,Via Giuseppe Mazzini,residential,,False,11.278,"LINESTRING (7.5165496 45.0661369, 7.516576 45.0660372)",,,
"[257353116, 145463981]",False,,Via Luigi Colla,residential,,False,224.905,"LINESTRING (7.5165496 45.0661369, 7.5165972 45.0661286, 7.5168264 45.0661262, 7.5171167 45.0661142, 7.5171467 45.0661128, 7.5174767 45.0660879, 7.5178197 45.0660699, 7.5180931 45.0660555, 7.5184123 45.0660399, 7.518588 45.0660267, 7.51874 45.0660099, 7.5189641 45.0659895, 7.5192663 45.0659439, 7.5193932 45.065927)",,,
