osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,width,access
28531130,2,SR307,Via Antoniana,secondary,False,False,19.996,"LINESTRING (11.9066217 45.5015692, 11.9066686 45.501746)",,,,
28531130,2,SR307,Via Antoniana,secondary,False,True,156.293,"LINESTRING (11.9066217 45.5015692, 11.9066105 45.5015278, 11.9065964 45.5014278, 11.9065901 45.5013076, 11.9065963 45.5011681, 11.9066051 45.501048, 11.9066108 45.5009137, 11.9066197 45.5005986, 11.9066351 45.5003248, 11.9066341 45.5001655)",,,,
497942260,1,SP11,Via Caltana,secondary,True,False,17.531999999999996,"LINESTRING (11.9066217 45.5015692, 11.9067014 45.5016117, 11.906766 45.5016294, 11.906821 45.5016343)",,,,
28531130,2,SR307,Via Antoniana,secondary,False,True,116.981,"LINESTRING (11.9069261 45.5027823, 11.9068032 45.5022926, 11.9067007 45.5019087, 11.9066686 45.501746)",,,,
28603883,2,,Via Antoniana,secondary,False,False,61.889,"LINESTRING (11.9069261 45.5027823, 11.9069363 45.5028248, 11.9070329 45.5030151, 11.9070722 45.5030884, 11.9071187 45.5031556, 11.9071586 45.50321, 11.9072041 45.5032664, 11.9072268 45.5032948)",,,,
"[28531135, 497994527]",,,Via Roma,residential,False,False,145.677,"LINESTRING (11.9069261 45.5027823, 11.9070009 45.5027731, 11.9071554 45.5027512, 11.9073386 45.5027248, 11.9076187 45.5026883, 11.9079772 45.5026414, 11.9086742 45.5025439, 11.9087609 45.5025322)",,,,
28639902,,,Via Alessandro Manzoni,residential,False,False,72.302,"LINESTRING (11.9108172 45.5022252, 11.9105821 45.5015962)",,,,
28531135,,,Via Roma,residential,False,True,92.999,"LINESTRING (11.9108172 45.5022252, 11.910665 45.5022518, 11.9097535 45.5023823, 11.90965 45.5023987)",,,,
28639902,,,Via Alessandro Manzoni,residential,False,True,40.33,"LINESTRING (11.9108172 45.5022252, 11.9108481 45.5023109, 11.9109518 45.5025754)",,,,
28531130,2,SR307,Via Antoniana,secondary,False,False,156.293,"LINESTRING (11.9066341 45.5001655, 11.9066351 45.5003248, 11.9066197 45.5005986, 11.9066108 45.5009137, 11.9066051 45.501048, 11.9065963 45.5011681, 11.9065901 45.5013076, 11.9065964 45.5014278, 11.9066105 45.5015278, 11.9066217 45.5015692)",,,,
212403985,,,,unclassified,False,True,110.758,"LINESTRING (11.9066341 45.5001655, 11.9067364 45.5001633, 11.9068163 45.5001632, 11.9068267 45.5002518, 11.9068438 45.5002582, 11.9068675 45.5002582, 11.9070991 45.5002191, 11.9072666 45.5006766, 11.9072823 45.5007195, 11.9073086 45.5007825)",,,,
28603883,2,,Via Antoniana,secondary,False,False,361.82399999999996,"LINESTRING (11.9072268 45.5032948, 11.9073755 45.5034852, 11.9075347 45.5036547, 11.9076911 45.5039172, 11.907823 45.5041667, 11.9080677 45.504803, 11.9083188 45.5055053, 11.9086294 45.506379)",,,,
28603883,2,,Via Antoniana,secondary,False,True,61.889,"LINESTRING (11.9072268 45.5032948, 11.9072041 45.5032664, 11.9071586 45.50321, 11.9071187 45.5031556, 11.9070722 45.5030884, 11.9070329 45.5030151, 11.9069363 45.5028248, 11.9069261 45.5027823)",,,,
28603968,,,Via Verdi,residential,False,False,85.848,"LINESTRING (11.9072268 45.5032948, 11.9073542 45.5032253, 11.9074007 45.503211, 11.9074506 45.5032018, 11.9078685 45.5031211, 11.907995 45.503099, 11.9080663 45.5030854, 11.90826 45.5030505)",,,,
"[28738394, 31193181, 41510774]",2,SP70,Via De Toni,secondary,False,False,37.983000000000004,"LINESTRING (11.9072268 45.5032948, 11.9071209 45.5033359, 11.906832 45.5034304, 11.9067882 45.5034433)",yes,50,,
28531135,,,Via Roma,residential,False,False,70.864,"LINESTRING (11.9087609 45.5025322, 11.9095625 45.502411, 11.90965 45.5023987)",,,,
"[497994527, 28531135]",,,Via Roma,residential,False,True,145.67700000000002,"LINESTRING (11.9087609 45.5025322, 11.9086742 45.5025439, 11.9079772 45.5026414, 11.9076187 45.5026883, 11.9073386 45.5027248, 11.9071554 45.5027512, 11.9070009 45.5027731, 11.9069261 45.5027823)",,,,
28639898,,,Via Giovanni XXIII,residential,True,False,111.004,"LINESTRING (11.9084511 45.5015596, 11.9084534 45.5015948, 11.9084569 45.5016575, 11.9084872 45.50174, 11.9086002 45.5020732, 11.9087278 45.5024342, 11.9087459 45.5024868, 11.9087609 45.5025322)",,30,,
31193293,2,SP11,Via Caltana,secondary,False,False,59.928,"LINESTRING (11.9084511 45.5015596, 11.9081662 45.5015614, 11.9077644 45.5015666, 11.907704 45.5015672, 11.9076888 45.5015563)",,,,
31193293,2,SP11,Via Caltana,secondary,False,True,28.905,"LINESTRING (11.9084511 45.5015596, 11.9086295 45.5015492, 11.9088194 45.50153)",,,,
28639903,,,Via Fitzgerald Kennedy,residential,True,False,39.303,"LINESTRING (11.9093182 45.5014538, 11.9093507 45.5015448, 11.9094417 45.5017965)",,,,
31193293,2,SP11,Via Caltana,secondary,False,False,39.791000000000004,"LINESTRING (11.9093182 45.5014538, 11.9090141 45.5015028, 11.9088194 45.50153)",,,,
31193293,2,SP11,Via Caltana,secondary,False,True,91.832,"LINESTRING (11.9093182 45.5014538, 11.9095668 45.5014106, 11.9104605 45.5012512)",,,,
