osmid,oneway,name,highway,reversed,length,lanes,geometry,ref,maxspeed,junction
204906800,True,Via Giacobina,residential,False,68.064,,"LINESTRING (18.0949886 39.9589436, 18.0945756 39.9594675)",,,
195416343,True,Via Salomone,residential,False,60.038,1,"LINESTRING (18.0957844 39.9586761, 18.0954338 39.9591444)",,,
135860798,True,Via F. Quarta,residential,False,87.424,,"LINESTRING (18.0957844 39.9586761, 18.0962313 39.9588787, 18.0966673 39.9590763)",,,
195170684,False,Via Ugento,secondary,True,35.13,2,"LINESTRING (18.0935661 39.9588384, 18.093903 39.9586564)",SP350,,
195170684,False,Via Ugento,secondary,False,41.161,2,"LINESTRING (18.0935661 39.9588384, 18.0934803 39.9589286, 18.0933572 39.9591693)",SP350,,
195137951,False,Via Gallipoli,secondary,False,66.645,2,"LINESTRING (18.0931411 39.9596881, 18.0929101 39.9602607)",SP350,,
204903702,True,Via Regina Margherita,residential,False,94.232,,"LINESTRING (18.0931411 39.9596881, 18.0941473 39.9600393)",,,
225285971,True,Via Fiumi Marina,tertiary,False,49.552,,"LINESTRING (18.0931411 39.9596881, 18.0926129 39.9595019)",SP202,,
195137951,False,Via Gallipoli,secondary,True,50.926,2,"LINESTRING (18.0931411 39.9596881, 18.0932513 39.9594276, 18.0933202 39.9592512)",SP350,,
240538739,False,Via Addis Abeba,residential,False,5.074,,"LINESTRING (18.0906185 39.9586784, 18.0906683 39.9587034)",,,
77748864,False,Via Principe di Napoli,residential,False,47.24,,"LINESTRING (18.0917672 39.9611397, 18.0923118 39.9612187)",,,
77748864,False,Via Principe di Napoli,residential,True,23.244,,"LINESTRING (18.0917672 39.9611397, 18.0914997 39.961099)",,,
204906797,True,Via Vespucci,residential,False,62.798,,"LINESTRING (18.0917672 39.9611397, 18.0918849 39.9605822)",,,
204906801,True,Via Verdi,residential,False,89.341,,"LINESTRING (18.0917672 39.9611397, 18.0915768 39.9619298)",,,
77748862,False,Via Giovanni Pascoli,residential,False,69.288,,"LINESTRING (18.0933693 39.9639509, 18.0941581 39.9641018)",,,
135859806,False,Via Giosuè Carducci,residential,False,93.481,,"LINESTRING (18.0933693 39.9639509, 18.0932129 39.9631188)",,,
135859806,False,Via Giosuè Carducci,residential,True,71.007,,"LINESTRING (18.0933693 39.9639509, 18.0932067 39.9645772)",,,
135859827,False,Via Mandoli Rino,residential,True,72.596,,"LINESTRING (18.0993786 39.9629638, 18.0991758 39.9635979)",,,
299448307,False,Via Mellisano,residential,False,42.394,2,"LINESTRING (18.0993786 39.9629638, 18.0988902 39.9628915)",SP68,,
77748860,False,Via Risorgimento,residential,True,109.733,,"LINESTRING (18.0948931 39.9660288, 18.0952843 39.9650886)",,,
