osmid,oneway,highway,reversed,length,lanes,name,geometry,junction,maxspeed
319629773,False,residential,True,8.773,,,"LINESTRING (9.1641001 45.5711335, 9.1640875 45.5712119)",,
24983159,True,secondary,False,124.51700000000001,2,Viale della Repubblica,"LINESTRING (9.1641001 45.5711335, 9.1650142 45.571199, 9.165344 45.5711964, 9.1656942 45.5711802)",,
24983155,True,residential,False,131.186,,Via Italia,"LINESTRING (9.1635826 45.573861, 9.1638232 45.5726933)",,
24986951,False,residential,False,150.08,,Via San Michele del Carso,"LINESTRING (9.1635826 45.573861, 9.1654873 45.574071)",,
28045467,True,tertiary,False,52.257999999999996,2,Via Niccolò Copernico,"LINESTRING (9.1716955 45.5694821, 9.1717219 45.5694132, 9.1717409 45.5693459, 9.1717473 45.5692979, 9.1717461 45.5692455, 9.1717346 45.5691968, 9.1717165 45.5691596, 9.1716633 45.5690783, 9.1716302 45.5690325)",,
28045470,True,secondary,False,19.939,2,,"LINESTRING (9.1716955 45.5694821, 9.1717521 45.5694527, 9.1718116 45.5694362, 9.1718696 45.5694304, 9.1719325 45.5694337)",roundabout,
41798183,True,secondary,False,78.399,,Viale della Repubblica,"LINESTRING (9.1720028 45.5694629, 9.1721024 45.5694612, 9.1722094 45.5694535, 9.1723254 45.5694291, 9.1724457 45.5693987, 9.1726479 45.5693568, 9.1728155 45.5693287, 9.1729803 45.5693068)",,
166254932,True,secondary,False,22.988999999999997,2,,"LINESTRING (9.1720028 45.5694629, 9.1720632 45.569502, 9.1721007 45.5695437, 9.1721147 45.569591, 9.1721107 45.5696425)",roundabout,
32709763,False,secondary,False,65.365,,Via Ferdinando Santi,"LINESTRING (9.1740447 45.5694746, 9.1748549 45.5696291)",,
32709761,True,secondary,False,128.13,,Viale della Repubblica,"LINESTRING (9.1740447 45.5694746, 9.1736001 45.5694243, 9.1734277 45.569408, 9.1732776 45.5694014, 9.1731113 45.5693985, 9.1729248 45.5694072, 9.1727884 45.5694218, 9.1726601 45.5694498, 9.1724318 45.5695133)",,
32709763,False,secondary,True,65.365,,Via Ferdinando Santi,"LINESTRING (9.1748549 45.5696291, 9.1740447 45.5694746)",,
52865236,False,secondary,False,29.53,,Via Ferdinando Santi,"LINESTRING (9.1748549 45.5696291, 9.1752143 45.5697141)",,
171759763,True,tertiary,False,15.5,,,"LINESTRING (9.1692821 45.5744091, 9.1693184 45.5744315, 9.1693389 45.5744583, 9.1693421 45.5744963, 9.169326 45.5745316)",roundabout,
370200808,False,tertiary,True,140.824,,Via Renato Serra,"LINESTRING (9.1692821 45.5744091, 9.1692978 45.5743841, 9.1693676 45.5742742, 9.1694817 45.5740881, 9.1695171 45.5740372, 9.1695553 45.5739936, 9.169796 45.5737781, 9.1698678 45.5737058, 9.1699482 45.5736051, 9.1700834 45.5734142, 9.1701552 45.5733068)",,
27941001,True,residential,False,195.68400000000003,,Via Achille Grandi,"LINESTRING (9.1716302 45.5690325, 9.1714433 45.5690058, 9.1698104 45.5688817, 9.1695308 45.5688589, 9.1691345 45.5688258)",,
167593626,True,tertiary,False,19.489,,,"LINESTRING (9.1690949 45.574478, 9.1691044 45.5744491, 9.1691282 45.574424, 9.1691603 45.5744076, 9.1692043 45.5743997, 9.1692461 45.5744006, 9.1692821 45.5744091)",roundabout,
171759743,True,residential,False,12.498000000000001,,Via San Michele del Carso,"LINESTRING (9.1690949 45.574478, 9.1690544 45.5744754, 9.1689358 45.5744631)",,
47988314,False,residential,False,146.898,,Via Monte Camino,"LINESTRING (9.1697647 45.5746465, 9.1694288 45.5756051, 9.1689695 45.5755143)",,
"[541393263, 541393262, 319327439]",False,residential,False,357.436,,Via San Michele del Carso,"LINESTRING (9.1697647 45.5746465, 9.1715443 45.5750604, 9.1734247 45.5755131, 9.1735417 45.5755424, 9.1741147 45.5756767)",,
"[541393261, 319327439]",False,residential,True,36.459,,Via San Michele del Carso,"LINESTRING (9.1697647 45.5746465, 9.1694071 45.574553, 9.1693777 45.5745447, 9.169326 45.5745316)",,
"[319327439, 541393262, 541393263]",False,residential,True,357.436,,Via San Michele del Carso,"LINESTRING (9.1741147 45.5756767, 9.1735417 45.5755424, 9.1734247 45.5755131, 9.1715443 45.5750604, 9.1697647 45.5746465)",,
47919274,False,residential,False,86.443,,Via Aurora,"LINESTRING (9.1701552 45.5733068, 9.1700718 45.5732844, 9.1699726 45.57326, 9.1698572 45.5732315, 9.1692854 45.573089, 9.1691988 45.5730492, 9.1691364 45.5730107)",,
370200808,False,tertiary,False,140.824,,Via Renato Serra,"LINESTRING (9.1701552 45.5733068, 9.1700834 45.5734142, 9.1699482 45.5736051, 9.1698678 45.5737058, 9.169796 45.5737781, 9.1695553 45.5739936, 9.1695171 45.5740372, 9.1694817 45.5740881, 9.1693676 45.5742742, 9.1692978 45.5743841, 9.1692821 45.5744091)",,
370200808,False,tertiary,True,266.561,,Via Renato Serra,"LINESTRING (9.1701552 45.5733068, 9.1702168 45.5731944, 9.1707382 45.5721108, 9.1712628 45.5710385)",,
47919274,False,residential,False,104.47,,Via Aurora,"LINESTRING (9.1691364 45.5730107, 9.1690319 45.5729617, 9.168799 45.5728637, 9.1681273 45.5726997, 9.1678964 45.5726765)",,
47919274,False,residential,True,86.44300000000001,,Via Aurora,"LINESTRING (9.1691364 45.5730107, 9.1691988 45.5730492, 9.1692854 45.573089, 9.1698572 45.5732315, 9.1699726 45.57326, 9.1700718 45.5732844, 9.1701552 45.5733068)",,
