osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,tunnel,junction
34397360,2,SP65,Via Cavour,secondary,False,False,143.80700000000002,"LINESTRING (12.1386036 44.1522839, 12.138322 44.1519706, 12.1383025 44.151954, 12.1380894 44.1517723, 12.1374886 44.1512708)",,,
755961957,2,SP39,Via Cellaimo,secondary,False,True,142.404,"LINESTRING (12.1386036 44.1522839, 12.1386063 44.1523741, 12.1385956 44.1524664, 12.1385337 44.1525341, 12.1384691 44.1525864, 12.1383514 44.1526644, 12.1382864 44.1526917, 12.1382091 44.1527036, 12.1380745 44.1527134, 12.1378832 44.1526995, 12.1377165 44.1526591, 12.1372986 44.1524599)",,,
755961958,,SP65,Via Cavour,secondary,False,True,33.755,"LINESTRING (12.1370592 44.1508204, 12.1372998 44.1510701)",,,
24748134,1,SP65,Via Cavour,secondary,True,False,191.002,"LINESTRING (12.1370592 44.1508204, 12.1368657 44.1506302, 12.1363706 44.1501432, 12.1358891 44.1497988, 12.1358206 44.1497394, 12.1356117 44.1494629)",,,
31066229,2,,Via Badia,tertiary,False,False,11.124,"LINESTRING (12.1348336 44.1498534, 12.134709 44.1498983)",,,
"[180571417, 755961956]",,SP65,Via Bovio,residential,True,False,236.53500000000003,"LINESTRING (12.1348336 44.1498534, 12.1353244 44.1501739, 12.1356242 44.1502409, 12.1363866 44.1508881, 12.1364514 44.1509431, 12.1365156 44.1509899, 12.1365952 44.1510041, 12.1367613 44.1509568, 12.1370592 44.1508204)",,,
34397087,,SP65,Via Aurelio Saffi,secondary,False,False,72.284,"LINESTRING (12.1356117 44.1494629, 12.1352239 44.1488754)",,,
34397085,,SP65,Via Badia,tertiary,True,False,26.709,"LINESTRING (12.1356117 44.1494629, 12.1355586 44.1494878, 12.1353532 44.149615)",,,
34397087,,SP65,Via Aurelio Saffi,secondary,False,True,72.284,"LINESTRING (12.1352239 44.1488754, 12.1356117 44.1494629)",,,
34397039,1,SP65,Via Aurelio Saffi,secondary,True,False,224.88100000000003,"LINESTRING (12.1352239 44.1488754, 12.1352865 44.1483406, 12.1353067 44.1481989, 12.1352557 44.1475777, 12.1352345 44.14732, 12.1351414 44.146862)",,,
180592621,,,Via Cellaimo,residential,False,False,108.829,"LINESTRING (12.1371 44.15237, 12.137126 44.1522363, 12.1370804 44.15218, 12.1361997 44.1517251)",,,
"[1214296394, 755961959]",2,SP39,Via Cellaimo,secondary,False,False,10.331,"LINESTRING (12.1371 44.15237, 12.1371257 44.1523817, 12.1372095 44.1524196)",50,,
1214296394,2,SP39,Via Cellaimo,secondary,False,True,146.429,"LINESTRING (12.1371 44.15237, 12.13597 44.15182, 12.1358235 44.1517949, 12.13567 44.15178, 12.1355078 44.1517991)",50,,
34397467,,SP65,Via Roma,secondary,True,False,101.247,"LINESTRING (12.1351414 44.146862, 12.1353537 44.1459643)",,,
129752979,,,Via G. Mazzini,residential,False,True,46.303000000000004,"LINESTRING (12.1351414 44.146862, 12.1350134 44.1471636, 12.1349643 44.1472584)",,,
34397467,,SP65,Via Roma,secondary,True,False,5.079,"LINESTRING (12.1353537 44.1459643, 12.1354142 44.1459501)",,,
35333887,,,,unclassified,False,False,11.513,"LINESTRING (12.1353537 44.1459643, 12.1352212 44.1459233)",,,
26698244,,,Via Cantalupo,unclassified,True,False,118.346,"LINESTRING (12.1354142 44.1459501, 12.1358395 44.1460285, 12.1368671 44.1461612)",,,
34397465,,SP65,Viale Carducci,secondary,False,False,177.613,"LINESTRING (12.1354142 44.1459501, 12.1355688 44.1458887, 12.1365772 44.1455483, 12.1374324 44.1452773)",30,,
26698245,,,Via Salvador Allende,unclassified,False,False,153.68699999999998,"LINESTRING (12.1368671 44.1461612, 12.1366622 44.1466768, 12.1364644 44.14729, 12.1364137 44.1475035)",,,
56158966,,,Via Salvador Allende,residential,False,False,95.017,"LINESTRING (12.1364137 44.1475035, 12.1362099 44.1483454)",,,
26698245,,,Via Salvador Allende,unclassified,False,False,186.324,"LINESTRING (12.1364137 44.1475035, 12.1366425 44.1482386, 12.1368429 44.14867, 12.1370732 44.1489546, 12.1371835 44.1490684)",,,
26698245,,,Via Salvador Allende,unclassified,False,True,153.68699999999998,"LINESTRING (12.1364137 44.1475035, 12.1364644 44.14729, 12.1366622 44.1466768, 12.1368671 44.1461612)",,,
26698245,,,Via Salvador Allende,unclassified,False,False,132.571,"LINESTRING (12.1371835 44.1490684, 12.138138 44.1500443)",,,
56159368,,,Via Salvador Allende,residential,True,False,235.268,"LINESTRING (12.1371835 44.1490684, 12.1365727 44.1493482, 12.1370643 44.1498288, 12.1376453 44.1502484, 12.138138 44.1500443)",,,
26698245,,,Via Salvador Allende,unclassified,False,True,186.324,"LINESTRING (12.1371835 44.1490684, 12.1370732 44.1489546, 12.1368429 44.14867, 12.1366425 44.1482386, 12.1364137 44.1475035)",,,
26698245,,,Via Salvador Allende,unclassified,False,False,54.139,"LINESTRING (12.138138 44.1500443, 12.1385494 44.1504315)",,,
26698245,,,Via Salvador Allende,unclassified,False,True,132.571,"LINESTRING (12.138138 44.1500443, 12.1371835 44.1490684)",,,
26698245,,,Via Salvador Allende,unclassified,False,True,124.846,"LINESTRING (12.1389524 44.1513965, 12.1391119 44.151187, 12.1391259 44.1510386, 12.1390335 44.1509193, 12.1385494 44.1504315)",,,
26698246,,,Via Colombarone,unclassified,False,True,122.218,"LINESTRING (12.1389524 44.1513965, 12.1376308 44.1511918, 12.1374886 44.1512708)",,,
34397360,2,SP65,Via Cavour,secondary,False,False,26.925,"LINESTRING (12.1374886 44.1512708, 12.1372998 44.1510701)",,,
26698246,,,Via Colombarone,unclassified,False,False,122.218,"LINESTRING (12.1374886 44.1512708, 12.1376308 44.1511918, 12.1389524 44.1513965)",,,
34397360,2,SP65,Via Cavour,secondary,False,True,143.80700000000002,"LINESTRING (12.1374886 44.1512708, 12.1380894 44.1517723, 12.1383025 44.151954, 12.138322 44.1519706, 12.1386036 44.1522839)",,,
318205534,,,,unclassified,False,True,80.129,"LINESTRING (12.1333658 44.1513191, 12.1338173 44.1519628)",,,
902339925,2,,Via Badia,tertiary,False,False,16.024,"LINESTRING (12.1333658 44.1513191, 12.1332278 44.1514238)",,,
31066229,2,,Via Badia,tertiary,False,True,144.714,"LINESTRING (12.1333658 44.1513191, 12.1337679 44.1507437, 12.1342869 44.1502015)",,,
31574552,,,Via dei Santi,residential,True,False,10.054,"LINESTRING (12.1324051 44.150133, 12.1323593 44.150156, 12.1323025 44.1501855)",,,
34397031,,,Via Francesco Rossi,residential,True,False,117.246,"LINESTRING (12.1324051 44.150133, 12.1325392 44.1500986, 12.133713 44.1496543)",,,
"[31574552, 180592530, 180592531]",,,Via dei Santi,residential,True,False,197.998,"LINESTRING (12.1323025 44.1501855, 12.1321968 44.1502932, 12.1319509 44.1505129, 12.1315893 44.1510649, 12.1315664 44.1512759, 12.1314149 44.1514885, 12.1313672 44.1515258, 12.131321 44.1515296, 12.1312024 44.1514636, 12.1311297 44.1514726, 12.1310971 44.1515302)",,yes,
