osmid,name,highway,oneway,reversed,length,geometry,junction,lanes,ref
29703123,Via Vittorio Emanuele,tertiary,False,False,206.59099999999998,"LINESTRING (14.1662743 40.9576086, 14.1665555 40.9572846, 14.1677449 40.9561203)",,,
29704014,,tertiary,True,False,13.473,"LINESTRING (14.1662743 40.9576086, 14.1663017 40.9576301, 14.1663133 40.957647, 14.166321 40.9576784, 14.1663126 40.9577042, 14.1663083 40.9577176)",roundabout,,
1157235606,,residential,False,True,55.491,"LINESTRING (14.1666334 40.9548661, 14.1666577 40.9553648)",,,
1184676681,Via Giorgio Amendola,residential,False,True,32.36,"LINESTRING (14.1666334 40.9548661, 14.1663488 40.9550623)",,,
106370153,Via Giorgio Amendola,residential,False,False,114.089,"LINESTRING (14.1627699 40.9575322, 14.1628021 40.9566313, 14.1628268 40.9565079)",,,
167881612,Via N. Miraglia,residential,False,False,92.543,"LINESTRING (14.1605675 40.9575322, 14.1606203 40.9567009)",,,
423136241,Via Vittorio Veneto,tertiary,True,False,13.814,"LINESTRING (14.1605675 40.9575322, 14.160732 40.9575322)",,2,SP 109
1148978575,Provinciale Parete Tre Ponti,tertiary,False,True,12.948,"LINESTRING (14.1659941 40.9575555, 14.1661138 40.9576289)",,,
1148978574,Via Vittorio Veneto,tertiary,True,False,45.783,"LINESTRING (14.1659941 40.9575555, 14.1655222 40.9575322, 14.1654499 40.9575322)",,,SP 109
1148978575,Provinciale Parete Tre Ponti,tertiary,False,False,12.948,"LINESTRING (14.1661138 40.9576289, 14.1659941 40.9575555)",,,
29704014,,tertiary,True,False,15.146,"LINESTRING (14.1661138 40.9576289, 14.1661417 40.9576078, 14.166159 40.9576002, 14.1661972 40.9575924, 14.1662304 40.9575939, 14.1662743 40.9576086)",roundabout,,
167881623,Via Fratelli Bandiera,residential,False,True,211.452,"LINESTRING (14.1589682 40.9608835, 14.1614841 40.9609646)",,,
1177643840,,residential,False,False,43.237,"LINESTRING (14.1589682 40.9608835, 14.1589501 40.9612721)",,,
1177643840,,residential,False,True,65.051,"LINESTRING (14.1589682 40.9608835, 14.1590038 40.9602991)",,,
167881765,,residential,False,False,61.044,"LINESTRING (14.1594403 40.955295, 14.1593786 40.954748)",,,
167881765,,residential,False,True,27.134,"LINESTRING (14.1594403 40.955295, 14.1594699 40.955538)",,,
167881597,,residential,False,False,71.256,"LINESTRING (14.1594403 40.955295, 14.1602288 40.9552504, 14.1602866 40.9552493)",,,
167881610,Via Garibaldi,residential,True,False,59.672,"LINESTRING (14.1648382 40.959865, 14.1648288 40.960284, 14.1648347 40.9604015)",,,
167881751,,unclassified,False,False,56.629,"LINESTRING (14.1648382 40.959865, 14.164782 40.9598666, 14.1641653 40.9598347)",,,
167881751,,unclassified,False,True,74.986,"LINESTRING (14.1648382 40.959865, 14.1651307 40.9598565, 14.165368 40.9598505, 14.165633 40.9598305, 14.1657279 40.9598172)",,,
