osmid,oneway,ref,name,highway,reversed,length,geometry,junction,bridge,lanes,maxspeed,access
23105600,False,SP590,Via Martiri della Libertà,tertiary,False,76.95,"LINESTRING (7.7639791 45.1005723, 7.7641362 45.1007377, 7.7641973 45.1008013, 7.7642603 45.1008668, 7.7644981 45.1011143, 7.7645282 45.1011456)",,,,,
290589663,False,SP93,Via Italia,tertiary,True,76.785,"LINESTRING (7.7590248 45.1078599, 7.7591572 45.1077521, 7.7591794 45.107734, 7.7595615 45.1074227, 7.7596655 45.107338)",,,,,
852615415,False,,Via Speranza,tertiary,True,41.747,"LINESTRING (7.7590248 45.1078599, 7.758899 45.1078138, 7.7587292 45.1077514, 7.7587032 45.107742, 7.7585524 45.1076873)",,,,,
26536643,True,,Piazza Mochino,secondary,False,38.399,"LINESTRING (7.7609105 45.1033708, 7.7609219 45.1033333, 7.7609469 45.1032992, 7.7609836 45.1032708, 7.7610295 45.1032502, 7.761095 45.1032375, 7.7611627 45.1032404, 7.7612255 45.1032586, 7.7612641 45.1032805, 7.7612765 45.1032902)",roundabout,,,,
81633690,True,,Piazza Mochino,tertiary,False,28.21,"LINESTRING (7.7612673 45.1034825, 7.7612174 45.10357, 7.7612068 45.1035886, 7.7611574 45.1037235)",,,,,
914643946,True,,Piazza Mochino,secondary,False,15.269000000000002,"LINESTRING (7.7612673 45.1034825, 7.761216 45.1035106, 7.761155 45.103526, 7.7610902 45.1035274)",roundabout,,,,
"[48907200, 315923880]",True,,,secondary,False,242.413,"LINESTRING (7.7642335 45.1032657, 7.7643075 45.1032431, 7.7644355 45.1032332, 7.764722 45.1032207, 7.7648156 45.1032186, 7.7649339 45.1032251, 7.7650807 45.1032445, 7.7652027 45.1032782, 7.7653023 45.103322, 7.7653948 45.1033751, 7.7654974 45.1034604, 7.766153 45.1040745, 7.766279 45.1042187, 7.766444 45.1044564)",,yes,1,50,
"[48907201, 233094244]",False,,Ponte Undici Settembre,secondary,True,193.20499999999998,"LINESTRING (7.7642335 45.1032657, 7.7620238 45.1033472, 7.7618449 45.1033493, 7.7617749 45.1033476)",,yes,"['2', '3']",50,
58762188,False,,Via Giacomo Matteotti,residential,False,103.61800000000001,"LINESTRING (7.7667447 45.1023301, 7.7672606 45.1022012, 7.7677448 45.1019243, 7.7678477 45.1018475)",,,,,
926017382,True,,Via San Francesco d'Assisi,unclassified,False,28.680999999999997,"LINESTRING (7.7667447 45.1023301, 7.7666981 45.1023903, 7.766668 45.1024293, 7.7664852 45.1024953)",,,,,
